lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],14,1.046943,0.773585,3,[X2 >= 1.650000 OR X4 >= 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4900662251655629; 'recall': 0.5522388059701493; 'f1-score': 0.519298245614035; 'support': 134}; '1.0': {'precision': 0.8107255520504731; 'recall': 0.7694610778443114; 'f1-score': 0.7895545314900153; 'support': 334}; 'accuracy': 0.7072649572649573; 'macro avg': {'precision': 0.650395888608018; 'recall': 0.6608499419072303; 'f1-score': 0.6544263885520252; 'support': 468}; 'weighted avg': {'precision': 0.7189128387971014; 'recall': 0.7072649572649573; 'f1-score': 0.7121734581836449; 'support': 468}},{'0.0': {'precision': 0.6153846153846154; 'recall': 0.5333333333333333; 'f1-score': 0.5714285714285715; 'support': 15}; '1.0': {'precision': 0.825; 'recall': 0.868421052631579; 'f1-score': 0.8461538461538461; 'support': 38}; 'accuracy': 0.7735849056603774; 'macro avg': {'precision': 0.7201923076923077; 'recall': 0.7008771929824562; 'f1-score': 0.7087912087912088; 'support': 53}; 'weighted avg': {'precision': 0.7656748911465892; 'recall': 0.7735849056603774; 'f1-score': 0.7684014099108439; 'support': 53}}
5,1,CNF,1,469,52,58,[8; 9],14,1.050161,0.615385,2,[X3 >= 1.250000 OR X4 >= 211.500000],{'0.0': {'precision': 0.45539906103286387; 'recall': 0.7185185185185186; 'f1-score': 0.5574712643678161; 'support': 135}; '1.0': {'precision': 0.8515625; 'recall': 0.6526946107784432; 'f1-score': 0.7389830508474575; 'support': 334}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.653480780516432; 'recall': 0.6856065646484808; 'f1-score': 0.6482271576076368; 'support': 469}; 'weighted avg': {'precision': 0.7375282478452806; 'recall': 0.6716417910447762; 'f1-score': 0.6867355216902047; 'support': 469}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.5714285714285714; 'f1-score': 0.4444444444444444; 'support': 14}; '1.0': {'precision': 0.8; 'recall': 0.631578947368421; 'f1-score': 0.7058823529411765; 'support': 38}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5818181818181818; 'recall': 0.6015037593984962; 'f1-score': 0.5751633986928104; 'support': 52}; 'weighted avg': {'precision': 0.6825174825174826; 'recall': 0.6153846153846154; 'f1-score': 0.6354952237305178; 'support': 52}}
5,1,CNF,2,469,52,58,[8; 9],14,1.066110,0.461538,1,[X5 < 61.500000],{'0.0': {'precision': 0.07272727272727272; 'recall': 0.05970149253731343; 'f1-score': 0.06557377049180327; 'support': 134}; '1.0': {'precision': 0.649025069637883; 'recall': 0.6955223880597015; 'f1-score': 0.6714697406340057; 'support': 335}; 'accuracy': 0.5138592750533049; 'macro avg': {'precision': 0.36087617118257787; 'recall': 0.3776119402985074; 'f1-score': 0.36852175556290445; 'support': 469}; 'weighted avg': {'precision': 0.48436855623485153; 'recall': 0.5138592750533049; 'f1-score': 0.4983566063076621; 'support': 469}},{'0.0': {'precision': 0.06666666666666667; 'recall': 0.06666666666666667; 'f1-score': 0.06666666666666667; 'support': 15}; '1.0': {'precision': 0.6216216216216216; 'recall': 0.6216216216216216; 'f1-score': 0.6216216216216216; 'support': 37}; 'accuracy': 0.46153846153846156; 'macro avg': {'precision': 0.3441441441441441; 'recall': 0.3441441441441441; 'f1-score': 0.3441441441441441; 'support': 52}; 'weighted avg': {'precision': 0.46153846153846156; 'recall': 0.46153846153846156; 'f1-score': 0.46153846153846156; 'support': 52}}
5,1,CNF,3,469,52,58,[8; 9],14,1.122555,0.673077,3,[X2 >= 1.650000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.47368421052631576; 'recall': 0.6716417910447762; 'f1-score': 0.5555555555555555; 'support': 134}; '1.0': {'precision': 0.8422939068100358; 'recall': 0.7014925373134329; 'f1-score': 0.7654723127035832; 'support': 335}; 'accuracy': 0.6929637526652452; 'macro avg': {'precision': 0.6579890586681758; 'recall': 0.6865671641791045; 'f1-score': 0.6605139341295694; 'support': 469}; 'weighted avg': {'precision': 0.7369768507289729; 'recall': 0.6929637526652452; 'f1-score': 0.7054960963755751; 'support': 469}},{'0.0': {'precision': 0.45; 'recall': 0.6; 'f1-score': 0.5142857142857143; 'support': 15}; '1.0': {'precision': 0.8125; 'recall': 0.7027027027027027; 'f1-score': 0.7536231884057971; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.63125; 'recall': 0.6513513513513514; 'f1-score': 0.6339544513457558; 'support': 52}; 'weighted avg': {'precision': 0.7079326923076923; 'recall': 0.6730769230769231; 'f1-score': 0.6845835324096193; 'support': 52}}
5,1,CNF,4,469,52,58,[8; 9],14,1.128358,0.596154,4,[(NOT X1) OR X3 >= 1.250000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4397163120567376; 'recall': 0.4626865671641791; 'f1-score': 0.4509090909090909; 'support': 134}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.764179104477612; 'f1-score': 0.7722473604826545; 'support': 335}; 'accuracy': 0.6780383795309168; 'macro avg': {'precision': 0.6101020584673932; 'recall': 0.6134328358208956; 'f1-score': 0.6115782256958727; 'support': 469}; 'weighted avg': {'precision': 0.6831245212148171; 'recall': 0.6780383795309168; 'f1-score': 0.6804364263187793; 'support': 469}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.5333333333333333; 'f1-score': 0.43243243243243246; 'support': 15}; '1.0': {'precision': 0.7666666666666667; 'recall': 0.6216216216216216; 'f1-score': 0.6865671641791045; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.5651515151515152; 'recall': 0.5774774774774775; 'f1-score': 0.5594997983057685; 'support': 52}; 'weighted avg': {'precision': 0.6504079254079254; 'recall': 0.5961538461538461; 'f1-score': 0.6132590684829491; 'support': 52}}
5,1,CNF,5,469,52,58,[8; 9],14,1.292609,0.500000,3,[X3 >= 1.250000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.463768115942029; 'recall': 0.7164179104477612; 'f1-score': 0.5630498533724341; 'support': 134}; '1.0': {'precision': 0.8549618320610687; 'recall': 0.6686567164179105; 'f1-score': 0.7504187604690117; 'support': 335}; 'accuracy': 0.6823027718550106; 'macro avg': {'precision': 0.6593649740015488; 'recall': 0.6925373134328359; 'f1-score': 0.6567343069207229; 'support': 469}; 'weighted avg': {'precision': 0.7431921988842002; 'recall': 0.6823027718550106; 'f1-score': 0.6968847870128466; 'support': 469}},{'0.0': {'precision': 0.2962962962962963; 'recall': 0.5333333333333333; 'f1-score': 0.38095238095238093; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.4864864864864865; 'f1-score': 0.5806451612903226; 'support': 37}; 'accuracy': 0.5; 'macro avg': {'precision': 0.5081481481481481; 'recall': 0.5099099099099099; 'f1-score': 0.4807987711213518; 'support': 52}; 'weighted avg': {'precision': 0.5977777777777777; 'recall': 0.5; 'f1-score': 0.5230414746543779; 'support': 52}}
5,1,CNF,6,469,52,58,[8; 9],14,1.100200,0.673077,4,[(NOT X1) OR X2 >= 1.650000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.43790849673202614; 'recall': 0.5; 'f1-score': 0.46689895470383275; 'support': 134}; '1.0': {'precision': 0.7879746835443038; 'recall': 0.7432835820895523; 'f1-score': 0.7649769585253455; 'support': 335}; 'accuracy': 0.673773987206823; 'macro avg': {'precision': 0.612941590138165; 'recall': 0.6216417910447761; 'f1-score': 0.6159379566145892; 'support': 469}; 'weighted avg': {'precision': 0.6879557730265101; 'recall': 0.673773987206823; 'f1-score': 0.679811814576342; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.5333333333333333; 'f1-score': 0.4848484848484848; 'support': 15}; '1.0': {'precision': 0.7941176470588235; 'recall': 0.7297297297297297; 'f1-score': 0.7605633802816901; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.619281045751634; 'recall': 0.6315315315315315; 'f1-score': 0.6227059325650874; 'support': 52}; 'weighted avg': {'precision': 0.6932503770739065; 'recall': 0.6730769230769231; 'f1-score': 0.6810302373682655; 'support': 52}}
5,1,CNF,7,469,52,58,[8; 9],14,1.242750,0.711538,5,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.494949494949495; 'recall': 0.3656716417910448; 'f1-score': 0.4206008583690987; 'support': 134}; '1.0': {'precision': 0.7702702702702703; 'recall': 0.8507462686567164; 'f1-score': 0.8085106382978724; 'support': 335}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.6326098826098826; 'recall': 0.6082089552238806; 'f1-score': 0.6145557483334856; 'support': 469}; 'weighted avg': {'precision': 0.6916071916071915; 'recall': 0.7121535181236673; 'f1-score': 0.697679272603937; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
5,1,CNF,8,469,52,58,[8; 9],14,1.129124,0.634615,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.48148148148148145; 'recall': 0.6791044776119403; 'f1-score': 0.5634674922600619; 'support': 134}; '1.0': {'precision': 0.8464285714285714; 'recall': 0.7074626865671642; 'f1-score': 0.7707317073170731; 'support': 335}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.6639550264550265; 'recall': 0.6932835820895522; 'f1-score': 0.6670995997885675; 'support': 469}; 'weighted avg': {'precision': 0.7421579743008315; 'recall': 0.6993603411513859; 'f1-score': 0.7115133601579271; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.5333333333333333; 'f1-score': 0.4571428571428572; 'support': 15}; '1.0': {'precision': 0.78125; 'recall': 0.6756756756756757; 'f1-score': 0.7246376811594203; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.590625; 'recall': 0.6045045045045045; 'f1-score': 0.5908902691511387; 'support': 52}; 'weighted avg': {'precision': 0.6712740384615384; 'recall': 0.6346153846153846; 'f1-score': 0.647475712693104; 'support': 52}}
5,1,CNF,9,469,52,58,[8; 9],14,1.240469,0.673077,3,[X3 >= 1.250000 OR X4 >= 211.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.3695652173913043; 'recall': 0.12686567164179105; 'f1-score': 0.18888888888888888; 'support': 134}; '1.0': {'precision': 0.723404255319149; 'recall': 0.9134328358208955; 'f1-score': 0.8073878627968337; 'support': 335}; 'accuracy': 0.6886993603411514; 'macro avg': {'precision': 0.5464847363552267; 'recall': 0.5201492537313432; 'f1-score': 0.4981383758428613; 'support': 469}; 'weighted avg': {'precision': 0.6223073873397648; 'recall': 0.6886993603411514; 'f1-score': 0.6306738702517067; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.13333333333333333; 'f1-score': 0.19047619047619044; 'support': 15}; '1.0': {'precision': 0.717391304347826; 'recall': 0.8918918918918919; 'f1-score': 0.7951807228915664; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5253623188405797; 'recall': 0.5126126126126126; 'f1-score': 0.4928284566838784; 'support': 52}; 'weighted avg': {'precision': 0.6066053511705685; 'recall': 0.6730769230769231; 'f1-score': 0.6207467231563618; 'support': 52}}
5,1,CNF,0,468,53,29,[16; 17],14,0.582373,0.660377,4,[X1 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4827586206896552; 'recall': 0.31343283582089554; 'f1-score': 0.38009049773755654; 'support': 134}; '1.0': {'precision': 0.7585301837270341; 'recall': 0.8652694610778443; 'f1-score': 0.8083916083916083; 'support': 334}; 'accuracy': 0.7072649572649573; 'macro avg': {'precision': 0.6206444022083446; 'recall': 0.5893511484493699; 'f1-score': 0.5942410530645824; 'support': 468}; 'weighted avg': {'precision': 0.6795699498659041; 'recall': 0.7072649572649573; 'f1-score': 0.6857583844009183; 'support': 468}},{'0.0': {'precision': 0.2857142857142857; 'recall': 0.13333333333333333; 'f1-score': 0.18181818181818182; 'support': 15}; '1.0': {'precision': 0.717391304347826; 'recall': 0.868421052631579; 'f1-score': 0.7857142857142858; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.5015527950310559; 'recall': 0.5008771929824561; 'f1-score': 0.48376623376623384; 'support': 53}; 'weighted avg': {'precision': 0.5952185632251259; 'recall': 0.660377358490566; 'f1-score': 0.6148002940455771; 'support': 53}}
