lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],14,1.322943,0.641509,3,[(NOT X1) OR X2 >= 1.650000 OR X9 < 0.895000],{'0.0': {'precision': 0.4342105263157895; 'recall': 0.49624060150375937; 'f1-score': 0.4631578947368421; 'support': 133}; '1.0': {'precision': 0.7879746835443038; 'recall': 0.7432835820895523; 'f1-score': 0.7649769585253455; 'support': 335}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.6110926049300467; 'recall': 0.6197620917966558; 'f1-score': 0.6140674266310938; 'support': 468}; 'weighted avg': {'precision': 0.6874391431353457; 'recall': 0.6730769230769231; 'f1-score': 0.6792035921068179; 'support': 468}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.26666666666666666; 'f1-score': 0.2962962962962963; 'support': 15}; '1.0': {'precision': 0.7317073170731707; 'recall': 0.7894736842105263; 'f1-score': 0.7594936708860759; 'support': 38}; 'accuracy': 0.6415094339622641; 'macro avg': {'precision': 0.532520325203252; 'recall': 0.5280701754385965; 'f1-score': 0.5278949835911861; 'support': 53}; 'weighted avg': {'precision': 0.6189599631845375; 'recall': 0.6415094339622641; 'f1-score': 0.6284000743040628; 'support': 53}}
5,1,CNF,1,469,52,58,[8; 9],14,1.250035,0.826923,4,[(NOT X1) OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4380165289256198; 'recall': 0.39552238805970147; 'f1-score': 0.4156862745098039; 'support': 134}; '1.0': {'precision': 0.7672413793103449; 'recall': 0.7970149253731343; 'f1-score': 0.7818448023426062; 'support': 335}; 'accuracy': 0.6823027718550106; 'macro avg': {'precision': 0.6026289541179823; 'recall': 0.5962686567164179; 'f1-score': 0.5987655384262051; 'support': 469}; 'weighted avg': {'precision': 0.6731771363432806; 'recall': 0.6823027718550106; 'f1-score': 0.6772280801046626; 'support': 469}},{'0.0': {'precision': 0.7777777777777778; 'recall': 0.5; 'f1-score': 0.6086956521739131; 'support': 14}; '1.0': {'precision': 0.8372093023255814; 'recall': 0.9473684210526315; 'f1-score': 0.8888888888888888; 'support': 38}; 'accuracy': 0.8269230769230769; 'macro avg': {'precision': 0.8074935400516796; 'recall': 0.7236842105263157; 'f1-score': 0.748792270531401; 'support': 52}; 'weighted avg': {'precision': 0.8212085072550189; 'recall': 0.8269230769230769; 'f1-score': 0.813452248234857; 'support': 52}}
5,1,CNF,2,469,52,58,[8; 9],14,1.207667,0.692308,4,[X1 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.35714285714285715; 'recall': 0.03731343283582089; 'f1-score': 0.06756756756756756; 'support': 134}; '1.0': {'precision': 0.7164835164835165; 'recall': 0.9731343283582089; 'f1-score': 0.8253164556962026; 'support': 335}; 'accuracy': 0.7057569296375267; 'macro avg': {'precision': 0.5368131868131868; 'recall': 0.5052238805970148; 'f1-score': 0.44644201163188507; 'support': 469}; 'weighted avg': {'precision': 0.6138147566718996; 'recall': 0.7057569296375267; 'f1-score': 0.6088167733737355; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; '1.0': {'precision': 0.72; 'recall': 0.9473684210526315; 'f1-score': 0.8181818181818181; 'support': 38}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.36; 'recall': 0.47368421052631576; 'f1-score': 0.40909090909090906; 'support': 52}; 'weighted avg': {'precision': 0.5261538461538462; 'recall': 0.6923076923076923; 'f1-score': 0.5979020979020979; 'support': 52}}
5,1,CNF,3,469,52,58,[8; 9],14,1.268876,0.519231,2,[X3 >= 1.250000 OR X4 < 211.500000],{'0.0': {'precision': 0.25; 'recall': 0.2631578947368421; 'f1-score': 0.25641025641025644; 'support': 133}; '1.0': {'precision': 0.7021276595744681; 'recall': 0.6875; 'f1-score': 0.6947368421052632; 'support': 336}; 'accuracy': 0.5671641791044776; 'macro avg': {'precision': 0.47606382978723405; 'recall': 0.475328947368421; 'f1-score': 0.47557354925775985; 'support': 469}; 'weighted avg': {'precision': 0.5739123531279772; 'recall': 0.5671641791044776; 'f1-score': 0.5704352730275747; 'support': 469}},{'0.0': {'precision': 0.14285714285714285; 'recall': 0.13333333333333333; 'f1-score': 0.1379310344827586; 'support': 15}; '1.0': {'precision': 0.6578947368421053; 'recall': 0.6756756756756757; 'f1-score': 0.6666666666666667; 'support': 37}; 'accuracy': 0.5192307692307693; 'macro avg': {'precision': 0.40037593984962405; 'recall': 0.4045045045045045; 'f1-score': 0.40229885057471265; 'support': 52}; 'weighted avg': {'precision': 0.5093262001156739; 'recall': 0.5192307692307693; 'f1-score': 0.5141467727674625; 'support': 52}}
5,1,CNF,4,469,52,58,[8; 9],14,1.259221,0.596154,2,[X2 < 1.650000 OR X4 >= 211.500000],{'0.0': {'precision': 0.18518518518518517; 'recall': 0.07518796992481203; 'f1-score': 0.10695187165775401; 'support': 133}; '1.0': {'precision': 0.7036144578313253; 'recall': 0.8690476190476191; 'f1-score': 0.7776298268974701; 'support': 336}; 'accuracy': 0.6439232409381663; 'macro avg': {'precision': 0.4443998215082552; 'recall': 0.47211779448621555; 'f1-score': 0.44229084927761203; 'support': 469}; 'weighted avg': {'precision': 0.5565972014092856; 'recall': 0.6439232409381663; 'f1-score': 0.5874375709339685; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6739130434782609; 'recall': 0.8378378378378378; 'f1-score': 0.746987951807229; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.33695652173913043; 'recall': 0.4189189189189189; 'f1-score': 0.3734939759036145; 'support': 52}; 'weighted avg': {'precision': 0.47951505016722407; 'recall': 0.5961538461538461; 'f1-score': 0.5315106580166822; 'support': 52}}
5,1,CNF,5,469,52,58,[8; 9],14,1.256955,0.615385,2,[X2 >= 1.650000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4449152542372881; 'recall': 0.7894736842105263; 'f1-score': 0.5691056910569106; 'support': 133}; '1.0': {'precision': 0.8798283261802575; 'recall': 0.6101190476190477; 'f1-score': 0.7205623901581723; 'support': 336}; 'accuracy': 0.6609808102345416; 'macro avg': {'precision': 0.6623717902087728; 'recall': 0.699796365914787; 'f1-score': 0.6448340406075415; 'support': 469}; 'weighted avg': {'precision': 0.756494768465087; 'recall': 0.6609808102345416; 'f1-score': 0.6776119829503517; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.6666666666666666; 'f1-score': 0.5; 'support': 15}; '1.0': {'precision': 0.8148148148148148; 'recall': 0.5945945945945946; 'f1-score': 0.6875; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.6074074074074074; 'recall': 0.6306306306306306; 'f1-score': 0.59375; 'support': 52}; 'weighted avg': {'precision': 0.6951566951566951; 'recall': 0.6153846153846154; 'f1-score': 0.6334134615384616; 'support': 52}}
5,1,CNF,6,469,52,58,[8; 9],14,1.250191,0.538462,2,[X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.3879003558718861; 'recall': 0.8195488721804511; 'f1-score': 0.5265700483091788; 'support': 133}; '1.0': {'precision': 0.8723404255319149; 'recall': 0.4880952380952381; 'f1-score': 0.6259541984732824; 'support': 336}; 'accuracy': 0.582089552238806; 'macro avg': {'precision': 0.6301203907019005; 'recall': 0.6538220551378446; 'f1-score': 0.5762621233912306; 'support': 469}; 'weighted avg': {'precision': 0.734961898314892; 'recall': 0.582089552238806; 'f1-score': 0.5977706335013724; 'support': 469}},{'0.0': {'precision': 0.37142857142857144; 'recall': 0.8666666666666667; 'f1-score': 0.52; 'support': 15}; '1.0': {'precision': 0.8823529411764706; 'recall': 0.40540540540540543; 'f1-score': 0.5555555555555556; 'support': 37}; 'accuracy': 0.5384615384615384; 'macro avg': {'precision': 0.626890756302521; 'recall': 0.6360360360360361; 'f1-score': 0.5377777777777778; 'support': 52}; 'weighted avg': {'precision': 0.7349709114414996; 'recall': 0.5384615384615384; 'f1-score': 0.5452991452991454; 'support': 52}}
5,1,CNF,7,469,52,58,[8; 9],14,1.236801,0.634615,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.436; 'recall': 0.8195488721804511; 'f1-score': 0.5691906005221933; 'support': 133}; '1.0': {'precision': 0.8904109589041096; 'recall': 0.5803571428571429; 'f1-score': 0.7027027027027029; 'support': 336}; 'accuracy': 0.6481876332622601; 'macro avg': {'precision': 0.6632054794520548; 'recall': 0.699953007518797; 'f1-score': 0.6359466516124481; 'support': 469}; 'weighted avg': {'precision': 0.7615481496626457; 'recall': 0.6481876332622601; 'f1-score': 0.6648410617858419; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.8; 'f1-score': 0.5581395348837209; 'support': 15}; '1.0': {'precision': 0.875; 'recall': 0.5675675675675675; 'f1-score': 0.6885245901639344; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.6517857142857143; 'recall': 0.6837837837837838; 'f1-score': 0.6233320625238277; 'support': 52}; 'weighted avg': {'precision': 0.7462225274725275; 'recall': 0.6346153846153846; 'f1-score': 0.6509135165254113; 'support': 52}}
5,1,CNF,8,469,52,58,[8; 9],14,1.267576,0.826923,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4827586206896552; 'recall': 0.5263157894736842; 'f1-score': 0.5035971223021583; 'support': 133}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7767857142857143; 'f1-score': 0.790909090909091; 'support': 336}; 'accuracy': 0.7057569296375267; 'macro avg': {'precision': 0.6441570881226054; 'recall': 0.6515507518796992; 'f1-score': 0.6472531066056246; 'support': 469}; 'weighted avg': {'precision': 0.7140161262652256; 'recall': 0.7057569296375267; 'f1-score': 0.7094325624981698; 'support': 469}},{'0.0': {'precision': 0.75; 'recall': 0.6; 'f1-score': 0.6666666666666665; 'support': 15}; '1.0': {'precision': 0.85; 'recall': 0.918918918918919; 'f1-score': 0.8831168831168831; 'support': 37}; 'accuracy': 0.8269230769230769; 'macro avg': {'precision': 0.8; 'recall': 0.7594594594594595; 'f1-score': 0.7748917748917747; 'support': 52}; 'weighted avg': {'precision': 0.8211538461538462; 'recall': 0.8269230769230769; 'f1-score': 0.8206793206793207; 'support': 52}}
5,1,CNF,9,469,52,58,[8; 9],14,1.228106,0.673077,4,[(NOT X1) OR X2 < 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000],{'0.0': {'precision': 0.21428571428571427; 'recall': 0.045112781954887216; 'f1-score': 0.07453416149068322; 'support': 133}; '1.0': {'precision': 0.7120181405895691; 'recall': 0.9345238095238095; 'f1-score': 0.8082368082368082; 'support': 336}; 'accuracy': 0.6823027718550106; 'macro avg': {'precision': 0.4631519274376417; 'recall': 0.4898182957393484; 'f1-score': 0.44138548486374574; 'support': 469}; 'weighted avg': {'precision': 0.5708701391004163; 'recall': 0.6823027718550106; 'f1-score': 0.600171878562534; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.9459459459459459; 'f1-score': 0.8045977011494254; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.35; 'recall': 0.47297297297297297; 'f1-score': 0.4022988505747127; 'support': 52}; 'weighted avg': {'precision': 0.49807692307692303; 'recall': 0.6730769230769231; 'f1-score': 0.572502210433245; 'support': 52}}
5,1,CNF,0,468,53,29,[16; 17],14,0.616581,0.679245,5,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5137614678899083; 'recall': 0.42105263157894735; 'f1-score': 0.46280991735537186; 'support': 133}; '1.0': {'precision': 0.7855153203342619; 'recall': 0.8417910447761194; 'f1-score': 0.8126801152737753; 'support': 335}; 'accuracy': 0.7222222222222222; 'macro avg': {'precision': 0.6496383941120851; 'recall': 0.6314218381775334; 'f1-score': 0.6377450163145736; 'support': 468}; 'weighted avg': {'precision': 0.7082861272250759; 'recall': 0.7222222222222222; 'f1-score': 0.7132511915063657; 'support': 468}},{'0.0': {'precision': 0.4166666666666667; 'recall': 0.3333333333333333; 'f1-score': 0.3703703703703704; 'support': 15}; '1.0': {'precision': 0.7560975609756098; 'recall': 0.8157894736842105; 'f1-score': 0.7848101265822786; 'support': 38}; 'accuracy': 0.6792452830188679; 'macro avg': {'precision': 0.5863821138211383; 'recall': 0.5745614035087719; 'f1-score': 0.5775902484763245; 'support': 53}; 'weighted avg': {'precision': 0.6600322135296826; 'recall': 0.6792452830188679; 'f1-score': 0.6675158559562668; 'support': 53}}
5,1,CNF,1,469,52,29,[16; 17],14,0.629046,0.596154,4,[(NOT X1) OR X2 < 1.650000 OR X4 < 211.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.0625; 'recall': 0.029850746268656716; 'f1-score': 0.0404040404040404; 'support': 134}; '1.0': {'precision': 0.6790123456790124; 'recall': 0.8208955223880597; 'f1-score': 0.7432432432432432; 'support': 335}; 'accuracy': 0.5948827292110874; 'macro avg': {'precision': 0.3707561728395062; 'recall': 0.4253731343283582; 'f1-score': 0.3918236418236418; 'support': 469}; 'weighted avg': {'precision': 0.5028659611992945; 'recall': 0.5948827292110874; 'f1-score': 0.5424320424320425; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; '1.0': {'precision': 0.6888888888888889; 'recall': 0.8157894736842105; 'f1-score': 0.746987951807229; 'support': 38}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.34444444444444444; 'recall': 0.40789473684210525; 'f1-score': 0.3734939759036145; 'support': 52}; 'weighted avg': {'precision': 0.5034188034188034; 'recall': 0.5961538461538461; 'f1-score': 0.545875810936052; 'support': 52}}
