l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,1,[460; 460],122,3.325362,0.961538,3,[X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.142350],{'0.0': {'precision': 0.9681978798586572; 'recall': 0.9480968858131488; 'f1-score': 0.958041958041958; 'support': 289}; '1.0': {'precision': 0.9152542372881356; 'recall': 0.9473684210526315; 'f1-score': 0.9310344827586206; 'support': 171}; 'accuracy': 0.9478260869565217; 'macro avg': {'precision': 0.9417260585733964; 'recall': 0.9477326534328901; 'f1-score': 0.9445382204002892; 'support': 460}; 'weighted avg': {'precision': 0.9485166562074415; 'recall': 0.9478260869565217; 'f1-score': 0.9480022226648913; 'support': 460}},{'0.0': {'precision': 1.0; 'recall': 0.9375; 'f1-score': 0.967741935483871; 'support': 32}; '1.0': {'precision': 0.9090909090909091; 'recall': 1.0; 'f1-score': 0.9523809523809523; 'support': 20}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9545454545454546; 'recall': 0.96875; 'f1-score': 0.9600614439324117; 'support': 52}; 'weighted avg': {'precision': 0.965034965034965; 'recall': 0.9615384615384616; 'f1-score': 0.9618338650596716; 'support': 52}}
l: 5,1,CNF,1,460,52,1,[460; 460],122,2.439185,0.923077,4,[X7 >= 0.079005 OR X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9556313993174061; 'recall': 0.9722222222222222; 'f1-score': 0.9638554216867469; 'support': 288}; '1.0': {'precision': 0.9520958083832335; 'recall': 0.9244186046511628; 'f1-score': 0.9380530973451326; 'support': 172}; 'accuracy': 0.9543478260869566; 'macro avg': {'precision': 0.9538636038503199; 'recall': 0.9483204134366925; 'f1-score': 0.9509542595159397; 'support': 460}; 'weighted avg': {'precision': 0.9543093957507156; 'recall': 0.9543478260869566; 'f1-score': 0.9542075960633608; 'support': 460}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9090909090909091; 'f1-score': 0.9374999999999999; 'support': 33}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9473684210526315; 'f1-score': 0.9; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9124423963133641; 'recall': 0.9282296650717703; 'f1-score': 0.91875; 'support': 52}; 'weighted avg': {'precision': 0.9273307337823467; 'recall': 0.9230769230769231; 'f1-score': 0.9237980769230768; 'support': 52}}
l: 5,1,CNF,2,461,51,1,[461; 461],122,3.002910,0.941176,5,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750 OR X28 >= 0.357100],{'0.0': {'precision': 0.9587628865979382; 'recall': 0.9653979238754326; 'f1-score': 0.9620689655172414; 'support': 289}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.9302325581395349; 'f1-score': 0.935672514619883; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9499696785930867; 'recall': 0.9478152410074837; 'f1-score': 0.9488707400685622; 'support': 461}; 'weighted avg': {'precision': 0.952201360451151; 'recall': 0.9522776572668112; 'f1-score': 0.9522203981542358; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.90625; 'f1-score': 0.9508196721311475; 'support': 32}; '1.0': {'precision': 0.8636363636363636; 'recall': 1.0; 'f1-score': 0.9268292682926829; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9318181818181819; 'recall': 0.953125; 'f1-score': 0.9388244702119152; 'support': 51}; 'weighted avg': {'precision': 0.9491978609625668; 'recall': 0.9411764705882353; 'f1-score': 0.9418820707011313; 'support': 51}}
l: 5,1,CNF,3,461,51,1,[461; 461],122,2.453145,0.941176,3,[X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9464882943143813; 'recall': 0.9792387543252595; 'f1-score': 0.9625850340136054; 'support': 289}; '1.0': {'precision': 0.9629629629629629; 'recall': 0.9069767441860465; 'f1-score': 0.934131736526946; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.954725628638672; 'recall': 0.943107749255653; 'f1-score': 0.9483583852702757; 'support': 461}; 'weighted avg': {'precision': 0.9526350253502947; 'recall': 0.9522776572668112; 'f1-score': 0.951969053172596; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,4,461,51,1,[461; 461],122,2.610541,0.941176,4,[X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9496644295302014; 'recall': 0.9792387543252595; 'f1-score': 0.9642248722316866; 'support': 289}; '1.0': {'precision': 0.9631901840490797; 'recall': 0.9127906976744186; 'f1-score': 0.9373134328358208; 'support': 172}; 'accuracy': 0.9544468546637744; 'macro avg': {'precision': 0.9564273067896405; 'recall': 0.946014725999839; 'f1-score': 0.9507691525337537; 'support': 461}; 'weighted avg': {'precision': 0.9547109149472234; 'recall': 0.9544468546637744; 'f1-score': 0.9541841616544872; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
l: 5,1,CNF,5,461,51,1,[461; 461],122,2.684519,1.000000,4,[X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9461279461279462; 'recall': 0.972318339100346; 'f1-score': 0.9590443686006827; 'support': 289}; '1.0': {'precision': 0.9512195121951219; 'recall': 0.9069767441860465; 'f1-score': 0.9285714285714286; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.948673729161534; 'recall': 0.9396475416431962; 'f1-score': 0.9438078985860556; 'support': 461}; 'weighted avg': {'precision': 0.9480276193677601; 'recall': 0.9479392624728851; 'f1-score': 0.9476748551841281; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 19}; 'accuracy': 1.0; 'macro avg': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 51}; 'weighted avg': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 51}}
l: 5,1,CNF,6,461,51,1,[461; 461],122,1.777315,0.901961,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.956081081081081; 'recall': 0.9792387543252595; 'f1-score': 0.9675213675213675; 'support': 289}; '1.0': {'precision': 0.9636363636363636; 'recall': 0.9244186046511628; 'f1-score': 0.943620178041543; 'support': 172}; 'accuracy': 0.9587852494577006; 'macro avg': {'precision': 0.9598587223587223; 'recall': 0.9518286794882111; 'f1-score': 0.9555707727814553; 'support': 461}; 'weighted avg': {'precision': 0.9588999717524662; 'recall': 0.9587852494577006; 'f1-score': 0.9586037870646867; 'support': 461}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
l: 5,1,CNF,7,461,51,1,[461; 461],122,2.987942,0.901961,4,[X7 >= 0.079005 OR X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9621993127147767; 'recall': 0.9688581314878892; 'f1-score': 0.9655172413793104; 'support': 289}; '1.0': {'precision': 0.9470588235294117; 'recall': 0.936046511627907; 'f1-score': 0.9415204678362572; 'support': 172}; 'accuracy': 0.9566160520607375; 'macro avg': {'precision': 0.9546290681220941; 'recall': 0.9524523215578982; 'f1-score': 0.9535188546077837; 'support': 461}; 'weighted avg': {'precision': 0.9565503666412782; 'recall': 0.9566160520607375; 'f1-score': 0.9565639983220323; 'support': 461}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.9375; 'f1-score': 0.923076923076923; 'support': 32}; '1.0': {'precision': 0.8888888888888888; 'recall': 0.8421052631578947; 'f1-score': 0.8648648648648649; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.898989898989899; 'recall': 0.8898026315789473; 'f1-score': 0.8939708939708939; 'support': 51}; 'weighted avg': {'precision': 0.9015646662705487; 'recall': 0.9019607843137255; 'f1-score': 0.901390077860666; 'support': 51}}
l: 5,1,CNF,8,461,51,1,[461; 461],122,2.148062,0.941176,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9527027027027027; 'recall': 0.9757785467128027; 'f1-score': 0.9641025641025641; 'support': 289}; '1.0': {'precision': 0.9575757575757575; 'recall': 0.9186046511627907; 'f1-score': 0.9376854599406528; 'support': 172}; 'accuracy': 0.9544468546637744; 'macro avg': {'precision': 0.9551392301392301; 'recall': 0.9471915989377967; 'f1-score': 0.9508940120216085; 'support': 461}; 'weighted avg': {'precision': 0.9545208489893956; 'recall': 0.9544468546637744; 'f1-score': 0.9542462909662327; 'support': 461}},{'0.0': {'precision': 0.9142857142857143; 'recall': 1.0; 'f1-score': 0.955223880597015; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8421052631578947; 'f1-score': 0.9142857142857143; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9571428571428571; 'recall': 0.9210526315789473; 'f1-score': 0.9347547974413646; 'support': 51}; 'weighted avg': {'precision': 0.9462184873949578; 'recall': 0.9411764705882353; 'f1-score': 0.939972406873197; 'support': 51}}
l: 5,1,CNF,9,461,51,1,[461; 461],122,1.940998,0.901961,4,[X7 >= 0.079005 OR X13 >= 53.780000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9590443686006825; 'recall': 0.972318339100346; 'f1-score': 0.9656357388316152; 'support': 289}; '1.0': {'precision': 0.9523809523809523; 'recall': 0.9302325581395349; 'f1-score': 0.9411764705882352; 'support': 172}; 'accuracy': 0.9566160520607375; 'macro avg': {'precision': 0.9557126604908175; 'recall': 0.9512754486199404; 'f1-score': 0.9534061047099252; 'support': 461}; 'weighted avg': {'precision': 0.9565582350002626; 'recall': 0.9566160520607375; 'f1-score': 0.9565099380987272; 'support': 461}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [461, 461], 'n_partitions': 1}, (mean val acc cv) 0.935520 (+- 0.029148), (mean training time) 2.536998 (+- 0.465759)
