l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,1,[460; 460],122,2.176566,0.923077,4,[X3 >= 696.250000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9556313993174061; 'recall': 0.9688581314878892; 'f1-score': 0.9621993127147765; 'support': 289}; '1.0': {'precision': 0.9461077844311377; 'recall': 0.9239766081871345; 'f1-score': 0.9349112426035503; 'support': 171}; 'accuracy': 0.9521739130434783; 'macro avg': {'precision': 0.950869591874272; 'recall': 0.9464173698375118; 'f1-score': 0.9485552776591635; 'support': 460}; 'weighted avg': {'precision': 0.952091099000989; 'recall': 0.9521739130434783; 'f1-score': 0.9520552692603859; 'support': 460}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.85; 'f1-score': 0.8947368421052632; 'support': 20}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9281045751633987; 'recall': 0.909375; 'f1-score': 0.9170653907496014; 'support': 52}; 'weighted avg': {'precision': 0.924333836098542; 'recall': 0.9230769230769231; 'f1-score': 0.9222181327444485; 'support': 52}}
l: 5,1,CNF,1,460,52,1,[460; 460],122,2.161105,0.961538,4,[X3 >= 696.250000 OR X7 >= 0.079005 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9551724137931035; 'recall': 0.9618055555555556; 'f1-score': 0.9584775086505191; 'support': 288}; '1.0': {'precision': 0.9352941176470588; 'recall': 0.9244186046511628; 'f1-score': 0.9298245614035087; 'support': 172}; 'accuracy': 0.9478260869565217; 'macro avg': {'precision': 0.9452332657200812; 'recall': 0.9431120801033592; 'f1-score': 0.9441510350270139; 'support': 460}; 'weighted avg': {'precision': 0.9477396595819738; 'recall': 0.9478260869565217; 'f1-score': 0.9477637979407674; 'support': 460}},{'0.0': {'precision': 0.9428571428571428; 'recall': 1.0; 'f1-score': 0.9705882352941176; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9714285714285714; 'recall': 0.9473684210526316; 'f1-score': 0.957516339869281; 'support': 52}; 'weighted avg': {'precision': 0.9637362637362638; 'recall': 0.9615384615384616; 'f1-score': 0.961035696329814; 'support': 52}}
l: 5,1,CNF,2,461,51,1,[461; 461],122,2.220399,0.941176,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9463087248322147; 'recall': 0.9757785467128027; 'f1-score': 0.9608177172061328; 'support': 289}; '1.0': {'precision': 0.9570552147239264; 'recall': 0.9069767441860465; 'f1-score': 0.9313432835820895; 'support': 172}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9516819697780705; 'recall': 0.9413776454494246; 'f1-score': 0.9460805003941112; 'support': 461}; 'weighted avg': {'precision': 0.9503182611909444; 'recall': 0.9501084598698482; 'f1-score': 0.9498207484787241; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,3,461,51,1,[461; 461],122,3.179698,0.882353,3,[X3 >= 883.250000 OR X20 >= 18.225000 OR X27 >= 0.142350],{'0.0': {'precision': 0.9522184300341296; 'recall': 0.9653979238754326; 'f1-score': 0.9587628865979381; 'support': 289}; '1.0': {'precision': 0.9404761904761905; 'recall': 0.9186046511627907; 'f1-score': 0.9294117647058823; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9463473102551601; 'recall': 0.9420012875191116; 'f1-score': 0.9440873256519102; 'support': 461}; 'weighted avg': {'precision': 0.9478373775309505; 'recall': 0.9479392624728851; 'f1-score': 0.9478119257184725; 'support': 461}},{'0.0': {'precision': 0.8823529411764706; 'recall': 0.9375; 'f1-score': 0.9090909090909091; 'support': 32}; '1.0': {'precision': 0.8823529411764706; 'recall': 0.7894736842105263; 'f1-score': 0.8333333333333333; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8823529411764706; 'recall': 0.8634868421052632; 'f1-score': 0.8712121212121211; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8808674985145573; 'support': 51}}
l: 5,1,CNF,4,461,51,1,[461; 461],122,2.207143,0.941176,4,[X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9493243243243243; 'recall': 0.972318339100346; 'f1-score': 0.9606837606837607; 'support': 289}; '1.0': {'precision': 0.9515151515151515; 'recall': 0.9127906976744186; 'f1-score': 0.9317507418397627; 'support': 172}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9504197379197379; 'recall': 0.9425545183873822; 'f1-score': 0.9462172512617617; 'support': 461}; 'weighted avg': {'precision': 0.950141726226325; 'recall': 0.9501084598698482; 'f1-score': 0.9498887948677788; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,5,461,51,1,[461; 461],122,2.391461,0.960784,4,[X3 >= 696.250000 OR X20 >= 16.795000 OR X22 >= 117.450000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9491525423728814; 'recall': 0.9688581314878892; 'f1-score': 0.958904109589041; 'support': 289}; '1.0': {'precision': 0.9457831325301205; 'recall': 0.9127906976744186; 'f1-score': 0.9289940828402367; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9474678374515009; 'recall': 0.940824414581154; 'f1-score': 0.9439490962146388; 'support': 461}; 'weighted avg': {'precision': 0.9478954089825238; 'recall': 0.9479392624728851; 'f1-score': 0.9477446202163852; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.9375; 'f1-score': 0.967741935483871; 'support': 32}; '1.0': {'precision': 0.9047619047619048; 'recall': 1.0; 'f1-score': 0.9500000000000001; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9523809523809523; 'recall': 0.96875; 'f1-score': 0.9588709677419356; 'support': 51}; 'weighted avg': {'precision': 0.9645191409897292; 'recall': 0.9607843137254902; 'f1-score': 0.9611321948134092; 'support': 51}}
l: 5,1,CNF,6,461,51,1,[461; 461],122,2.034721,0.901961,3,[X3 >= 696.250000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9525423728813559; 'recall': 0.972318339100346; 'f1-score': 0.9623287671232877; 'support': 289}; '1.0': {'precision': 0.9518072289156626; 'recall': 0.9186046511627907; 'f1-score': 0.9349112426035502; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9521748008985093; 'recall': 0.9454614951315683; 'f1-score': 0.948620004863419; 'support': 461}; 'weighted avg': {'precision': 0.9522680892325506; 'recall': 0.9522776572668112; 'f1-score': 0.952099235198353; 'support': 461}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.9375; 'f1-score': 0.923076923076923; 'support': 32}; '1.0': {'precision': 0.8888888888888888; 'recall': 0.8421052631578947; 'f1-score': 0.8648648648648649; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.898989898989899; 'recall': 0.8898026315789473; 'f1-score': 0.8939708939708939; 'support': 51}; 'weighted avg': {'precision': 0.9015646662705487; 'recall': 0.9019607843137255; 'f1-score': 0.901390077860666; 'support': 51}}
l: 5,1,CNF,7,461,51,1,[461; 461],122,2.219790,0.921569,4,[X3 >= 696.250000 OR X7 >= 0.079005 OR X20 >= 16.795000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9587628865979382; 'recall': 0.9653979238754326; 'f1-score': 0.9620689655172414; 'support': 289}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.9302325581395349; 'f1-score': 0.935672514619883; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9499696785930867; 'recall': 0.9478152410074837; 'f1-score': 0.9488707400685622; 'support': 461}; 'weighted avg': {'precision': 0.952201360451151; 'recall': 0.9522776572668112; 'f1-score': 0.9522203981542358; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
l: 5,1,CNF,8,461,51,1,[461; 461],122,1.757410,0.921569,4,[X3 >= 696.250000 OR X7 >= 0.079005 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9587628865979382; 'recall': 0.9653979238754326; 'f1-score': 0.9620689655172414; 'support': 289}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.9302325581395349; 'f1-score': 0.935672514619883; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9499696785930867; 'recall': 0.9478152410074837; 'f1-score': 0.9488707400685622; 'support': 461}; 'weighted avg': {'precision': 0.952201360451151; 'recall': 0.9522776572668112; 'f1-score': 0.9522203981542358; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,9,461,51,1,[461; 461],122,3.567020,0.941176,4,[X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9463087248322147; 'recall': 0.9757785467128027; 'f1-score': 0.9608177172061328; 'support': 289}; '1.0': {'precision': 0.9570552147239264; 'recall': 0.9069767441860465; 'f1-score': 0.9313432835820895; 'support': 172}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9516819697780705; 'recall': 0.9413776454494246; 'f1-score': 0.9460805003941112; 'support': 461}; 'weighted avg': {'precision': 0.9503182611909444; 'recall': 0.9501084598698482; 'f1-score': 0.9498207484787241; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [461, 461], 'n_partitions': 1}, (mean val acc cv) 0.929638 (+- 0.023585), (mean training time) 2.391531 (+- 0.521966)
