l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],262,1012.710797,0.781644,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7940127705448213; 'recall': 0.9564001398391849; 'f1-score': 0.8676740445390907; 'support': 20023}; '1': {'precision': 0.613031914893617; 'recall': 0.21776098252243742; 'f1-score': 0.32136632973161383; 'support': 6351}; 'accuracy': 0.7785318874649276; 'macro avg': {'precision': 0.7035223427192192; 'recall': 0.5870805611808112; 'f1-score': 0.5945201871353523; 'support': 26374}; 'weighted avg': {'precision': 0.7504316143212375; 'recall': 0.7785318874649276; 'f1-score': 0.7361202302999807; 'support': 26374}},{'0': {'precision': 0.7931927487976322; 'recall': 0.9635955056179776; 'f1-score': 0.8701298701298702; 'support': 2225}; '1': {'precision': 0.6447368421052632; 'recall': 0.20821529745042494; 'f1-score': 0.3147751605995718; 'support': 706}; 'accuracy': 0.7816444899351757; 'macro avg': {'precision': 0.7189647954514478; 'recall': 0.5859054015342012; 'f1-score': 0.592452515364721; 'support': 2931}; 'weighted avg': {'precision': 0.7574336665305519; 'recall': 0.7816444899351757; 'f1-score': 0.7363596807991329; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],262,1018.689308,0.780280,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7937487062719933; 'recall': 0.9575488188583129; 'f1-score': 0.8679885916066821; 'support': 20023}; '1': {'precision': 0.6169445696259577; 'recall': 0.21555660525901432; 'f1-score': 0.31948658109684946; 'support': 6351}; 'accuracy': 0.7788731326306211; 'macro avg': {'precision': 0.7053466379489755; 'recall': 0.5865527120586636; 'f1-score': 0.5937375863517658; 'support': 26374}; 'weighted avg': {'precision': 0.7511733262826487; 'recall': 0.7788731326306211; 'f1-score': 0.7359063792479974; 'support': 26374}},{'0': {'precision': 0.794413407821229; 'recall': 0.9586516853932584; 'f1-score': 0.8688391038696537; 'support': 2225}; '1': {'precision': 0.6260162601626016; 'recall': 0.21813031161473087; 'f1-score': 0.3235294117647059; 'support': 706}; 'accuracy': 0.7802797679972705; 'macro avg': {'precision': 0.7102148339919153; 'recall': 0.5883909985039947; 'f1-score': 0.5961842578171798; 'support': 2931}; 'weighted avg': {'precision': 0.7538510106028766; 'recall': 0.7802797679972705; 'f1-score': 0.7374884922606147; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],262,1017.002712,0.777550,7,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 10 OR X13 == 18 OR X13 == 34],{'0': {'precision': 0.7942103516921035; 'recall': 0.9564001398391849; 'f1-score': 0.8677920018126204; 'support': 20023}; '1': {'precision': 0.6140583554376657; 'recall': 0.21870571563533303; 'f1-score': 0.3225357018460467; 'support': 6351}; 'accuracy': 0.7787593842420566; 'macro avg': {'precision': 0.7041343535648846; 'recall': 0.587552927737259; 'f1-score': 0.5951638518293335; 'support': 26374}; 'weighted avg': {'precision': 0.7508287892362024; 'recall': 0.7787593842420566; 'f1-score': 0.7364913738802739; 'support': 26374}},{'0': {'precision': 0.7924879137225734; 'recall': 0.957752808988764; 'f1-score': 0.8673178673178673; 'support': 2225}; '1': {'precision': 0.6115702479338843; 'recall': 0.2096317280453258; 'f1-score': 0.31223628691983124; 'support': 706}; 'accuracy': 0.7775503241214603; 'macro avg': {'precision': 0.7020290808282288; 'recall': 0.5836922685170449; 'f1-score': 0.5897770771188493; 'support': 2931}; 'weighted avg': {'precision': 0.7489096564565159; 'recall': 0.7775503241214603; 'f1-score': 0.733613467535877; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],262,1018.435711,0.770386,7,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 10 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7946102819237147; 'recall': 0.9571992208959696; 'f1-score': 0.8683596493215233; 'support': 20023}; '1': {'precision': 0.6197870452528838; 'recall': 0.2199653597858605; 'f1-score': 0.32469494479953515; 'support': 6351}; 'accuracy': 0.7796693713505726; 'macro avg': {'precision': 0.7071986635882992; 'recall': 0.588582290340915; 'f1-score': 0.5965272970605292; 'support': 26374}; 'weighted avg': {'precision': 0.7525119132236143; 'recall': 0.7796693713505726; 'f1-score': 0.7374422860691101; 'support': 26374}},{'0': {'precision': 0.7897684839432412; 'recall': 0.950561797752809; 'f1-score': 0.8627370997348562; 'support': 2225}; '1': {'precision': 0.5652173913043478; 'recall': 0.20254957507082152; 'f1-score': 0.2982273201251303; 'support': 706}; 'accuracy': 0.7703855339474582; 'macro avg': {'precision': 0.6774929376237945; 'recall': 0.5765556864118153; 'f1-score': 0.5804822099299933; 'support': 2931}; 'weighted avg': {'precision': 0.7356800938364316; 'recall': 0.7703855339474582; 'f1-score': 0.7267616973450689; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],262,1013.091587,0.778233,7,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 12 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7940456939088609; 'recall': 0.9564001398391849; 'f1-score': 0.8676937018577254; 'support': 20023}; '1': {'precision': 0.613203367301728; 'recall': 0.21791843804125335; 'f1-score': 0.3215613382899628; 'support': 6351}; 'accuracy': 0.778569803594449; 'macro avg': {'precision': 0.7036245306052944; 'recall': 0.5871592889402192; 'f1-score': 0.5946275200738441; 'support': 26374}; 'weighted avg': {'precision': 0.7504978962186394; 'recall': 0.778569803594449; 'f1-score': 0.7361821131332672; 'support': 26374}},{'0': {'precision': 0.793952967525196; 'recall': 0.9559550561797753; 'f1-score': 0.8674551386623164; 'support': 2225}; '1': {'precision': 0.6111111111111112; 'recall': 0.21813031161473087; 'f1-score': 0.3215031315240084; 'support': 706}; 'accuracy': 0.7782326850904129; 'macro avg': {'precision': 0.7025320393181536; 'recall': 0.5870426838972531; 'f1-score': 0.5944791350931624; 'support': 2931}; 'weighted avg': {'precision': 0.7499112238785416; 'recall': 0.7782326850904129; 'f1-score': 0.7359498104331641; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],262,1015.644549,0.775085,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 41],{'0': {'precision': 0.7936265189716458; 'recall': 0.9589472107076862; 'f1-score': 0.8684894949906145; 'support': 20023}; '1': {'precision': 0.6231086657496562; 'recall': 0.21394836272040302; 'f1-score': 0.31852806750263685; 'support': 6352}; 'accuracy': 0.7795260663507109; 'macro avg': {'precision': 0.7083675923606509; 'recall': 0.5864477867140446; 'f1-score': 0.5935087812466256; 'support': 26375}; 'weighted avg': {'precision': 0.7525600012971025; 'recall': 0.7795260663507109; 'f1-score': 0.7360400167952161; 'support': 26375}},{'0': {'precision': 0.7950263752825923; 'recall': 0.9483146067415731; 'f1-score': 0.8649313383890141; 'support': 2225}; '1': {'precision': 0.5833333333333334; 'recall': 0.22836879432624113; 'f1-score': 0.32823649337410804; 'support': 705}; 'accuracy': 0.7750853242320819; 'macro avg': {'precision': 0.6891798543079628; 'recall': 0.5883417005339071; 'f1-score': 0.5965839158815611; 'support': 2930}; 'weighted avg': {'precision': 0.744089994881832; 'recall': 0.7750853242320819; 'f1-score': 0.7357948654417414; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],262,1061.875965,0.781911,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 18 OR X13 == 34],{'0': {'precision': 0.7933545744196632; 'recall': 0.9575488188583129; 'f1-score': 0.8677528852681601; 'support': 20023}; '1': {'precision': 0.615036231884058; 'recall': 0.21379093198992444; 'f1-score': 0.3172897196261682; 'support': 6352}; 'accuracy': 0.7784265402843602; 'macro avg': {'precision': 0.7041954031518606; 'recall': 0.5856698754241186; 'f1-score': 0.5925213024471642; 'support': 26375}; 'weighted avg': {'precision': 0.7504094327405668; 'recall': 0.7784265402843602; 'f1-score': 0.7351825714043522; 'support': 26375}},{'0': {'precision': 0.7983446200150489; 'recall': 0.9537078651685393; 'f1-score': 0.8691378251075158; 'support': 2225}; '1': {'precision': 0.6213235294117647; 'recall': 0.2397163120567376; 'f1-score': 0.345957011258956; 'support': 705}; 'accuracy': 0.7819112627986348; 'macro avg': {'precision': 0.7098340747134069; 'recall': 0.5967120886126385; 'f1-score': 0.6075474181832359; 'support': 2930}; 'weighted avg': {'precision': 0.755750808112211; 'recall': 0.7819112627986348; 'f1-score': 0.7432530217753538; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],262,1040.577183,0.779863,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 41],{'0': {'precision': 0.7937986421592979; 'recall': 0.957648703990411; 'f1-score': 0.8680594852758097; 'support': 20023}; '1': {'precision': 0.6178458765209554; 'recall': 0.2158375314861461; 'f1-score': 0.31991599579979; 'support': 6352}; 'accuracy': 0.7789952606635071; 'macro avg': {'precision': 0.7058222593401267; 'recall': 0.5867431177382786; 'f1-score': 0.5939877405377998; 'support': 26375}; 'weighted avg': {'precision': 0.7514232121181699; 'recall': 0.7789952606635071; 'f1-score': 0.7360478285875944; 'support': 26375}},{'0': {'precision': 0.7934621099554234; 'recall': 0.96; 'f1-score': 0.8688224527150702; 'support': 2225}; '1': {'precision': 0.6260504201680672; 'recall': 0.21134751773049645; 'f1-score': 0.31601272534464475; 'support': 705}; 'accuracy': 0.7798634812286689; 'macro avg': {'precision': 0.7097562650617453; 'recall': 0.5856737588652482; 'f1-score': 0.5924175890298575; 'support': 2930}; 'weighted avg': {'precision': 0.7531804576345749; 'recall': 0.7798634812286689; 'f1-score': 0.735808508074746; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],262,1012.724843,0.775768,7,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 10 OR X13 == 18 OR X13 == 34],{'0': {'precision': 0.7944080311955529; 'recall': 0.956352377147423; 'f1-score': 0.8678903240426014; 'support': 20024}; '1': {'precision': 0.6148082855883649; 'recall': 0.21965044874822862; 'f1-score': 0.3236658932714617; 'support': 6351}; 'accuracy': 0.778957345971564; 'macro avg': {'precision': 0.7046081583919589; 'recall': 0.5880014129478258; 'f1-score': 0.5957781086570315; 'support': 26375}; 'weighted avg': {'precision': 0.7511610934002448; 'recall': 0.778957345971564; 'f1-score': 0.7368431445230749; 'support': 26375}},{'0': {'precision': 0.7907235621521336; 'recall': 0.95818345323741; 'f1-score': 0.8664362675340517; 'support': 2224}; '1': {'precision': 0.6042553191489362; 'recall': 0.20113314447592068; 'f1-score': 0.30180658873538785; 'support': 706}; 'accuracy': 0.7757679180887372; 'macro avg': {'precision': 0.6974894406505349; 'recall': 0.5796582988566654; 'f1-score': 0.5841214281347198; 'support': 2930}; 'weighted avg': {'precision': 0.7457929889233768; 'recall': 0.7757679180887372; 'f1-score': 0.7303855667723259; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],262,1012.050723,0.779181,7,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 10 OR X13 == 34],{'0': {'precision': 0.8032338095645478; 'recall': 0.9377746703955254; 'f1-score': 0.8653057462789733; 'support': 20024}; '1': {'precision': 0.584250917584251; 'recall': 0.27570461344670133; 'f1-score': 0.3746255883611468; 'support': 6351}; 'accuracy': 0.7783507109004739; 'macro avg': {'precision': 0.6937423635743993; 'recall': 0.6067396419211134; 'f1-score': 0.61996566732006; 'support': 26375}; 'weighted avg': {'precision': 0.7505035594425813; 'recall': 0.7783507109004739; 'f1-score': 0.7471518246510637; 'support': 26375}},{'0': {'precision': 0.8033859176606387; 'recall': 0.9388489208633094; 'f1-score': 0.8658511300020734; 'support': 2224}; '1': {'precision': 0.5891238670694864; 'recall': 0.2762039660056657; 'f1-score': 0.37608486017357756; 'support': 706}; 'accuracy': 0.7791808873720136; 'macro avg': {'precision': 0.6962548923650625; 'recall': 0.6075264434344876; 'f1-score': 0.6209679950878255; 'support': 2930}; 'weighted avg': {'precision': 0.7517582699755352; 'recall': 0.7791808873720136; 'f1-score': 0.7478391892174597; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.777990 (+- 0.003322), (mean training time) 1022.280338 (+- 15.408159)
