l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],222,0.867565,0.750000,1,[X23 >= -0.987455],{'0.0': {'precision': 0.9090909090909091; 'recall': 0.1941747572815534; 'f1-score': 0.31999999999999995; 'support': 103}; '1.0': {'precision': 0.683206106870229; 'recall': 0.988950276243094; 'f1-score': 0.8081264108352143; 'support': 181}; 'accuracy': 0.7007042253521126; 'macro avg': {'precision': 0.796148507980569; 'recall': 0.5915625167623236; 'f1-score': 0.5640632054176071; 'support': 284}; 'weighted avg': {'precision': 0.7651291161263207; 'recall': 0.7007042253521126; 'f1-score': 0.6310946491590625; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
l: 5,1,CNF,1,284,32,35,[8; 9],222,1.022100,0.687500,2,[X2 >= 0.739470 OR X7 < -0.000375],{'0.0': {'precision': 0.6; 'recall': 0.4368932038834951; 'f1-score': 0.5056179775280899; 'support': 103}; '1.0': {'precision': 0.722488038277512; 'recall': 0.8342541436464088; 'f1-score': 0.7743589743589744; 'support': 181}; 'accuracy': 0.6901408450704225; 'macro avg': {'precision': 0.661244019138756; 'recall': 0.635573673764952; 'f1-score': 0.6399884759435321; 'support': 284}; 'weighted avg': {'precision': 0.6780645596064425; 'recall': 0.6901408450704225; 'f1-score': 0.6768930494519987; 'support': 284}},{'0.0': {'precision': 0.5384615384615384; 'recall': 0.6363636363636364; 'f1-score': 0.5833333333333334; 'support': 11}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.7142857142857143; 'f1-score': 0.7500000000000001; 'support': 21}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.6639676113360324; 'recall': 0.6753246753246753; 'f1-score': 0.6666666666666667; 'support': 32}; 'weighted avg': {'precision': 0.7031882591093117; 'recall': 0.6875; 'f1-score': 0.6927083333333334; 'support': 32}}
l: 5,1,CNF,2,284,32,35,[8; 9],222,1.148232,0.843750,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5196078431372549; 'f1-score': 0.6838709677419356; 'support': 102}; '1.0': {'precision': 0.7878787878787878; 'recall': 1.0; 'f1-score': 0.8813559322033898; 'support': 182}; 'accuracy': 0.8274647887323944; 'macro avg': {'precision': 0.8939393939393939; 'recall': 0.7598039215686274; 'f1-score': 0.7826134499726627; 'support': 284}; 'weighted avg': {'precision': 0.8640631668800682; 'recall': 0.8274647887323944; 'f1-score': 0.8104282336996281; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5833333333333334; 'f1-score': 0.7368421052631579; 'support': 12}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9; 'recall': 0.7916666666666667; 'f1-score': 0.8128654970760234; 'support': 32}; 'weighted avg': {'precision': 0.875; 'recall': 0.84375; 'f1-score': 0.8318713450292398; 'support': 32}}
l: 5,1,CNF,3,284,32,35,[8; 9],222,1.096268,0.718750,1,[X13 >= -0.554585],{'0.0': {'precision': 0.9615384615384616; 'recall': 0.24509803921568626; 'f1-score': 0.390625; 'support': 102}; '1.0': {'precision': 0.7015503875968992; 'recall': 0.9945054945054945; 'f1-score': 0.8227272727272729; 'support': 182}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.8315444245676804; 'recall': 0.6198017668605904; 'f1-score': 0.6066761363636364; 'support': 284}; 'weighted avg': {'precision': 0.7949263859843617; 'recall': 0.7253521126760564; 'f1-score': 0.6675356113956467; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.25; 'f1-score': 0.4; 'support': 12}; '1.0': {'precision': 0.6896551724137931; 'recall': 1.0; 'f1-score': 0.8163265306122449; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.8448275862068966; 'recall': 0.625; 'f1-score': 0.6081632653061224; 'support': 32}; 'weighted avg': {'precision': 0.8060344827586208; 'recall': 0.71875; 'f1-score': 0.6602040816326531; 'support': 32}}
l: 5,1,CNF,4,284,32,35,[8; 9],222,1.166728,0.656250,2,[X2 >= 0.739470 OR X21 < -0.001400],{'0.0': {'precision': 0.6666666666666666; 'recall': 0.47058823529411764; 'f1-score': 0.5517241379310345; 'support': 102}; '1.0': {'precision': 0.7452830188679245; 'recall': 0.8681318681318682; 'f1-score': 0.8020304568527918; 'support': 182}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.7059748427672956; 'recall': 0.669360051712993; 'f1-score': 0.6768772973919132; 'support': 284}; 'weighted avg': {'precision': 0.7170475684294446; 'recall': 0.7253521126760564; 'f1-score': 0.7121317085076537; 'support': 284}},{'0.0': {'precision': 0.6; 'recall': 0.25; 'f1-score': 0.35294117647058826; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.9; 'f1-score': 0.7659574468085106; 'support': 20}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.6333333333333333; 'recall': 0.575; 'f1-score': 0.5594493116395495; 'support': 32}; 'weighted avg': {'precision': 0.6416666666666666; 'recall': 0.65625; 'f1-score': 0.6110763454317897; 'support': 32}}
l: 5,1,CNF,5,284,32,35,[8; 9],222,1.295218,0.750000,1,[X26 < 0.999945],{'0.0': {'precision': 0.8513513513513513; 'recall': 0.6176470588235294; 'f1-score': 0.7159090909090908; 'support': 102}; '1.0': {'precision': 0.8142857142857143; 'recall': 0.9395604395604396; 'f1-score': 0.8724489795918368; 'support': 182}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.8328185328185328; 'recall': 0.7786037491919845; 'f1-score': 0.7941790352504638; 'support': 284}; 'weighted avg': {'precision': 0.827598020555767; 'recall': 0.823943661971831; 'f1-score': 0.8162269068959209; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.4166666666666667; 'f1-score': 0.5555555555555556; 'support': 12}; '1.0': {'precision': 0.7307692307692307; 'recall': 0.95; 'f1-score': 0.8260869565217392; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.782051282051282; 'recall': 0.6833333333333333; 'f1-score': 0.6908212560386474; 'support': 32}; 'weighted avg': {'precision': 0.7692307692307692; 'recall': 0.75; 'f1-score': 0.7246376811594204; 'support': 32}}
l: 5,1,CNF,6,285,31,35,[8; 9],222,1.296450,0.709677,3,[X5 < -0.000715 OR X9 >= 0.591395 OR X24 >= 0.087220],{'0.0': {'precision': 0.7111111111111111; 'recall': 0.3106796116504854; 'f1-score': 0.43243243243243246; 'support': 103}; '1.0': {'precision': 0.7041666666666667; 'recall': 0.9285714285714286; 'f1-score': 0.8009478672985783; 'support': 182}; 'accuracy': 0.7052631578947368; 'macro avg': {'precision': 0.7076388888888889; 'recall': 0.6196255201109571; 'f1-score': 0.6166901498655053; 'support': 285}; 'weighted avg': {'precision': 0.7066764132553606; 'recall': 0.7052631578947368; 'f1-score': 0.6677650961013396; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.6896551724137931; 'recall': 1.0; 'f1-score': 0.8163265306122449; 'support': 20}; 'accuracy': 0.7096774193548387; 'macro avg': {'precision': 0.8448275862068966; 'recall': 0.5909090909090909; 'f1-score': 0.5620094191522763; 'support': 31}; 'weighted avg': {'precision': 0.799777530589544; 'recall': 0.7096774193548387; 'f1-score': 0.6358434192535575; 'support': 31}}
l: 5,1,CNF,7,285,31,35,[8; 9],222,1.437879,0.806452,1,[X30 >= 0.132415],{'0.0': {'precision': 0.6210526315789474; 'recall': 0.5728155339805825; 'f1-score': 0.595959595959596; 'support': 103}; '1.0': {'precision': 0.7684210526315789; 'recall': 0.8021978021978022; 'f1-score': 0.7849462365591398; 'support': 182}; 'accuracy': 0.7192982456140351; 'macro avg': {'precision': 0.6947368421052631; 'recall': 0.6875066680891924; 'f1-score': 0.6904529162593679; 'support': 285}; 'weighted avg': {'precision': 0.7151615881809787; 'recall': 0.7192982456140351; 'f1-score': 0.716645801535445; 'support': 285}},{'0.0': {'precision': 0.7272727272727273; 'recall': 0.7272727272727273; 'f1-score': 0.7272727272727273; 'support': 11}; '1.0': {'precision': 0.85; 'recall': 0.85; 'f1-score': 0.85; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.7886363636363636; 'recall': 0.7886363636363636; 'f1-score': 0.7886363636363636; 'support': 31}; 'weighted avg': {'precision': 0.8064516129032258; 'recall': 0.8064516129032258; 'f1-score': 0.8064516129032258; 'support': 31}}
l: 5,1,CNF,8,285,31,35,[8; 9],222,1.378040,0.741935,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.49514563106796117; 'f1-score': 0.6623376623376623; 'support': 103}; '1.0': {'precision': 0.7777777777777778; 'recall': 1.0; 'f1-score': 0.8750000000000001; 'support': 182}; 'accuracy': 0.8175438596491228; 'macro avg': {'precision': 0.8888888888888888; 'recall': 0.7475728155339806; 'f1-score': 0.7686688311688312; 'support': 285}; 'weighted avg': {'precision': 0.8580896686159845; 'recall': 0.8175438596491228; 'f1-score': 0.7981430849851904; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6363636363636364; 'f1-score': 0.6309523809523809; 'support': 31}; 'weighted avg': {'precision': 0.815668202764977; 'recall': 0.7419354838709677; 'f1-score': 0.6897081413210445; 'support': 31}}
l: 5,1,CNF,9,285,31,35,[8; 9],222,1.586572,0.516129,1,[X7 >= -0.000375],{'0.0': {'precision': 0.42105263157894735; 'recall': 0.3883495145631068; 'f1-score': 0.40404040404040403; 'support': 103}; '1.0': {'precision': 0.6684210526315789; 'recall': 0.6978021978021978; 'f1-score': 0.6827956989247312; 'support': 182}; 'accuracy': 0.5859649122807018; 'macro avg': {'precision': 0.5447368421052632; 'recall': 0.5430758561826523; 'f1-score': 0.5434180514825676; 'support': 285}; 'weighted avg': {'precision': 0.5790212373037857; 'recall': 0.5859649122807018; 'f1-score': 0.5820525572647813; 'support': 285}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.36363636363636365; 'f1-score': 0.34782608695652173; 'support': 11}; '1.0': {'precision': 0.631578947368421; 'recall': 0.6; 'f1-score': 0.6153846153846154; 'support': 20}; 'accuracy': 0.5161290322580645; 'macro avg': {'precision': 0.48245614035087714; 'recall': 0.4818181818181818; 'f1-score': 0.4816053511705686; 'support': 31}; 'weighted avg': {'precision': 0.525749858517261; 'recall': 0.5161290322580645; 'f1-score': 0.5204444923940016; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 35}, (mean val acc cv) 0.718044 (+- 0.084748), (mean training time) 1.229505 (+- 0.201021)
