l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,57,[8; 9],540,2.304542,0.884615,1,[X0 >= 15.056000],{'0.0': {'precision': 0.875; 'recall': 0.9688581314878892; 'f1-score': 0.9195402298850575; 'support': 289}; '1.0': {'precision': 0.9357142857142857; 'recall': 0.7660818713450293; 'f1-score': 0.842443729903537; 'support': 171}; 'accuracy': 0.8934782608695652; 'macro avg': {'precision': 0.9053571428571429; 'recall': 0.8674700014164592; 'f1-score': 0.8809919798942972; 'support': 460}; 'weighted avg': {'precision': 0.8975698757763976; 'recall': 0.8934782608695652; 'f1-score': 0.8908804440223619; 'support': 460}},{'0.0': {'precision': 0.8611111111111112; 'recall': 0.96875; 'f1-score': 0.911764705882353; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.75; 'f1-score': 0.8333333333333334; 'support': 20}; 'accuracy': 0.8846153846153846; 'macro avg': {'precision': 0.8993055555555556; 'recall': 0.859375; 'f1-score': 0.8725490196078431; 'support': 52}; 'weighted avg': {'precision': 0.890491452991453; 'recall': 0.8846153846153846; 'f1-score': 0.8815987933634992; 'support': 52}}
l: 5,1,CNF,1,460,52,57,[8; 9],540,2.562826,0.865385,2,[X0 >= 14.058000 OR X1 >= 24.992000],{'0.0': {'precision': 0.9126984126984127; 'recall': 0.7986111111111112; 'f1-score': 0.8518518518518519; 'support': 288}; '1.0': {'precision': 0.7211538461538461; 'recall': 0.872093023255814; 'f1-score': 0.7894736842105264; 'support': 172}; 'accuracy': 0.8260869565217391; 'macro avg': {'precision': 0.8169261294261294; 'recall': 0.8353520671834626; 'f1-score': 0.8206627680311891; 'support': 460}; 'weighted avg': {'precision': 0.8410774008600095; 'recall': 0.8260869565217391; 'f1-score': 0.8285278413424867; 'support': 460}},{'0.0': {'precision': 0.90625; 'recall': 0.8787878787878788; 'f1-score': 0.8923076923076922; 'support': 33}; '1.0': {'precision': 0.8; 'recall': 0.8421052631578947; 'f1-score': 0.8205128205128205; 'support': 19}; 'accuracy': 0.8653846153846154; 'macro avg': {'precision': 0.853125; 'recall': 0.8604465709728868; 'f1-score': 0.8564102564102564; 'support': 52}; 'weighted avg': {'precision': 0.8674278846153847; 'recall': 0.8653846153846154; 'f1-score': 0.8660749506903352; 'support': 52}}
l: 5,1,CNF,2,461,51,57,[8; 9],540,2.729931,0.862745,2,[X0 >= 15.056000 OR X4 >= 0.095870],{'0.0': {'precision': 0.943502824858757; 'recall': 0.5778546712802768; 'f1-score': 0.7167381974248925; 'support': 289}; '1.0': {'precision': 0.5704225352112676; 'recall': 0.9418604651162791; 'f1-score': 0.7105263157894737; 'support': 172}; 'accuracy': 0.7136659436008677; 'macro avg': {'precision': 0.7569626800350123; 'recall': 0.759857568198278; 'f1-score': 0.7136322566071831; 'support': 461}; 'weighted avg': {'precision': 0.8043058404349649; 'recall': 0.7136659436008677; 'f1-score': 0.7144205322593999; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.78125; 'f1-score': 0.8771929824561403; 'support': 32}; '1.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8653846153846154; 'recall': 0.890625; 'f1-score': 0.8608187134502923; 'support': 51}; 'weighted avg': {'precision': 0.8996983408748115; 'recall': 0.8627450980392157; 'f1-score': 0.8649925467262928; 'support': 51}}
l: 5,1,CNF,3,461,51,57,[8; 9],540,2.585101,0.960784,1,[X0 >= 15.056000],{'0.0': {'precision': 0.8664596273291926; 'recall': 0.9653979238754326; 'f1-score': 0.9132569558101473; 'support': 289}; '1.0': {'precision': 0.9280575539568345; 'recall': 0.75; 'f1-score': 0.8295819935691319; 'support': 172}; 'accuracy': 0.8850325379609545; 'macro avg': {'precision': 0.8972585906430135; 'recall': 0.8576989619377162; 'f1-score': 0.8714194746896395; 'support': 461}; 'weighted avg': {'precision': 0.8894419340102216; 'recall': 0.8850325379609545; 'f1-score': 0.8820376640412653; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
l: 5,1,CNF,4,461,51,57,[8; 9],540,2.325847,0.941176,2,[X0 >= 14.058000 OR X6 >= 0.111920],{'0.0': {'precision': 0.9523809523809523; 'recall': 0.8304498269896193; 'f1-score': 0.88724584103512; 'support': 289}; '1.0': {'precision': 0.7655502392344498; 'recall': 0.9302325581395349; 'f1-score': 0.8398950131233596; 'support': 172}; 'accuracy': 0.8676789587852495; 'macro avg': {'precision': 0.858965595807701; 'recall': 0.8803411925645771; 'f1-score': 0.8635704270792398; 'support': 461}; 'weighted avg': {'precision': 0.8826740485605653; 'recall': 0.8676789587852495; 'f1-score': 0.8695791546992789; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.90625; 'f1-score': 0.9508196721311475; 'support': 32}; '1.0': {'precision': 0.8636363636363636; 'recall': 1.0; 'f1-score': 0.9268292682926829; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9318181818181819; 'recall': 0.953125; 'f1-score': 0.9388244702119152; 'support': 51}; 'weighted avg': {'precision': 0.9491978609625668; 'recall': 0.9411764705882353; 'f1-score': 0.9418820707011313; 'support': 51}}
l: 5,1,CNF,5,461,51,57,[8; 9],540,2.107933,0.843137,2,[X0 >= 14.058000 OR X4 >= 0.103260],{'0.0': {'precision': 0.9558823529411765; 'recall': 0.6747404844290658; 'f1-score': 0.7910750507099391; 'support': 289}; '1.0': {'precision': 0.6342412451361867; 'recall': 0.9476744186046512; 'f1-score': 0.75990675990676; 'support': 172}; 'accuracy': 0.7765726681127982; 'macro avg': {'precision': 0.7950617990386817; 'recall': 0.8112074515168585; 'f1-score': 0.7754909053083496; 'support': 461}; 'weighted avg': {'precision': 0.8358774276863863; 'recall': 0.7765726681127982; 'f1-score': 0.7794461005621153; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.75; 'f1-score': 0.8571428571428571; 'support': 32}; '1.0': {'precision': 0.7037037037037037; 'recall': 1.0; 'f1-score': 0.8260869565217391; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8518518518518519; 'recall': 0.875; 'f1-score': 0.8416149068322981; 'support': 51}; 'weighted avg': {'precision': 0.8896151053013798; 'recall': 0.8431372549019608; 'f1-score': 0.8455730118134209; 'support': 51}}
l: 5,1,CNF,6,461,51,57,[8; 9],540,2.258909,0.882353,2,[X0 >= 15.056000 OR X7 >= 0.048318],{'0.0': {'precision': 0.9845559845559846; 'recall': 0.8823529411764706; 'f1-score': 0.9306569343065694; 'support': 289}; '1.0': {'precision': 0.8316831683168316; 'recall': 0.9767441860465116; 'f1-score': 0.8983957219251336; 'support': 172}; 'accuracy': 0.9175704989154013; 'macro avg': {'precision': 0.9081195764364081; 'recall': 0.9295485636114911; 'f1-score': 0.9145263281158516; 'support': 461}; 'weighted avg': {'precision': 0.9275188383669731; 'recall': 0.9175704989154013; 'f1-score': 0.9186202129842115; 'support': 461}},{'0.0': {'precision': 0.8823529411764706; 'recall': 0.9375; 'f1-score': 0.9090909090909091; 'support': 32}; '1.0': {'precision': 0.8823529411764706; 'recall': 0.7894736842105263; 'f1-score': 0.8333333333333333; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8823529411764706; 'recall': 0.8634868421052632; 'f1-score': 0.8712121212121211; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8808674985145573; 'support': 51}}
l: 5,1,CNF,7,461,51,57,[8; 9],540,2.187341,0.901961,1,[X0 >= 14.058000],{'0.0': {'precision': 0.9124087591240876; 'recall': 0.8650519031141869; 'f1-score': 0.8880994671403197; 'support': 289}; '1.0': {'precision': 0.7914438502673797; 'recall': 0.8604651162790697; 'f1-score': 0.8245125348189415; 'support': 172}; 'accuracy': 0.8633405639913232; 'macro avg': {'precision': 0.8519263046957337; 'recall': 0.8627585096966284; 'f1-score': 0.8563060009796306; 'support': 461}; 'weighted avg': {'precision': 0.8672765154725609; 'recall': 0.8633405639913232; 'f1-score': 0.8643750585518662; 'support': 461}},{'0.0': {'precision': 0.9354838709677419; 'recall': 0.90625; 'f1-score': 0.9206349206349206; 'support': 32}; '1.0': {'precision': 0.85; 'recall': 0.8947368421052632; 'f1-score': 0.8717948717948718; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8927419354838709; 'recall': 0.9004934210526316; 'f1-score': 0.8962148962148961; 'support': 51}; 'weighted avg': {'precision': 0.9036369386464261; 'recall': 0.9019607843137255; 'f1-score': 0.9024396083219612; 'support': 51}}
l: 5,1,CNF,8,461,51,57,[8; 9],540,2.272321,0.686275,2,[X1 >= 19.968000 OR X24 >= 0.142600],{'0.0': {'precision': 0.8779342723004695; 'recall': 0.6470588235294118; 'f1-score': 0.7450199203187251; 'support': 289}; '1.0': {'precision': 0.5887096774193549; 'recall': 0.8488372093023255; 'f1-score': 0.6952380952380952; 'support': 172}; 'accuracy': 0.7223427331887202; 'macro avg': {'precision': 0.7333219748599122; 'recall': 0.7479480164158687; 'f1-score': 0.7201290077784102; 'support': 461}; 'weighted avg': {'precision': 0.7700240113036111; 'recall': 0.7223427331887202; 'f1-score': 0.7264462241931973; 'support': 461}},{'0.0': {'precision': 0.9444444444444444; 'recall': 0.53125; 'f1-score': 0.6799999999999999; 'support': 32}; '1.0': {'precision': 0.5454545454545454; 'recall': 0.9473684210526315; 'f1-score': 0.6923076923076923; 'support': 19}; 'accuracy': 0.6862745098039216; 'macro avg': {'precision': 0.7449494949494949; 'recall': 0.7393092105263157; 'f1-score': 0.6861538461538461; 'support': 51}; 'weighted avg': {'precision': 0.7958011487423252; 'recall': 0.6862745098039216; 'f1-score': 0.6845852187028657; 'support': 51}}
l: 5,1,CNF,9,461,51,57,[8; 9],540,2.154010,0.705882,3,[X0 >= 15.056000 OR X4 >= 0.114820 OR X21 >= 26.724000],{'0.0': {'precision': 0.9801980198019802; 'recall': 0.6851211072664359; 'f1-score': 0.8065173116089612; 'support': 289}; '1.0': {'precision': 0.6486486486486487; 'recall': 0.9767441860465116; 'f1-score': 0.7795823665893271; 'support': 172}; 'accuracy': 0.7939262472885033; 'macro avg': {'precision': 0.8144233342253144; 'recall': 0.8309326466564737; 'f1-score': 0.7930498390991442; 'support': 461}; 'weighted avg': {'precision': 0.8564963021482428; 'recall': 0.7939262472885033; 'f1-score': 0.7964678310376444; 'support': 461}},{'0.0': {'precision': 0.9473684210526315; 'recall': 0.5625; 'f1-score': 0.7058823529411765; 'support': 32}; '1.0': {'precision': 0.5625; 'recall': 0.9473684210526315; 'f1-score': 0.7058823529411765; 'support': 19}; 'accuracy': 0.7058823529411765; 'macro avg': {'precision': 0.7549342105263157; 'recall': 0.7549342105263157; 'f1-score': 0.7058823529411765; 'support': 51}; 'weighted avg': {'precision': 0.803986068111455; 'recall': 0.7058823529411765; 'f1-score': 0.7058823529411765; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 57}, (mean val acc cv) 0.853431 (+- 0.085695), (mean training time) 2.348876 (+- 0.196303)
