l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,57,[8; 9],540,1.751496,0.826923,2,[X0 >= 15.056000 OR X5 >= 0.108740],{'0.0': {'precision': 0.974025974025974; 'recall': 0.7785467128027682; 'f1-score': 0.8653846153846155; 'support': 289}; '1.0': {'precision': 0.7205240174672489; 'recall': 0.9649122807017544; 'f1-score': 0.825; 'support': 171}; 'accuracy': 0.8478260869565217; 'macro avg': {'precision': 0.8472749957466115; 'recall': 0.8717294967522613; 'f1-score': 0.8451923076923078; 'support': 460}; 'weighted avg': {'precision': 0.8797893771313177; 'recall': 0.8478260869565217; 'f1-score': 0.8503720735785953; 'support': 460}},{'0.0': {'precision': 0.9259259259259259; 'recall': 0.78125; 'f1-score': 0.847457627118644; 'support': 32}; '1.0': {'precision': 0.72; 'recall': 0.9; 'f1-score': 0.7999999999999999; 'support': 20}; 'accuracy': 0.8269230769230769; 'macro avg': {'precision': 0.8229629629629629; 'recall': 0.840625; 'f1-score': 0.8237288135593219; 'support': 52}; 'weighted avg': {'precision': 0.8467236467236466; 'recall': 0.8269230769230769; 'f1-score': 0.8292046936114732; 'support': 52}}
l: 5,1,CNF,1,460,52,57,[8; 9],540,1.999503,0.903846,1,[X7 >= 0.048318],{'0.0': {'precision': 0.9558823529411765; 'recall': 0.9027777777777778; 'f1-score': 0.9285714285714286; 'support': 288}; '1.0': {'precision': 0.851063829787234; 'recall': 0.9302325581395349; 'f1-score': 0.888888888888889; 'support': 172}; 'accuracy': 0.9130434782608695; 'macro avg': {'precision': 0.9034730913642053; 'recall': 0.9165051679586563; 'f1-score': 0.9087301587301588; 'support': 460}; 'weighted avg': {'precision': 0.9166893399357894; 'recall': 0.9130434782608695; 'f1-score': 0.9137336093857834; 'support': 460}},{'0.0': {'precision': 0.9666666666666667; 'recall': 0.8787878787878788; 'f1-score': 0.9206349206349207; 'support': 33}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9473684210526315; 'f1-score': 0.8780487804878049; 'support': 19}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.8924242424242425; 'recall': 0.9130781499202552; 'f1-score': 0.8993418505613628; 'support': 52}; 'weighted avg': {'precision': 0.9124125874125875; 'recall': 0.9038461538461539; 'f1-score': 0.9050746001965515; 'support': 52}}
l: 5,1,CNF,2,461,51,57,[8; 9],540,1.840069,0.921569,1,[X7 >= 0.064496],{'0.0': {'precision': 0.8722741433021807; 'recall': 0.9688581314878892; 'f1-score': 0.9180327868852459; 'support': 289}; '1.0': {'precision': 0.9357142857142857; 'recall': 0.7616279069767442; 'f1-score': 0.8397435897435899; 'support': 172}; 'accuracy': 0.8915401301518439; 'macro avg': {'precision': 0.9039942145082331; 'recall': 0.8652430192323167; 'f1-score': 0.878888188314418; 'support': 461}; 'weighted avg': {'precision': 0.8959437842889096; 'recall': 0.8915401301518439; 'f1-score': 0.8888229345894437; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
l: 5,1,CNF,3,461,51,57,[8; 9],540,1.768160,0.862745,1,[X20 >= 16.004000],{'0.0': {'precision': 0.9555555555555556; 'recall': 0.8927335640138409; 'f1-score': 0.9230769230769231; 'support': 289}; '1.0': {'precision': 0.837696335078534; 'recall': 0.9302325581395349; 'f1-score': 0.8815426997245179; 'support': 172}; 'accuracy': 0.9067245119305857; 'macro avg': {'precision': 0.8966259453170449; 'recall': 0.9114830610766879; 'f1-score': 0.9023098114007205; 'support': 461}; 'weighted avg': {'precision': 0.911582050301656; 'recall': 0.9067245119305857; 'f1-score': 0.9075804232578045; 'support': 461}},{'0.0': {'precision': 0.9032258064516129; 'recall': 0.875; 'f1-score': 0.8888888888888888; 'support': 32}; '1.0': {'precision': 0.8; 'recall': 0.8421052631578947; 'f1-score': 0.8205128205128205; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8516129032258064; 'recall': 0.8585526315789473; 'f1-score': 0.8547008547008547; 'support': 51}; 'weighted avg': {'precision': 0.8647691334598355; 'recall': 0.8627450980392157; 'f1-score': 0.8634154516507457; 'support': 51}}
l: 5,1,CNF,4,461,51,57,[8; 9],540,1.942740,0.901961,1,[X20 >= 17.386000],{'0.0': {'precision': 0.8962264150943396; 'recall': 0.986159169550173; 'f1-score': 0.9390444810543659; 'support': 289}; '1.0': {'precision': 0.972027972027972; 'recall': 0.8081395348837209; 'f1-score': 0.8825396825396825; 'support': 172}; 'accuracy': 0.9197396963123644; 'macro avg': {'precision': 0.9341271935611558; 'recall': 0.8971493522169469; 'f1-score': 0.9107920817970242; 'support': 461}; 'weighted avg': {'precision': 0.9245081239719638; 'recall': 0.9197396963123644; 'f1-score': 0.9179624304154819; 'support': 461}},{'0.0': {'precision': 0.8648648648648649; 'recall': 1.0; 'f1-score': 0.927536231884058; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.7368421052631579; 'f1-score': 0.8484848484848484; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9324324324324325; 'recall': 0.868421052631579; 'f1-score': 0.8880105401844531; 'support': 51}; 'weighted avg': {'precision': 0.9152093269740329; 'recall': 0.9019607843137255; 'f1-score': 0.8980857165000388; 'support': 51}}
l: 5,1,CNF,5,461,51,57,[8; 9],540,1.917029,0.882353,1,[X7 >= 0.064496],{'0.0': {'precision': 0.877742946708464; 'recall': 0.9688581314878892; 'f1-score': 0.9210526315789473; 'support': 289}; '1.0': {'precision': 0.9366197183098591; 'recall': 0.7732558139534884; 'f1-score': 0.8471337579617835; 'support': 172}; 'accuracy': 0.89587852494577; 'macro avg': {'precision': 0.9071813325091616; 'recall': 0.8710569727206888; 'f1-score': 0.8840931947703654; 'support': 461}; 'weighted avg': {'precision': 0.8997099851367503; 'recall': 0.89587852494577; 'f1-score': 0.8934733555222182; 'support': 461}},{'0.0': {'precision': 0.8823529411764706; 'recall': 0.9375; 'f1-score': 0.9090909090909091; 'support': 32}; '1.0': {'precision': 0.8823529411764706; 'recall': 0.7894736842105263; 'f1-score': 0.8333333333333333; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8823529411764706; 'recall': 0.8634868421052632; 'f1-score': 0.8712121212121211; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8808674985145573; 'support': 51}}
l: 5,1,CNF,6,461,51,57,[8; 9],540,1.939225,0.823529,1,[X0 >= 14.058000],{'0.0': {'precision': 0.9188191881918819; 'recall': 0.8615916955017301; 'f1-score': 0.8892857142857143; 'support': 289}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.872093023255814; 'f1-score': 0.8287292817679558; 'support': 172}; 'accuracy': 0.8655097613882863; 'macro avg': {'precision': 0.8541464362012041; 'recall': 0.866842359378772; 'f1-score': 0.8590074980268351; 'support': 461}; 'weighted avg': {'precision': 0.8705601281381006; 'recall': 0.8655097613882863; 'f1-score': 0.8666919910903684; 'support': 461}},{'0.0': {'precision': 0.8709677419354839; 'recall': 0.84375; 'f1-score': 0.8571428571428571; 'support': 32}; '1.0': {'precision': 0.75; 'recall': 0.7894736842105263; 'f1-score': 0.7692307692307692; 'support': 19}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.810483870967742; 'recall': 0.8166118421052632; 'f1-score': 0.8131868131868132; 'support': 51}; 'weighted avg': {'precision': 0.8259013282732448; 'recall': 0.8235294117647058; 'f1-score': 0.8243912949795302; 'support': 51}}
l: 5,1,CNF,7,461,51,57,[8; 9],540,1.874859,0.862745,1,[X0 >= 15.056000],{'0.0': {'precision': 0.8808777429467085; 'recall': 0.972318339100346; 'f1-score': 0.924342105263158; 'support': 289}; '1.0': {'precision': 0.9436619718309859; 'recall': 0.7790697674418605; 'f1-score': 0.8535031847133757; 'support': 172}; 'accuracy': 0.9002169197396963; 'macro avg': {'precision': 0.9122698573888472; 'recall': 0.8756940532711033; 'f1-score': 0.8889226449882668; 'support': 461}; 'weighted avg': {'precision': 0.9043026613156796; 'recall': 0.9002169197396963; 'f1-score': 0.8979119657087924; 'support': 461}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.9375; 'f1-score': 0.8955223880597014; 'support': 32}; '1.0': {'precision': 0.875; 'recall': 0.7368421052631579; 'f1-score': 0.7999999999999999; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8660714285714286; 'recall': 0.837171052631579; 'f1-score': 0.8477611940298506; 'support': 51}; 'weighted avg': {'precision': 0.863795518207283; 'recall': 0.8627450980392157; 'f1-score': 0.8599356160374597; 'support': 51}}
l: 5,1,CNF,8,461,51,57,[8; 9],540,2.162238,0.921569,1,[X7 >= 0.064496],{'0.0': {'precision': 0.8746081504702194; 'recall': 0.9653979238754326; 'f1-score': 0.9177631578947368; 'support': 289}; '1.0': {'precision': 0.9295774647887324; 'recall': 0.7674418604651163; 'f1-score': 0.840764331210191; 'support': 172}; 'accuracy': 0.8915401301518439; 'macro avg': {'precision': 0.9020928076294759; 'recall': 0.8664198921702744; 'f1-score': 0.8792637445524639; 'support': 461}; 'weighted avg': {'precision': 0.8951173089578208; 'recall': 0.8915401301518439; 'f1-score': 0.8890347453356439; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,9,461,51,57,[8; 9],540,2.101954,0.803922,1,[X5 >= 0.122420],{'0.0': {'precision': 0.8081761006289309; 'recall': 0.889273356401384; 'f1-score': 0.8467874794069192; 'support': 289}; '1.0': {'precision': 0.7762237762237763; 'recall': 0.6453488372093024; 'f1-score': 0.7047619047619048; 'support': 172}; 'accuracy': 0.7982646420824295; 'macro avg': {'precision': 0.7921999384263536; 'recall': 0.7673110968053432; 'f1-score': 0.775774692084412; 'support': 461}; 'weighted avg': {'precision': 0.7962546260135587; 'recall': 0.7982646420824295; 'f1-score': 0.7937974602335082; 'support': 461}},{'0.0': {'precision': 0.8235294117647058; 'recall': 0.875; 'f1-score': 0.8484848484848485; 'support': 32}; '1.0': {'precision': 0.7647058823529411; 'recall': 0.6842105263157895; 'f1-score': 0.7222222222222222; 'support': 19}; 'accuracy': 0.803921568627451; 'macro avg': {'precision': 0.7941176470588235; 'recall': 0.7796052631578947; 'f1-score': 0.7853535353535354; 'support': 51}; 'weighted avg': {'precision': 0.8016147635524797; 'recall': 0.803921568627451; 'f1-score': 0.8014458308575955; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 57}, (mean val acc cv) 0.871116 (+- 0.040141), (mean training time) 1.929727 (+- 0.125671)
l: 5,1,CNF,0,460,52,28,[16; 17],540,1.256652,0.846154,2,[X6 >= 0.086212 OR X23 >= 926.960000],{'0.0': {'precision': 0.9841269841269841; 'recall': 0.8581314878892734; 'f1-score': 0.9168207024029575; 'support': 289}; '1.0': {'precision': 0.8028846153846154; 'recall': 0.9766081871345029; 'f1-score': 0.8812664907651715; 'support': 171}; 'accuracy': 0.9021739130434783; 'macro avg': {'precision': 0.8935057997557998; 'recall': 0.9173698375118882; 'f1-score': 0.8990435965840645; 'support': 460}; 'weighted avg': {'precision': 0.9167521035727556; 'recall': 0.9021739130434783; 'f1-score': 0.9036038106854327; 'support': 460}},{'0.0': {'precision': 0.9285714285714286; 'recall': 0.8125; 'f1-score': 0.8666666666666666; 'support': 32}; '1.0': {'precision': 0.75; 'recall': 0.9; 'f1-score': 0.8181818181818182; 'support': 20}; 'accuracy': 0.8461538461538461; 'macro avg': {'precision': 0.8392857142857143; 'recall': 0.85625; 'f1-score': 0.8424242424242424; 'support': 52}; 'weighted avg': {'precision': 0.8598901098901099; 'recall': 0.8461538461538461; 'f1-score': 0.848018648018648; 'support': 52}}
