lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,1,[468; 468],14,0.199147,0.716981,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5338345864661654; 'recall': 0.5338345864661654; 'f1-score': 0.5338345864661654; 'support': 133}; '1.0': {'precision': 0.8149253731343283; 'recall': 0.8149253731343283; 'f1-score': 0.8149253731343283; 'support': 335}; 'accuracy': 0.7350427350427351; 'macro avg': {'precision': 0.6743799798002469; 'recall': 0.6743799798002469; 'f1-score': 0.6743799798002469; 'support': 468}; 'weighted avg': {'precision': 0.7350427350427351; 'recall': 0.7350427350427351; 'f1-score': 0.7350427350427351; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.4; 'f1-score': 0.4444444444444445; 'support': 15}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8421052631578947; 'f1-score': 0.810126582278481; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6402439024390244; 'recall': 0.6210526315789473; 'f1-score': 0.6272855133614628; 'support': 53}; 'weighted avg': {'precision': 0.7011044638748274; 'recall': 0.7169811320754716; 'f1-score': 0.7066316376084706; 'support': 53}}
5,1,CNF,1,469,52,1,[469; 469],14,0.229801,0.750000,4,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5283018867924528; 'recall': 0.417910447761194; 'f1-score': 0.4666666666666667; 'support': 134}; '1.0': {'precision': 0.7851239669421488; 'recall': 0.8507462686567164; 'f1-score': 0.8166189111747852; 'support': 335}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6567129268673009; 'recall': 0.6343283582089552; 'f1-score': 0.6416427889207259; 'support': 469}; 'weighted avg': {'precision': 0.7117462297565214; 'recall': 0.7270788912579957; 'f1-score': 0.7166325556010371; 'support': 469}},{'0.0': {'precision': 0.5454545454545454; 'recall': 0.42857142857142855; 'f1-score': 0.4799999999999999; 'support': 14}; '1.0': {'precision': 0.8048780487804879; 'recall': 0.868421052631579; 'f1-score': 0.8354430379746836; 'support': 38}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6751662971175166; 'recall': 0.6484962406015038; 'f1-score': 0.6577215189873418; 'support': 52}; 'weighted avg': {'precision': 0.7350332594235033; 'recall': 0.75; 'f1-score': 0.7397468354430379; 'support': 52}}
5,1,CNF,2,469,52,1,[469; 469],14,0.079580,0.711538,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5454545454545454; 'recall': 0.5373134328358209; 'f1-score': 0.5413533834586466; 'support': 134}; '1.0': {'precision': 0.8160237388724035; 'recall': 0.8208955223880597; 'f1-score': 0.8184523809523809; 'support': 335}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.6807391421634745; 'recall': 0.6791044776119404; 'f1-score': 0.6799028822055138; 'support': 469}; 'weighted avg': {'precision': 0.7387182550387297; 'recall': 0.7398720682302772; 'f1-score': 0.7392812388113139; 'support': 469}},{'0.0': {'precision': 0.47058823529411764; 'recall': 0.5714285714285714; 'f1-score': 0.5161290322580646; 'support': 14}; '1.0': {'precision': 0.8285714285714286; 'recall': 0.7631578947368421; 'f1-score': 0.7945205479452055; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6495798319327731; 'recall': 0.6672932330827068; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.732191338073691; 'recall': 0.7115384615384616; 'f1-score': 0.7195689860294368; 'support': 52}}
5,1,CNF,3,469,52,1,[469; 469],14,0.143759,0.634615,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.56; 'recall': 0.5263157894736842; 'f1-score': 0.5426356589147288; 'support': 133}; '1.0': {'precision': 0.8168604651162791; 'recall': 0.8363095238095238; 'f1-score': 0.8264705882352941; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.6884302325581395; 'recall': 0.681312656641604; 'f1-score': 0.6845531235750114; 'support': 469}; 'weighted avg': {'precision': 0.7440194376952448; 'recall': 0.7484008528784648; 'f1-score': 0.7459800858906562; 'support': 469}},{'0.0': {'precision': 0.4166666666666667; 'recall': 0.6666666666666666; 'f1-score': 0.5128205128205129; 'support': 15}; '1.0': {'precision': 0.8214285714285714; 'recall': 0.6216216216216216; 'f1-score': 0.7076923076923075; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.6190476190476191; 'recall': 0.6441441441441441; 'f1-score': 0.6102564102564102; 'support': 52}; 'weighted avg': {'precision': 0.7046703296703296; 'recall': 0.6346153846153846; 'f1-score': 0.6514792899408283; 'support': 52}}
5,1,CNF,4,469,52,1,[469; 469],14,0.160056,0.730769,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5352112676056338; 'recall': 0.5714285714285714; 'f1-score': 0.5527272727272726; 'support': 133}; '1.0': {'precision': 0.8256880733944955; 'recall': 0.8035714285714286; 'f1-score': 0.8144796380090498; 'support': 336}; 'accuracy': 0.7377398720682303; 'macro avg': {'precision': 0.6804496705000647; 'recall': 0.6875; 'f1-score': 0.6836034553681611; 'support': 469}; 'weighted avg': {'precision': 0.7433140538424303; 'recall': 0.7377398720682303; 'f1-score': 0.7402513553172025; 'support': 469}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.26666666666666666; 'f1-score': 0.36363636363636365; 'support': 15}; '1.0': {'precision': 0.7555555555555555; 'recall': 0.918918918918919; 'f1-score': 0.8292682926829269; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6634920634920635; 'recall': 0.5927927927927928; 'f1-score': 0.5964523281596452; 'support': 52}; 'weighted avg': {'precision': 0.7024420024420024; 'recall': 0.7307692307692307; 'f1-score': 0.6949513900733414; 'support': 52}}
5,1,CNF,5,469,52,1,[469; 469],14,0.200452,0.711538,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5407407407407407; 'recall': 0.5488721804511278; 'f1-score': 0.5447761194029851; 'support': 133}; '1.0': {'precision': 0.8203592814371258; 'recall': 0.8154761904761905; 'f1-score': 0.817910447761194; 'support': 336}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.6805500110889333; 'recall': 0.6821741854636592; 'f1-score': 0.6813432835820896; 'support': 469}; 'weighted avg': {'precision': 0.7410644713888972; 'recall': 0.7398720682302772; 'f1-score': 0.740454444196926; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4666666666666667; 'f1-score': 0.4827586206896552; 'support': 15}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.8108108108108109; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6447368421052632; 'recall': 0.6387387387387388; 'f1-score': 0.6413793103448276; 'support': 52}; 'weighted avg': {'precision': 0.7059716599190283; 'recall': 0.7115384615384616; 'f1-score': 0.7084880636604775; 'support': 52}}
5,1,CNF,6,469,52,1,[469; 469],14,0.165226,0.711538,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5373134328358209; 'recall': 0.5413533834586466; 'f1-score': 0.5393258426966292; 'support': 133}; '1.0': {'precision': 0.817910447761194; 'recall': 0.8154761904761905; 'f1-score': 0.8166915052160953; 'support': 336}; 'accuracy': 0.7377398720682303; 'macro avg': {'precision': 0.6776119402985075; 'recall': 0.6784147869674185; 'f1-score': 0.6780086739563622; 'support': 469}; 'weighted avg': {'precision': 0.7383381599465361; 'recall': 0.7377398720682303; 'f1-score': 0.7380355710687841; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
5,1,CNF,7,469,52,1,[469; 469],14,0.228155,0.692308,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5454545454545454; 'recall': 0.5413533834586466; 'f1-score': 0.5433962264150943; 'support': 133}; '1.0': {'precision': 0.8189910979228486; 'recall': 0.8214285714285714; 'f1-score': 0.8202080237741455; 'support': 336}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.682222821688697; 'recall': 0.681390977443609; 'f1-score': 0.6818021250946199; 'support': 469}; 'weighted avg': {'precision': 0.7414210308049717; 'recall': 0.7420042643923241; 'f1-score': 0.7417091558663548; 'support': 469}},{'0.0': {'precision': 0.47058823529411764; 'recall': 0.5333333333333333; 'f1-score': 0.5; 'support': 15}; '1.0': {'precision': 0.8; 'recall': 0.7567567567567568; 'f1-score': 0.7777777777777778; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6352941176470588; 'recall': 0.6450450450450451; 'f1-score': 0.6388888888888888; 'support': 52}; 'weighted avg': {'precision': 0.7049773755656108; 'recall': 0.6923076923076923; 'f1-score': 0.6976495726495726; 'support': 52}}
5,1,CNF,8,469,52,1,[469; 469],14,0.241623,0.807692,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5220588235294118; 'recall': 0.5338345864661654; 'f1-score': 0.5278810408921933; 'support': 133}; '1.0': {'precision': 0.8138138138138138; 'recall': 0.8065476190476191; 'f1-score': 0.8101644245142003; 'support': 336}; 'accuracy': 0.7292110874200426; 'macro avg': {'precision': 0.6679363186716127; 'recall': 0.6701911027568923; 'f1-score': 0.6690227327031968; 'support': 469}; 'weighted avg': {'precision': 0.7310773240316699; 'recall': 0.7292110874200426; 'f1-score': 0.7301139127407954; 'support': 469}},{'0.0': {'precision': 0.6923076923076923; 'recall': 0.6; 'f1-score': 0.6428571428571429; 'support': 15}; '1.0': {'precision': 0.8461538461538461; 'recall': 0.8918918918918919; 'f1-score': 0.868421052631579; 'support': 37}; 'accuracy': 0.8076923076923077; 'macro avg': {'precision': 0.7692307692307692; 'recall': 0.7459459459459459; 'f1-score': 0.755639097744361; 'support': 52}; 'weighted avg': {'precision': 0.8017751479289941; 'recall': 0.8076923076923077; 'f1-score': 0.8033545401966455; 'support': 52}}
5,1,CNF,9,469,52,1,[469; 469],14,0.309387,0.711538,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5517241379310345; 'recall': 0.3609022556390977; 'f1-score': 0.43636363636363634; 'support': 133}; '1.0': {'precision': 0.7774869109947644; 'recall': 0.8839285714285714; 'f1-score': 0.8272980501392758; 'support': 336}; 'accuracy': 0.7356076759061834; 'macro avg': {'precision': 0.6646055244628994; 'recall': 0.6224154135338346; 'f1-score': 0.6318308432514561; 'support': 469}; 'weighted avg': {'precision': 0.7134646320662441; 'recall': 0.7356076759061834; 'f1-score': 0.7164360522029004; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.2; 'f1-score': 0.28571428571428575; 'support': 15}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.918918918918919; 'f1-score': 0.8192771084337348; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6195652173913043; 'recall': 0.5594594594594595; 'f1-score': 0.5524956970740103; 'support': 52}; 'weighted avg': {'precision': 0.6701505016722407; 'recall': 0.7115384615384616; 'f1-score': 0.6653647557262014; 'support': 52}}
5,1,DNF,0,468,53,1,[468; 468],14,0.163760,0.716981,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 133}; '1.0': {'precision': 0.7158119658119658; 'recall': 1.0; 'f1-score': 0.8343711083437111; 'support': 335}; 'accuracy': 0.7158119658119658; 'macro avg': {'precision': 0.3579059829059829; 'recall': 0.5; 'f1-score': 0.41718555417185554; 'support': 468}; 'weighted avg': {'precision': 0.5123867703995909; 'recall': 0.7158119658119658; 'f1-score': 0.5972528232802204; 'support': 468}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
