lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,460,52,57,[8; 9],122,1.326528,0.884615,2,[X0 >= 15.045000 OR X10 >= 0.547850],{'0.0': {'precision': 0.8838709677419355; 'recall': 0.9480968858131488; 'f1-score': 0.9148580968280468; 'support': 289}; '1.0': {'precision': 0.9; 'recall': 0.7894736842105263; 'f1-score': 0.8411214953271027; 'support': 171}; 'accuracy': 0.8891304347826087; 'macro avg': {'precision': 0.8919354838709678; 'recall': 0.8687852850118376; 'f1-score': 0.8779897960775747; 'support': 460}; 'weighted avg': {'precision': 0.889866760168303; 'recall': 0.8891304347826087; 'f1-score': 0.8874473167048696; 'support': 460}},{'0.0': {'precision': 0.8611111111111112; 'recall': 0.96875; 'f1-score': 0.911764705882353; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.75; 'f1-score': 0.8333333333333334; 'support': 20}; 'accuracy': 0.8846153846153846; 'macro avg': {'precision': 0.8993055555555556; 'recall': 0.859375; 'f1-score': 0.8725490196078431; 'support': 52}; 'weighted avg': {'precision': 0.890491452991453; 'recall': 0.8846153846153846; 'f1-score': 0.8815987933634992; 'support': 52}}
5,1,CNF,1,460,52,57,[8; 9],122,1.410739,0.923077,2,[X0 >= 15.045000 OR X7 >= 0.051420],{'0.0': {'precision': 0.9664179104477612; 'recall': 0.8993055555555556; 'f1-score': 0.9316546762589927; 'support': 288}; '1.0': {'precision': 0.8489583333333334; 'recall': 0.9476744186046512; 'f1-score': 0.8956043956043956; 'support': 172}; 'accuracy': 0.9173913043478261; 'macro avg': {'precision': 0.9076881218905473; 'recall': 0.9234899870801034; 'f1-score': 0.9136295359316942; 'support': 460}; 'weighted avg': {'precision': 0.9224982424832359; 'recall': 0.9173913043478261; 'f1-score': 0.9181750061011867; 'support': 460}},{'0.0': {'precision': 1.0; 'recall': 0.8787878787878788; 'f1-score': 0.9354838709677419; 'support': 33}; '1.0': {'precision': 0.8260869565217391; 'recall': 1.0; 'f1-score': 0.9047619047619047; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9130434782608696; 'recall': 0.9393939393939394; 'f1-score': 0.9201228878648233; 'support': 52}; 'weighted avg': {'precision': 0.9364548494983278; 'recall': 0.9230769230769231; 'f1-score': 0.9242585371617629; 'support': 52}}
5,1,CNF,2,461,51,57,[8; 9],122,1.555363,0.960784,2,[X0 >= 15.045000 OR X20 >= 16.795000],{'0.0': {'precision': 0.9055374592833876; 'recall': 0.9619377162629758; 'f1-score': 0.9328859060402684; 'support': 289}; '1.0': {'precision': 0.9285714285714286; 'recall': 0.8313953488372093; 'f1-score': 0.8773006134969327; 'support': 172}; 'accuracy': 0.913232104121475; 'macro avg': {'precision': 0.9170544439274081; 'recall': 0.8966665325500925; 'f1-score': 0.9050932597686006; 'support': 461}; 'weighted avg': {'precision': 0.9141314781934592; 'recall': 0.913232104121475; 'f1-score': 0.9121469248744252; 'support': 461}},{'0.0': {'precision': 0.96875; 'recall': 0.96875; 'f1-score': 0.96875; 'support': 32}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9473684210526315; 'f1-score': 0.9473684210526315; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9580592105263157; 'recall': 0.9580592105263157; 'f1-score': 0.9580592105263157; 'support': 51}; 'weighted avg': {'precision': 0.9607843137254902; 'recall': 0.9607843137254902; 'f1-score': 0.9607843137254902; 'support': 51}}
5,1,CNF,3,461,51,57,[8; 9],122,1.549711,0.960784,2,[X7 >= 0.079005 OR X20 >= 16.795000],{'0.0': {'precision': 0.9331103678929766; 'recall': 0.9653979238754326; 'f1-score': 0.9489795918367347; 'support': 289}; '1.0': {'precision': 0.9382716049382716; 'recall': 0.8837209302325582; 'f1-score': 0.9101796407185628; 'support': 172}; 'accuracy': 0.9349240780911063; 'macro avg': {'precision': 0.9356909864156241; 'recall': 0.9245594270539954; 'f1-score': 0.9295796162776488; 'support': 461}; 'weighted avg': {'precision': 0.935036035510744; 'recall': 0.9349240780911063; 'f1-score': 0.934503254326267; 'support': 461}},{'0.0': {'precision': 0.96875; 'recall': 0.96875; 'f1-score': 0.96875; 'support': 32}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9473684210526315; 'f1-score': 0.9473684210526315; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9580592105263157; 'recall': 0.9580592105263157; 'f1-score': 0.9580592105263157; 'support': 51}; 'weighted avg': {'precision': 0.9607843137254902; 'recall': 0.9607843137254902; 'f1-score': 0.9607843137254902; 'support': 51}}
5,1,CNF,4,461,51,57,[8; 9],122,1.607846,0.764706,4,[X0 >= 17.880000 OR X3 >= 696.250000 OR X5 >= 0.102150 OR X6 >= 0.119200],{'0.0': {'precision': 0.9694323144104804; 'recall': 0.7681660899653979; 'f1-score': 0.8571428571428572; 'support': 289}; '1.0': {'precision': 0.7112068965517241; 'recall': 0.9593023255813954; 'f1-score': 0.8168316831683168; 'support': 172}; 'accuracy': 0.8394793926247288; 'macro avg': {'precision': 0.8403196054811022; 'recall': 0.8637342077733967; 'f1-score': 0.8369872701555869; 'support': 461}; 'weighted avg': {'precision': 0.8730879068796645; 'recall': 0.8394793926247288; 'f1-score': 0.8421026794343519; 'support': 461}},{'0.0': {'precision': 0.9545454545454546; 'recall': 0.65625; 'f1-score': 0.7777777777777778; 'support': 32}; '1.0': {'precision': 0.6206896551724138; 'recall': 0.9473684210526315; 'f1-score': 0.75; 'support': 19}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.7876175548589341; 'recall': 0.8018092105263157; 'f1-score': 0.7638888888888888; 'support': 51}; 'weighted avg': {'precision': 0.8301678037986355; 'recall': 0.7647058823529411; 'f1-score': 0.767429193899782; 'support': 51}}
5,1,CNF,5,461,51,57,[8; 9],122,1.327307,0.823529,3,[X2 >= 85.250000 OR X10 >= 0.547850 OR X27 >= 0.142350],{'0.0': {'precision': 0.9949748743718593; 'recall': 0.6851211072664359; 'f1-score': 0.8114754098360655; 'support': 289}; '1.0': {'precision': 0.6526717557251909; 'recall': 0.9941860465116279; 'f1-score': 0.7880184331797235; 'support': 172}; 'accuracy': 0.8004338394793926; 'macro avg': {'precision': 0.823823315048525; 'recall': 0.8396535768890319; 'f1-score': 0.7997469215078945; 'support': 461}; 'weighted avg': {'precision': 0.8672609125340568; 'recall': 0.8004338394793926; 'f1-score': 0.8027235660510529; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.71875; 'f1-score': 0.8363636363636363; 'support': 32}; '1.0': {'precision': 0.6785714285714286; 'recall': 1.0; 'f1-score': 0.8085106382978724; 'support': 19}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.8392857142857143; 'recall': 0.859375; 'f1-score': 0.8224371373307544; 'support': 51}; 'weighted avg': {'precision': 0.8802521008403362; 'recall': 0.8235294117647058; 'f1-score': 0.8259870292410968; 'support': 51}}
5,1,CNF,6,461,51,57,[8; 9],122,1.327631,0.921569,3,[X0 >= 15.045000 OR X5 >= 0.155250 OR X20 >= 16.795000],{'0.0': {'precision': 0.9507042253521126; 'recall': 0.9342560553633218; 'f1-score': 0.9424083769633508; 'support': 289}; '1.0': {'precision': 0.8926553672316384; 'recall': 0.9186046511627907; 'f1-score': 0.9054441260744986; 'support': 172}; 'accuracy': 0.928416485900217; 'macro avg': {'precision': 0.9216797962918755; 'recall': 0.9264303532630562; 'f1-score': 0.9239262515189247; 'support': 461}; 'weighted avg': {'precision': 0.9290460830598749; 'recall': 0.928416485900217; 'f1-score': 0.9286169427922388; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
5,1,CNF,7,461,51,57,[8; 9],122,1.336281,0.784314,1,[X2 >= 85.250000],{'0.0': {'precision': 0.9583333333333334; 'recall': 0.7162629757785467; 'f1-score': 0.8198019801980198; 'support': 289}; '1.0': {'precision': 0.6653061224489796; 'recall': 0.9476744186046512; 'f1-score': 0.7817745803357316; 'support': 172}; 'accuracy': 0.8026030368763557; 'macro avg': {'precision': 0.8118197278911565; 'recall': 0.8319686971915989; 'f1-score': 0.8007882802668757; 'support': 461}; 'weighted avg': {'precision': 0.8490043088819043; 'recall': 0.8026030368763557; 'f1-score': 0.805613883069357; 'support': 461}},{'0.0': {'precision': 0.9565217391304348; 'recall': 0.6875; 'f1-score': 0.8; 'support': 32}; '1.0': {'precision': 0.6428571428571429; 'recall': 0.9473684210526315; 'f1-score': 0.7659574468085106; 'support': 19}; 'accuracy': 0.7843137254901961; 'macro avg': {'precision': 0.7996894409937889; 'recall': 0.8174342105263157; 'f1-score': 0.7829787234042553; 'support': 51}; 'weighted avg': {'precision': 0.83966630130313; 'recall': 0.7843137254901961; 'f1-score': 0.7873174801835628; 'support': 51}}
5,1,CNF,8,461,51,57,[8; 9],122,1.343495,0.941176,2,[X0 >= 15.045000 OR X22 >= 105.950000],{'0.0': {'precision': 0.9456521739130435; 'recall': 0.903114186851211; 'f1-score': 0.9238938053097345; 'support': 289}; '1.0': {'precision': 0.8486486486486486; 'recall': 0.9127906976744186; 'f1-score': 0.8795518207282912; 'support': 172}; 'accuracy': 0.9067245119305857; 'macro avg': {'precision': 0.897150411280846; 'recall': 0.9079524422628148; 'f1-score': 0.9017228130190129; 'support': 461}; 'weighted avg': {'precision': 0.9094599692590827; 'recall': 0.9067245119305857; 'f1-score': 0.9073497242945323; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
5,1,CNF,9,461,51,57,[8; 9],122,1.407380,0.803922,3,[X0 >= 17.880000 OR X2 >= 85.250000 OR X5 >= 0.155250],{'0.0': {'precision': 0.9804878048780488; 'recall': 0.6955017301038062; 'f1-score': 0.8137651821862348; 'support': 289}; '1.0': {'precision': 0.65625; 'recall': 0.9767441860465116; 'f1-score': 0.7850467289719625; 'support': 172}; 'accuracy': 0.8004338394793926; 'macro avg': {'precision': 0.8183689024390244; 'recall': 0.8361229580751589; 'f1-score': 0.7994059555790987; 'support': 461}; 'weighted avg': {'precision': 0.8595140468758267; 'recall': 0.8004338394793926; 'f1-score': 0.8030502712255952; 'support': 461}},{'0.0': {'precision': 0.9583333333333334; 'recall': 0.71875; 'f1-score': 0.8214285714285714; 'support': 32}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.9473684210526315; 'f1-score': 0.782608695652174; 'support': 19}; 'accuracy': 0.803921568627451; 'macro avg': {'precision': 0.8125; 'recall': 0.8330592105263157; 'f1-score': 0.8020186335403727; 'support': 51}; 'weighted avg': {'precision': 0.8496732026143792; 'recall': 0.803921568627451; 'f1-score': 0.8069662647667762; 'support': 51}}
5,1,CNF,0,460,52,28,[16; 17],122,0.807906,0.846154,2,[X20 >= 18.225000 OR X21 >= 29.295000],{'0.0': {'precision': 0.9163636363636364; 'recall': 0.8719723183391004; 'f1-score': 0.8936170212765957; 'support': 289}; '1.0': {'precision': 0.8; 'recall': 0.8654970760233918; 'f1-score': 0.8314606741573034; 'support': 171}; 'accuracy': 0.8695652173913043; 'macro avg': {'precision': 0.8581818181818182; 'recall': 0.8687346971812461; 'f1-score': 0.8625388477169496; 'support': 460}; 'weighted avg': {'precision': 0.8731067193675889; 'recall': 0.8695652173913043; 'f1-score': 0.8705110748474676; 'support': 460}},{'0.0': {'precision': 0.875; 'recall': 0.875; 'f1-score': 0.875; 'support': 32}; '1.0': {'precision': 0.8; 'recall': 0.8; 'f1-score': 0.8000000000000002; 'support': 20}; 'accuracy': 0.8461538461538461; 'macro avg': {'precision': 0.8375; 'recall': 0.8375; 'f1-score': 0.8375000000000001; 'support': 52}; 'weighted avg': {'precision': 0.8461538461538461; 'recall': 0.8461538461538461; 'f1-score': 0.8461538461538461; 'support': 52}}
