l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,469,53,58,[8; 9],14,1.139556,0.660377,1,[(NOT X1)],{'0.0': {'precision': 0.7352112676056338; 'recall': 0.7791044776119403; 'f1-score': 0.7565217391304349; 'support': 335}; '1.0': {'precision': 0.3508771929824561; 'recall': 0.29850746268656714; 'f1-score': 0.3225806451612903; 'support': 134}; 'accuracy': 0.6417910447761194; 'macro avg': {'precision': 0.543044230294045; 'recall': 0.5388059701492538; 'f1-score': 0.5395511921458626; 'support': 469}; 'weighted avg': {'precision': 0.6254015319990116; 'recall': 0.6417910447761194; 'f1-score': 0.632538569424965; 'support': 469}},{'0.0': {'precision': 0.7380952380952381; 'recall': 0.8157894736842105; 'f1-score': 0.775; 'support': 38}; '1.0': {'precision': 0.36363636363636365; 'recall': 0.26666666666666666; 'f1-score': 0.30769230769230765; 'support': 15}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.550865800865801; 'recall': 0.5412280701754386; 'f1-score': 0.5413461538461538; 'support': 53}; 'weighted avg': {'precision': 0.6321163113615944; 'recall': 0.660377358490566; 'f1-score': 0.6427431059506531; 'support': 53}}
l: 5,1,CNF,1,469,53,58,[8; 9],14,1.182478,0.716981,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
l: 5,1,CNF,2,470,52,58,[8; 9],14,1.100846,0.500000,1,[X6 >= 59.500000],{'0.0': {'precision': 0.6171617161716172; 'recall': 0.5582089552238806; 'f1-score': 0.5862068965517241; 'support': 335}; '1.0': {'precision': 0.11377245508982035; 'recall': 0.14074074074074075; 'f1-score': 0.12582781456953643; 'support': 135}; 'accuracy': 0.43829787234042555; 'macro avg': {'precision': 0.3654670856307188; 'recall': 0.34947484798231065; 'f1-score': 0.35601735556063024; 'support': 470}; 'weighted avg': {'precision': 0.47257118373322876; 'recall': 0.43829787234042555; 'f1-score': 0.45397035172705313; 'support': 470}},{'0.0': {'precision': 0.6764705882352942; 'recall': 0.6052631578947368; 'f1-score': 0.6388888888888888; 'support': 38}; '1.0': {'precision': 0.16666666666666666; 'recall': 0.21428571428571427; 'f1-score': 0.1875; 'support': 14}; 'accuracy': 0.5; 'macro avg': {'precision': 0.4215686274509804; 'recall': 0.40977443609022557; 'f1-score': 0.4131944444444444; 'support': 52}; 'weighted avg': {'precision': 0.5392156862745098; 'recall': 0.5; 'f1-score': 0.517361111111111; 'support': 52}}
l: 5,1,CNF,3,470,52,58,[8; 9],14,1.072363,0.442308,1,[X9 < 0.895000],{'0.0': {'precision': 0.6341463414634146; 'recall': 0.5416666666666666; 'f1-score': 0.5842696629213483; 'support': 336}; '1.0': {'precision': 0.15846994535519127; 'recall': 0.21641791044776118; 'f1-score': 0.1829652996845426; 'support': 134}; 'accuracy': 0.44893617021276594; 'macro avg': {'precision': 0.396308143409303; 'recall': 0.3790422885572139; 'f1-score': 0.38361748130294543; 'support': 470}; 'weighted avg': {'precision': 0.49852796470064453; 'recall': 0.44893617021276594; 'f1-score': 0.4698552274453228; 'support': 470}},{'0.0': {'precision': 0.6333333333333333; 'recall': 0.5135135135135135; 'f1-score': 0.5671641791044775; 'support': 37}; '1.0': {'precision': 0.18181818181818182; 'recall': 0.26666666666666666; 'f1-score': 0.21621621621621623; 'support': 15}; 'accuracy': 0.4423076923076923; 'macro avg': {'precision': 0.4075757575757576; 'recall': 0.3900900900900901; 'f1-score': 0.39169019766034685; 'support': 52}; 'weighted avg': {'precision': 0.5030885780885781; 'recall': 0.4423076923076923; 'f1-score': 0.4659291898097867; 'support': 52}}
l: 5,1,CNF,4,470,52,58,[8; 9],14,1.124846,0.711538,0,[],{'0.0': {'precision': 0.7148936170212766; 'recall': 1.0; 'f1-score': 0.8337468982630273; 'support': 336}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7148936170212766; 'macro avg': {'precision': 0.3574468085106383; 'recall': 0.5; 'f1-score': 0.41687344913151364; 'support': 470}; 'weighted avg': {'precision': 0.5110728836577637; 'recall': 0.7148936170212766; 'f1-score': 0.5960403357795259; 'support': 470}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,5,470,52,58,[8; 9],14,1.121029,0.615385,1,[(NOT X1)],{'0.0': {'precision': 0.7361111111111112; 'recall': 0.7886904761904762; 'f1-score': 0.7614942528735632; 'support': 336}; '1.0': {'precision': 0.35454545454545455; 'recall': 0.291044776119403; 'f1-score': 0.31967213114754095; 'support': 134}; 'accuracy': 0.6468085106382979; 'macro avg': {'precision': 0.5453282828282828; 'recall': 0.5398676261549396; 'f1-score': 0.540583192010552; 'support': 470}; 'weighted avg': {'precision': 0.627324306898775; 'recall': 0.6468085106382979; 'f1-score': 0.6355279458282718; 'support': 470}},{'0.0': {'precision': 0.7297297297297297; 'recall': 0.7297297297297297; 'f1-score': 0.7297297297297297; 'support': 37}; '1.0': {'precision': 0.3333333333333333; 'recall': 0.3333333333333333; 'f1-score': 0.3333333333333333; 'support': 15}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5315315315315315; 'recall': 0.5315315315315315; 'f1-score': 0.5315315315315315; 'support': 52}; 'weighted avg': {'precision': 0.6153846153846154; 'recall': 0.6153846153846154; 'f1-score': 0.6153846153846154; 'support': 52}}
l: 5,1,CNF,6,470,52,58,[8; 9],14,1.152811,0.576923,2,[(NOT X1) OR X4 < 211.500000],{'0.0': {'precision': 0.8688524590163934; 'recall': 0.4732142857142857; 'f1-score': 0.6127167630057804; 'support': 336}; '1.0': {'precision': 0.3832752613240418; 'recall': 0.8208955223880597; 'f1-score': 0.5225653206650831; 'support': 134}; 'accuracy': 0.5723404255319149; 'macro avg': {'precision': 0.6260638601702176; 'recall': 0.6470549040511727; 'f1-score': 0.5676410418354317; 'support': 470}; 'weighted avg': {'precision': 0.7304113005253825; 'recall': 0.5723404255319149; 'f1-score': 0.5870140113597092; 'support': 470}},{'0.0': {'precision': 0.8947368421052632; 'recall': 0.4594594594594595; 'f1-score': 0.6071428571428572; 'support': 37}; '1.0': {'precision': 0.3939393939393939; 'recall': 0.8666666666666667; 'f1-score': 0.5416666666666666; 'support': 15}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.6443381180223285; 'recall': 0.6630630630630631; 'f1-score': 0.5744047619047619; 'support': 52}; 'weighted avg': {'precision': 0.750276039749724; 'recall': 0.5769230769230769; 'f1-score': 0.5882554945054945; 'support': 52}}
l: 5,1,CNF,7,470,52,58,[8; 9],14,0.996100,0.596154,1,[X4 < 211.500000],{'0.0': {'precision': 0.8642533936651584; 'recall': 0.5684523809523809; 'f1-score': 0.6858168761220826; 'support': 336}; '1.0': {'precision': 0.41767068273092367; 'recall': 0.7761194029850746; 'f1-score': 0.5430809399477807; 'support': 134}; 'accuracy': 0.6276595744680851; 'macro avg': {'precision': 0.640962038198041; 'recall': 0.6722858919687278; 'f1-score': 0.6144489080349317; 'support': 470}; 'weighted avg': {'precision': 0.7369298122498659; 'recall': 0.6276595744680851; 'f1-score': 0.6451219496383456; 'support': 470}},{'0.0': {'precision': 0.8076923076923077; 'recall': 0.5675675675675675; 'f1-score': 0.6666666666666666; 'support': 37}; '1.0': {'precision': 0.38461538461538464; 'recall': 0.6666666666666666; 'f1-score': 0.4878048780487804; 'support': 15}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.5961538461538461; 'recall': 0.617117117117117; 'f1-score': 0.5772357723577235; 'support': 52}; 'weighted avg': {'precision': 0.6856508875739645; 'recall': 0.5961538461538461; 'f1-score': 0.6150719199499687; 'support': 52}}
l: 5,1,CNF,8,470,52,58,[8; 9],14,1.089906,0.711538,1,[X4 < 211.500000],{'0.0': {'precision': 0.8538812785388128; 'recall': 0.5565476190476191; 'f1-score': 0.6738738738738739; 'support': 336}; '1.0': {'precision': 0.4063745019920319; 'recall': 0.7611940298507462; 'f1-score': 0.5298701298701299; 'support': 134}; 'accuracy': 0.6148936170212767; 'macro avg': {'precision': 0.6301278902654224; 'recall': 0.6588708244491827; 'f1-score': 0.6018720018720018; 'support': 470}; 'weighted avg': {'precision': 0.7262942401190923; 'recall': 0.6148936170212767; 'f1-score': 0.6328174872855724; 'support': 470}},{'0.0': {'precision': 0.8928571428571429; 'recall': 0.6756756756756757; 'f1-score': 0.7692307692307693; 'support': 37}; '1.0': {'precision': 0.5; 'recall': 0.8; 'f1-score': 0.6153846153846154; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6964285714285714; 'recall': 0.7378378378378379; 'f1-score': 0.6923076923076923; 'support': 52}; 'weighted avg': {'precision': 0.779532967032967; 'recall': 0.7115384615384616; 'f1-score': 0.7248520710059172; 'support': 52}}
l: 5,1,CNF,9,470,52,58,[8; 9],14,1.146142,0.596154,1,[X6 < 59.500000],{'0.0': {'precision': 0.8881987577639752; 'recall': 0.4255952380952381; 'f1-score': 0.5754527162977867; 'support': 336}; '1.0': {'precision': 0.37540453074433655; 'recall': 0.8656716417910447; 'f1-score': 0.5237020316027088; 'support': 134}; 'accuracy': 0.551063829787234; 'macro avg': {'precision': 0.6318016442541559; 'recall': 0.6456334399431414; 'f1-score': 0.5495773739502477; 'support': 470}; 'weighted avg': {'precision': 0.7419978504860355; 'recall': 0.551063829787234; 'f1-score': 0.5606982657677005; 'support': 470}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.5405405405405406; 'f1-score': 0.6557377049180328; 'support': 37}; '1.0': {'precision': 0.39285714285714285; 'recall': 0.7333333333333333; 'f1-score': 0.5116279069767441; 'support': 15}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.6130952380952381; 'recall': 0.6369369369369369; 'f1-score': 0.5836828059473884; 'support': 52}; 'weighted avg': {'precision': 0.7062728937728939; 'recall': 0.5961538461538461; 'f1-score': 0.6141675708965073; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.612736 (+- 0.087324), (mean training time) 1.112608 (+- 0.049413)
