l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,0.999070,0.641509,1,[(NOT X1)],{'0.0': {'precision': 0.7406340057636888; 'recall': 0.7671641791044777; 'f1-score': 0.7536656891495602; 'support': 335}; '1.0': {'precision': 0.35537190082644626; 'recall': 0.3233082706766917; 'f1-score': 0.3385826771653543; 'support': 133}; 'accuracy': 0.6410256410256411; 'macro avg': {'precision': 0.5480029532950675; 'recall': 0.5452362248905847; 'f1-score': 0.5461241831574573; 'support': 468}; 'weighted avg': {'precision': 0.6311471255144298; 'recall': 0.6410256410256411; 'f1-score': 0.6357040639489204; 'support': 468}},{'0.0': {'precision': 0.7317073170731707; 'recall': 0.7894736842105263; 'f1-score': 0.7594936708860759; 'support': 38}; '1.0': {'precision': 0.3333333333333333; 'recall': 0.26666666666666666; 'f1-score': 0.2962962962962963; 'support': 15}; 'accuracy': 0.6415094339622641; 'macro avg': {'precision': 0.532520325203252; 'recall': 0.5280701754385965; 'f1-score': 0.5278949835911861; 'support': 53}; 'weighted avg': {'precision': 0.6189599631845375; 'recall': 0.6415094339622641; 'f1-score': 0.6284000743040628; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],14,1.084550,0.730769,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.36538461538461536; 'recall': 0.5; 'f1-score': 0.42222222222222217; 'support': 52}; 'weighted avg': {'precision': 0.5340236686390532; 'recall': 0.7307692307692307; 'f1-score': 0.6170940170940169; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],14,1.031281,0.615385,1,[X6 < 59.500000],{'0.0': {'precision': 0.89937106918239; 'recall': 0.42686567164179107; 'f1-score': 0.5789473684210527; 'support': 335}; '1.0': {'precision': 0.38064516129032255; 'recall': 0.8805970149253731; 'f1-score': 0.5315315315315315; 'support': 134}; 'accuracy': 0.5565031982942431; 'macro avg': {'precision': 0.6400081152363563; 'recall': 0.6537313432835821; 'f1-score': 0.555239449976292; 'support': 469}; 'weighted avg': {'precision': 0.7511636669275136; 'recall': 0.5565031982942431; 'f1-score': 0.565399986452618; 'support': 469}},{'0.0': {'precision': 0.8214285714285714; 'recall': 0.6052631578947368; 'f1-score': 0.6969696969696969; 'support': 38}; '1.0': {'precision': 0.375; 'recall': 0.6428571428571429; 'f1-score': 0.4736842105263159; 'support': 14}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5982142857142857; 'recall': 0.6240601503759399; 'f1-score': 0.5853269537480064; 'support': 52}; 'weighted avg': {'precision': 0.7012362637362636; 'recall': 0.6153846153846154; 'f1-score': 0.6368543736964789; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],14,1.011000,0.480769,1,[X6 < 59.500000],{'0.0': {'precision': 0.8901734104046243; 'recall': 0.4583333333333333; 'f1-score': 0.6051080550098231; 'support': 336}; '1.0': {'precision': 0.38513513513513514; 'recall': 0.8571428571428571; 'f1-score': 0.5314685314685315; 'support': 133}; 'accuracy': 0.5714285714285714; 'macro avg': {'precision': 0.6376542727698797; 'recall': 0.6577380952380952; 'f1-score': 0.5682882932391773; 'support': 469}; 'weighted avg': {'precision': 0.7469536009998438; 'recall': 0.5714285714285714; 'f1-score': 0.5842252050503524; 'support': 469}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.32432432432432434; 'f1-score': 0.4705882352941177; 'support': 37}; '1.0': {'precision': 0.34210526315789475; 'recall': 0.8666666666666667; 'f1-score': 0.4905660377358491; 'support': 15}; 'accuracy': 0.4807692307692308; 'macro avg': {'precision': 0.599624060150376; 'recall': 0.5954954954954955; 'f1-score': 0.4805771365149834; 'support': 52}; 'weighted avg': {'precision': 0.7085743204164257; 'recall': 0.4807692307692308; 'f1-score': 0.4763510629215402; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],14,1.175016,0.653846,1,[X4 < 211.500000],{'0.0': {'precision': 0.8405172413793104; 'recall': 0.5803571428571429; 'f1-score': 0.6866197183098592; 'support': 336}; '1.0': {'precision': 0.4050632911392405; 'recall': 0.7218045112781954; 'f1-score': 0.518918918918919; 'support': 133}; 'accuracy': 0.6204690831556503; 'macro avg': {'precision': 0.6227902662592755; 'recall': 0.6510808270676691; 'f1-score': 0.6027693186143891; 'support': 469}; 'weighted avg': {'precision': 0.7170303002664548; 'recall': 0.6204690831556503; 'f1-score': 0.6390627751989956; 'support': 469}},{'0.0': {'precision': 0.9130434782608695; 'recall': 0.5675675675675675; 'f1-score': 0.6999999999999998; 'support': 37}; '1.0': {'precision': 0.4482758620689655; 'recall': 0.8666666666666667; 'f1-score': 0.5909090909090909; 'support': 15}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.6806596701649175; 'recall': 0.7171171171171171; 'f1-score': 0.6454545454545454; 'support': 52}; 'weighted avg': {'precision': 0.778975896667051; 'recall': 0.6538461538461539; 'f1-score': 0.6685314685314684; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],14,0.971194,0.557692,1,[X3 >= 1.250000],{'0.0': {'precision': 0.6318840579710145; 'recall': 0.6488095238095238; 'f1-score': 0.6402349486049927; 'support': 336}; '1.0': {'precision': 0.04838709677419355; 'recall': 0.045112781954887216; 'f1-score': 0.04669260700389105; 'support': 133}; 'accuracy': 0.47761194029850745; 'macro avg': {'precision': 0.340135577372604; 'recall': 0.3469611528822055; 'f1-score': 0.3434637778044419; 'support': 469}; 'weighted avg': {'precision': 0.46641477046743846; 'recall': 0.47761194029850745; 'f1-score': 0.4719169711360236; 'support': 469}},{'0.0': {'precision': 0.6590909090909091; 'recall': 0.7837837837837838; 'f1-score': 0.7160493827160493; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.32954545454545453; 'recall': 0.3918918918918919; 'f1-score': 0.35802469135802467; 'support': 52}; 'weighted avg': {'precision': 0.46896853146853146; 'recall': 0.5576923076923077; 'f1-score': 0.5094966761633428; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],14,0.922500,0.596154,1,[X4 < 211.500000],{'0.0': {'precision': 0.8454935622317596; 'recall': 0.5863095238095238; 'f1-score': 0.6924428822495606; 'support': 336}; '1.0': {'precision': 0.4110169491525424; 'recall': 0.7293233082706767; 'f1-score': 0.5257452574525745; 'support': 133}; 'accuracy': 0.6268656716417911; 'macro avg': {'precision': 0.628255255692151; 'recall': 0.6578164160401003; 'f1-score': 0.6090940698510676; 'support': 469}; 'weighted avg': {'precision': 0.7222837764331757; 'recall': 0.6268656716417911; 'f1-score': 0.6451704214862363; 'support': 469}},{'0.0': {'precision': 0.8636363636363636; 'recall': 0.5135135135135135; 'f1-score': 0.6440677966101694; 'support': 37}; '1.0': {'precision': 0.4; 'recall': 0.8; 'f1-score': 0.5333333333333333; 'support': 15}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.6318181818181818; 'recall': 0.6567567567567567; 'f1-score': 0.5887005649717514; 'support': 52}; 'weighted avg': {'precision': 0.7298951048951049; 'recall': 0.5961538461538461; 'f1-score': 0.6121251629726205; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],14,1.063945,0.711538,0,[],{'0.0': {'precision': 0.7164179104477612; 'recall': 1.0; 'f1-score': 0.8347826086956522; 'support': 336}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 133}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.3582089552238806; 'recall': 0.5; 'f1-score': 0.4173913043478261; 'support': 469}; 'weighted avg': {'precision': 0.5132546224103364; 'recall': 0.7164179104477612; 'f1-score': 0.5980532121998703; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],14,0.991370,0.538462,1,[X2 < 1.650000],{'0.0': {'precision': 0.9080459770114943; 'recall': 0.47023809523809523; 'f1-score': 0.6196078431372549; 'support': 336}; '1.0': {'precision': 0.39661016949152544; 'recall': 0.8796992481203008; 'f1-score': 0.5467289719626168; 'support': 133}; 'accuracy': 0.5863539445628998; 'macro avg': {'precision': 0.6523280732515099; 'recall': 0.674968671679198; 'f1-score': 0.5831684075499359; 'support': 469}; 'weighted avg': {'precision': 0.7630119420431449; 'recall': 0.5863539445628998; 'f1-score': 0.5989407005653427; 'support': 469}},{'0.0': {'precision': 0.8421052631578947; 'recall': 0.43243243243243246; 'f1-score': 0.5714285714285715; 'support': 37}; '1.0': {'precision': 0.36363636363636365; 'recall': 0.8; 'f1-score': 0.5000000000000001; 'support': 15}; 'accuracy': 0.5384615384615384; 'macro avg': {'precision': 0.6028708133971292; 'recall': 0.6162162162162163; 'f1-score': 0.5357142857142858; 'support': 52}; 'weighted avg': {'precision': 0.7040853882959145; 'recall': 0.5384615384615384; 'f1-score': 0.5508241758241759; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],14,1.033884,0.615385,1,[X4 < 211.500000],{'0.0': {'precision': 0.8478260869565217; 'recall': 0.5803571428571429; 'f1-score': 0.6890459363957596; 'support': 336}; '1.0': {'precision': 0.4100418410041841; 'recall': 0.7368421052631579; 'f1-score': 0.5268817204301075; 'support': 133}; 'accuracy': 0.6247334754797441; 'macro avg': {'precision': 0.628933963980353; 'recall': 0.6585996240601504; 'f1-score': 0.6079638284129336; 'support': 469}; 'weighted avg': {'precision': 0.7236783157163066; 'recall': 0.6247334754797441; 'f1-score': 0.6430590691816195; 'support': 469}},{'0.0': {'precision': 0.84; 'recall': 0.5675675675675675; 'f1-score': 0.6774193548387097; 'support': 37}; '1.0': {'precision': 0.4074074074074074; 'recall': 0.7333333333333333; 'f1-score': 0.5238095238095238; 'support': 15}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.6237037037037036; 'recall': 0.6504504504504505; 'f1-score': 0.6006144393241168; 'support': 52}; 'weighted avg': {'precision': 0.7152136752136753; 'recall': 0.6153846153846154; 'f1-score': 0.6331088266572138; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.614151 (+- 0.072417), (mean training time) 1.028381 (+- 0.065553)
