l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26373,2931,1,[26373; 26373],296,1047.090985,0.827363,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.821164199192463; 'recall': 0.9750786595415273; 'f1-score': 0.8915272038174388; 'support': 20023}; '1': {'precision': 0.8078552175587216; 'recall': 0.3303937007874016; 'f1-score': 0.46898401698893494; 'support': 6350}; 'accuracy': 0.8198536381905737; 'macro avg': {'precision': 0.8145097083755923; 'recall': 0.6527361801644644; 'f1-score': 0.6802556104031868; 'support': 26373}; 'weighted avg': {'precision': 0.8179597084870348; 'recall': 0.8198536381905737; 'f1-score': 0.7897887123162444; 'support': 26373}},{'0': {'precision': 0.8274285714285714; 'recall': 0.9761797752808988; 'f1-score': 0.8956701030927835; 'support': 2225}; '1': {'precision': 0.826797385620915; 'recall': 0.358356940509915; 'f1-score': 0.5; 'support': 706}; 'accuracy': 0.8273626748549983; 'macro avg': {'precision': 0.8271129785247432; 'recall': 0.667268357895407; 'f1-score': 0.6978350515463918; 'support': 2931}; 'weighted avg': {'precision': 0.8272765355431381; 'recall': 0.8273626748549983; 'f1-score': 0.8003636913618025; 'support': 2931}}
l: 5,1,CNF,1,26373,2931,1,[26373; 26373],296,1055.106329,0.815080,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8223008253326596; 'recall': 0.9752784298057234; 'f1-score': 0.8922802768956615; 'support': 20023}; '1': {'precision': 0.8114285714285714; 'recall': 0.3354330708661417; 'f1-score': 0.47465181058495826; 'support': 6350}; 'accuracy': 0.8212186706100937; 'macro avg': {'precision': 0.8168646983806155; 'recall': 0.6553557503359326; 'f1-score': 0.6834660437403098; 'support': 26373}; 'weighted avg': {'precision': 0.8196830415275953; 'recall': 0.8212186706100937; 'f1-score': 0.791725134853688; 'support': 26373}},{'0': {'precision': 0.817188088955899; 'recall': 0.9743820224719101; 'f1-score': 0.8888888888888888; 'support': 2225}; '1': {'precision': 0.7949640287769785; 'recall': 0.3130311614730878; 'f1-score': 0.4491869918699187; 'support': 706}; 'accuracy': 0.815080177413852; 'macro avg': {'precision': 0.8060760588664387; 'recall': 0.6437065919724989; 'f1-score': 0.6690379403794038; 'support': 2931}; 'weighted avg': {'precision': 0.8118349035289737; 'recall': 0.815080177413852; 'f1-score': 0.7829763882763359; 'support': 2931}}
l: 5,1,CNF,2,26373,2931,1,[26373; 26373],296,1028.580224,0.819857,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8217080353386622; 'recall': 0.9754782000699196; 'f1-score': 0.8920147055465485; 'support': 20023}; '1': {'precision': 0.8113714944295044; 'recall': 0.3325984251968504; 'f1-score': 0.4717971629621356; 'support': 6350}; 'accuracy': 0.8206878246691692; 'macro avg': {'precision': 0.8165397648840833; 'recall': 0.654038312633385; 'f1-score': 0.6819059342543421; 'support': 26373}; 'weighted avg': {'precision': 0.8192192386612591; 'recall': 0.8206878246691692; 'f1-score': 0.7908361746471051; 'support': 26373}},{'0': {'precision': 0.822500950209046; 'recall': 0.9725842696629213; 'f1-score': 0.8912685337726525; 'support': 2225}; '1': {'precision': 0.7966666666666666; 'recall': 0.3385269121813031; 'f1-score': 0.47514910536779326; 'support': 706}; 'accuracy': 0.81985670419652; 'macro avg': {'precision': 0.8095838084378564; 'recall': 0.6555555909221122; 'f1-score': 0.6832088195702228; 'support': 2931}; 'weighted avg': {'precision': 0.8162781579262347; 'recall': 0.81985670419652; 'f1-score': 0.7910364230753373; 'support': 2931}}
l: 5,1,CNF,3,26373,2931,1,[26373; 26373],296,1184.793695,0.824974,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 41],{'0': {'precision': 0.8214030215040189; 'recall': 0.9748289467112821; 'f1-score': 0.8915635134517883; 'support': 20023}; '1': {'precision': 0.8068965517241379; 'recall': 0.33165354330708663; 'f1-score': 0.4700892857142857; 'support': 6350}; 'accuracy': 0.8199673908922004; 'macro avg': {'precision': 0.8141497866140783; 'recall': 0.6532412450091843; 'f1-score': 0.680826399583037; 'support': 26373}; 'weighted avg': {'precision': 0.81791020373197; 'recall': 0.8199673908922004; 'f1-score': 0.7900824022345152; 'support': 26373}},{'0': {'precision': 0.825971058644326; 'recall': 0.9748314606741573; 'f1-score': 0.8942486085343228; 'support': 2225}; '1': {'precision': 0.8163934426229508; 'recall': 0.3526912181303116; 'f1-score': 0.4925816023738873; 'support': 706}; 'accuracy': 0.8249744114636642; 'macro avg': {'precision': 0.8211822506336384; 'recall': 0.6637613394022345; 'f1-score': 0.693415105454105; 'support': 2931}; 'weighted avg': {'precision': 0.8236640654982698; 'recall': 0.8249744114636642; 'f1-score': 0.7974977022397928; 'support': 2931}}
l: 5,1,CNF,4,26374,2930,1,[26374; 26374],296,1189.451041,0.823549,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8215984175750178; 'recall': 0.9749787744094291; 'f1-score': 0.8917412753517265; 'support': 20023}; '1': {'precision': 0.8082663605051664; 'recall': 0.33254605573925367; 'f1-score': 0.4712182061579651; 'support': 6351}; 'accuracy': 0.8202775460680973; 'macro avg': {'precision': 0.8149323890400921; 'recall': 0.6537624150743414; 'f1-score': 0.6814797407548459; 'support': 26374}; 'weighted avg': {'precision': 0.8183879870581973; 'recall': 0.8202775460680973; 'f1-score': 0.7904770752891809; 'support': 26374}},{'0': {'precision': 0.8234848484848485; 'recall': 0.9770786516853932; 'f1-score': 0.8937307297019528; 'support': 2225}; '1': {'precision': 0.8241379310344827; 'recall': 0.33900709219858155; 'f1-score': 0.48040201005025124; 'support': 705}; 'accuracy': 0.8235494880546075; 'macro avg': {'precision': 0.8238113897596656; 'recall': 0.6580428719419874; 'f1-score': 0.687066369876102; 'support': 2930}; 'weighted avg': {'precision': 0.8236419895078834; 'recall': 0.8235494880546075; 'f1-score': 0.7942779149052123; 'support': 2930}}
l: 5,1,CNF,5,26374,2930,1,[26374; 26374],296,1176.431128,0.820478,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8203396938561544; 'recall': 0.9769265344853418; 'f1-score': 0.891811799033464; 'support': 20023}; '1': {'precision': 0.8173190984578885; 'recall': 0.3254605573925366; 'f1-score': 0.4655405405405406; 'support': 6351}; 'accuracy': 0.8200500492909684; 'macro avg': {'precision': 0.8188293961570214; 'recall': 0.6511935459389392; 'f1-score': 0.6786761697870023; 'support': 26374}; 'weighted avg': {'precision': 0.8196123183585284; 'recall': 0.8200500492909684; 'f1-score': 0.7891634043004482; 'support': 26374}},{'0': {'precision': 0.8216584627035214; 'recall': 0.9752808988764045; 'f1-score': 0.8919030004110152; 'support': 2225}; '1': {'precision': 0.8096885813148789; 'recall': 0.33191489361702126; 'f1-score': 0.4708249496981891; 'support': 705}; 'accuracy': 0.8204778156996587; 'macro avg': {'precision': 0.8156735220092002; 'recall': 0.6535978962467128; 'f1-score': 0.6813639750546021; 'support': 2930}; 'weighted avg': {'precision': 0.8187783376594965; 'recall': 0.8204778156996587; 'f1-score': 0.7905855854784068; 'support': 2930}}
l: 5,1,CNF,6,26374,2930,1,[26374; 26374],296,1036.905052,0.817406,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 34],{'0': {'precision': 0.82217634915954; 'recall': 0.9746791190131349; 'f1-score': 0.8919561243144425; 'support': 20023}; '1': {'precision': 0.8077360637087599; 'recall': 0.3353802550779405; 'f1-score': 0.4739652870493992; 'support': 6351}; 'accuracy': 0.8207325396223554; 'macro avg': {'precision': 0.81495620643415; 'recall': 0.6550296870455377; 'f1-score': 0.6829607056819209; 'support': 26374}; 'weighted avg': {'precision': 0.8186990513322137; 'recall': 0.8207325396223554; 'f1-score': 0.7913016992188828; 'support': 26374}},{'0': {'precision': 0.8183873398643556; 'recall': 0.9761797752808988; 'f1-score': 0.8903463824554211; 'support': 2225}; '1': {'precision': 0.8079710144927537; 'recall': 0.31631205673758866; 'f1-score': 0.454638124362895; 'support': 705}; 'accuracy': 0.8174061433447098; 'macro avg': {'precision': 0.8131791771785546; 'recall': 0.6462459160092437; 'f1-score': 0.6724922534091581; 'support': 2930}; 'weighted avg': {'precision': 0.8158810226674343; 'recall': 0.8174061433447098; 'f1-score': 0.7855087299109738; 'support': 2930}}
l: 5,1,CNF,7,26374,2930,1,[26374; 26374],296,1028.701545,0.818089,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8224011466149566; 'recall': 0.9743295210507916; 'f1-score': 0.8919419362212824; 'support': 20023}; '1': {'precision': 0.806184012066365; 'recall': 0.33663989922846793; 'f1-score': 0.47495279351327335; 'support': 6351}; 'accuracy': 0.8207704557518768; 'macro avg': {'precision': 0.8142925793406608; 'recall': 0.6554847101396297; 'f1-score': 0.6834473648672779; 'support': 26374}; 'weighted avg': {'precision': 0.8184959740390064; 'recall': 0.8207704557518768; 'f1-score': 0.7915287245226943; 'support': 26374}},{'0': {'precision': 0.8180451127819549; 'recall': 0.9779775280898877; 'f1-score': 0.8908904810644832; 'support': 2225}; '1': {'precision': 0.8185185185185185; 'recall': 0.31347517730496455; 'f1-score': 0.4533333333333333; 'support': 705}; 'accuracy': 0.8180887372013652; 'macro avg': {'precision': 0.8182818156502367; 'recall': 0.6457263526974262; 'f1-score': 0.6721119071989082; 'support': 2930}; 'weighted avg': {'precision': 0.8181590209881929; 'recall': 0.8180887372013652; 'f1-score': 0.785607959170128; 'support': 2930}}
l: 5,1,CNF,8,26374,2930,1,[26374; 26374],296,1024.593704,0.818771,7,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1 OR X13 == 41],{'0': {'precision': 0.8219657075451826; 'recall': 0.97438074310827; 'f1-score': 0.891707227896986; 'support': 20024}; '1': {'precision': 0.8054607508532423; 'recall': 0.33448818897637794; 'f1-score': 0.47268276399243353; 'support': 6350}; 'accuracy': 0.8203154621976189; 'macro avg': {'precision': 0.8137132291992124; 'recall': 0.654434466042324; 'f1-score': 0.6821949959447098; 'support': 26374}; 'weighted avg': {'precision': 0.8179918516646252; 'recall': 0.8203154621976189; 'f1-score': 0.7908197877743687; 'support': 26374}},{'0': {'precision': 0.8232149675448645; 'recall': 0.9694244604316546; 'f1-score': 0.8903572166012803; 'support': 2224}; '1': {'precision': 0.7813504823151125; 'recall': 0.34419263456090654; 'f1-score': 0.4778761061946903; 'support': 706}; 'accuracy': 0.8187713310580205; 'macro avg': {'precision': 0.8022827249299884; 'recall': 0.6568085474962806; 'f1-score': 0.6841166613979853; 'support': 2930}; 'weighted avg': {'precision': 0.8131274840731221; 'recall': 0.8187713310580205; 'f1-score': 0.7909675702029688; 'support': 2930}}
l: 5,1,CNF,9,26374,2930,1,[26374; 26374],296,1023.391551,0.814676,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 17],{'0': {'precision': 0.8222484309843731; 'recall': 0.9748801438274071; 'f1-score': 0.8920827144978865; 'support': 20024}; '1': {'precision': 0.8089631598936574; 'recall': 0.3354330708661417; 'f1-score': 0.47422909940999664; 'support': 6350}; 'accuracy': 0.8209221202699628; 'macro avg': {'precision': 0.8156057954390152; 'recall': 0.6551566073467744; 'f1-score': 0.6831559069539416; 'support': 26374}; 'weighted avg': {'precision': 0.8190497705071589; 'recall': 0.8209221202699628; 'f1-score': 0.791477176626949; 'support': 26374}},{'0': {'precision': 0.8177693761814745; 'recall': 0.9725719424460432; 'f1-score': 0.8884781269254467; 'support': 2224}; '1': {'precision': 0.7859649122807018; 'recall': 0.31728045325779036; 'f1-score': 0.4520686175580222; 'support': 706}; 'accuracy': 0.8146757679180887; 'macro avg': {'precision': 0.8018671442310881; 'recall': 0.6449261978519167; 'f1-score': 0.6702733722417344; 'support': 2930}; 'weighted avg': {'precision': 0.8101059115009471; 'recall': 0.8146757679180887; 'f1-score': 0.7833227980471525; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26374, 26374], 'n_partitions': 1}, (mean val acc cv) 0.820024 (+- 0.003953), (mean training time) 1079.504525 (+- 68.824071)
