l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],296,1052.834952,0.814739,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8229794044560502; 'recall': 0.9758777405983119; 'f1-score': 0.8929305853859159; 'support': 20023}; '1': {'precision': 0.8164196123147093; 'recall': 0.3382144544166273; 'f1-score': 0.4782899131596526; 'support': 6351}; 'accuracy': 0.8223250170622582; 'macro avg': {'precision': 0.8196995083853797; 'recall': 0.6570460975074696; 'f1-score': 0.6856102492727842; 'support': 26374}; 'weighted avg': {'precision': 0.8213997714883678; 'recall': 0.8223250170622582; 'f1-score': 0.7930828979168555; 'support': 26374}},{'0': {'precision': 0.8190440060698028; 'recall': 0.9703370786516854; 'f1-score': 0.8882945895906192; 'support': 2225}; '1': {'precision': 0.7762711864406779; 'recall': 0.3243626062322946; 'f1-score': 0.4575424575424576; 'support': 706}; 'accuracy': 0.8147389969293757; 'macro avg': {'precision': 0.7976575962552404; 'recall': 0.64734984244199; 'f1-score': 0.6729185235665385; 'support': 2931}; 'weighted avg': {'precision': 0.8087411706354247; 'recall': 0.8147389969293757; 'f1-score': 0.784537849493041; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],296,1051.006009,0.829069,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8217696806496403; 'recall': 0.9754282575038705; 'f1-score': 0.8920301438684631; 'support': 20023}; '1': {'precision': 0.8112773302646721; 'recall': 0.33301842229570144; 'f1-score': 0.4722036168787675; 'support': 6351}; 'accuracy': 0.8207325396223554; 'macro avg': {'precision': 0.8165235054571562; 'recall': 0.654223339899786; 'f1-score': 0.6821168803736153; 'support': 26374}; 'weighted avg': {'precision': 0.8192430666625722; 'recall': 0.8207325396223554; 'f1-score': 0.7909336748872104; 'support': 26374}},{'0': {'precision': 0.8300153139356815; 'recall': 0.9743820224719101; 'f1-score': 0.8964234029357039; 'support': 2225}; '1': {'precision': 0.8213166144200627; 'recall': 0.37110481586402266; 'f1-score': 0.511219512195122; 'support': 706}; 'accuracy': 0.8290685772773797; 'macro avg': {'precision': 0.8256659641778721; 'recall': 0.6727434191679664; 'f1-score': 0.7038214575654129; 'support': 2931}; 'weighted avg': {'precision': 0.8279200284160544; 'recall': 0.8290685772773797; 'f1-score': 0.8036380235897977; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],296,1038.363093,0.820198,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8213566151779718; 'recall': 0.9772761324476852; 'f1-score': 0.8925582137888567; 'support': 20023}; '1': {'precision': 0.8215686274509804; 'recall': 0.3298693119193828; 'f1-score': 0.4707336254353444; 'support': 6351}; 'accuracy': 0.8213771138242209; 'macro avg': {'precision': 0.821462621314476; 'recall': 0.653572722183534; 'f1-score': 0.6816459196121005; 'support': 26374}; 'weighted avg': {'precision': 0.8214076688651591; 'recall': 0.8213771138242209; 'f1-score': 0.7909806009643645; 'support': 26374}},{'0': {'precision': 0.8213474640423921; 'recall': 0.9752808988764045; 'f1-score': 0.89171974522293; 'support': 2225}; '1': {'precision': 0.8096885813148789; 'recall': 0.3314447592067989; 'f1-score': 0.4703517587939699; 'support': 706}; 'accuracy': 0.8201978846809962; 'macro avg': {'precision': 0.8155180226786355; 'recall': 0.6533628290416017; 'f1-score': 0.6810357520084499; 'support': 2931}; 'weighted avg': {'precision': 0.81853914906265; 'recall': 0.8201978846809962; 'f1-score': 0.7902233963935728; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],296,1174.366104,0.822245,4,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 10],{'0': {'precision': 0.8215711823798916; 'recall': 0.9761773959946062; 'f1-score': 0.8922262290592049; 'support': 20023}; '1': {'precision': 0.8153310104529616; 'recall': 0.33160132262635805; 'f1-score': 0.4714573539288112; 'support': 6351}; 'accuracy': 0.8209600363994843; 'macro avg': {'precision': 0.8184510964164267; 'recall': 0.6538893593104821; 'f1-score': 0.681841791494008; 'support': 26374}; 'weighted avg': {'precision': 0.8200685156661609; 'recall': 0.8209600363994843; 'f1-score': 0.7909028376148609; 'support': 26374}},{'0': {'precision': 0.821024868123587; 'recall': 0.9793258426966293; 'f1-score': 0.8932158229145316; 'support': 2225}; '1': {'precision': 0.8339350180505415; 'recall': 0.3271954674220963; 'f1-score': 0.4699898270600203; 'support': 706}; 'accuracy': 0.8222449675878539; 'macro avg': {'precision': 0.8274799430870643; 'recall': 0.6532606550593628; 'f1-score': 0.681602824987276; 'support': 2931}; 'weighted avg': {'precision': 0.8241345801155453; 'recall': 0.8222449675878539; 'f1-score': 0.7912719289966588; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],296,1171.360603,0.821221,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8210645526613817; 'recall': 0.9776257304100284; 'f1-score': 0.8925314608790809; 'support': 20023}; '1': {'precision': 0.8231346229767075; 'recall': 0.32829475673122344; 'f1-score': 0.46938316073840614; 'support': 6351}; 'accuracy': 0.8212633654356564; 'macro avg': {'precision': 0.8220995878190446; 'recall': 0.6529602435706259; 'f1-score': 0.6809573108087434; 'support': 26374}; 'weighted avg': {'precision': 0.821563036644571; 'recall': 0.8212633654356564; 'f1-score': 0.7906350911894842; 'support': 26374}},{'0': {'precision': 0.824; 'recall': 0.9721348314606741; 'f1-score': 0.8919587628865979; 'support': 2225}; '1': {'precision': 0.7973856209150327; 'recall': 0.34560906515580736; 'f1-score': 0.4822134387351779; 'support': 706}; 'accuracy': 0.8212214261344251; 'macro avg': {'precision': 0.8106928104575164; 'recall': 0.6588719483082408; 'f1-score': 0.687086100810888; 'support': 2931}; 'weighted avg': {'precision': 0.8175893034343272; 'recall': 0.8212214261344251; 'f1-score': 0.7932620044932501; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],296,1182.813891,0.824232,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8211856579057856; 'recall': 0.9768266493532438; 'f1-score': 0.892269793116033; 'support': 20023}; '1': {'precision': 0.818537348455221; 'recall': 0.32950251889168763; 'f1-score': 0.4698619373667078; 'support': 6352}; 'accuracy': 0.8209289099526066; 'macro avg': {'precision': 0.8198615031805032; 'recall': 0.6531645841224657; 'f1-score': 0.6810658652413704; 'support': 26375}; 'weighted avg': {'precision': 0.8205478546212363; 'recall': 0.8209289099526066; 'f1-score': 0.7905395675342429; 'support': 26375}},{'0': {'precision': 0.8228851963746223; 'recall': 0.9793258426966293; 'f1-score': 0.8943156166632464; 'support': 2225}; '1': {'precision': 0.8368794326241135; 'recall': 0.3347517730496454; 'f1-score': 0.47821681864235055; 'support': 705}; 'accuracy': 0.8242320819112628; 'macro avg': {'precision': 0.8298823144993679; 'recall': 0.6570388078731373; 'f1-score': 0.6862662176527985; 'support': 2930}; 'weighted avg': {'precision': 0.8262524102162234; 'recall': 0.8242320819112628; 'f1-score': 0.7941962813032697; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],296,1040.259033,0.821502,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1862.000000 OR X13 == 41],{'0': {'precision': 0.8213353540456344; 'recall': 0.9743794636168406; 'f1-score': 0.8913356328665738; 'support': 20023}; '1': {'precision': 0.8042731781762686; 'recall': 0.3318639798488665; 'f1-score': 0.469854006463836; 'support': 6352}; 'accuracy': 0.8196398104265403; 'macro avg': {'precision': 0.8128042661109516; 'recall': 0.6531217217328535; 'f1-score': 0.680594819665205; 'support': 26375}; 'weighted avg': {'precision': 0.8172261998798634; 'recall': 0.8196398104265403; 'f1-score': 0.7898284749173724; 'support': 26375}},{'0': {'precision': 0.8199248120300752; 'recall': 0.9802247191011236; 'f1-score': 0.8929375639713408; 'support': 2225}; '1': {'precision': 0.837037037037037; 'recall': 0.32056737588652484; 'f1-score': 0.4635897435897436; 'support': 705}; 'accuracy': 0.8215017064846416; 'macro avg': {'precision': 0.828480924533556; 'recall': 0.6503960474938242; 'f1-score': 0.6782636537805422; 'support': 2930}; 'weighted avg': {'precision': 0.8240422586614431; 'recall': 0.8215017064846416; 'f1-score': 0.7896303239136527; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],296,1024.025437,0.815017,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 34],{'0': {'precision': 0.8233234921973851; 'recall': 0.9749288318433801; 'f1-score': 0.8927354629227358; 'support': 20023}; '1': {'precision': 0.8116322701688555; 'recall': 0.34052267002518893; 'f1-score': 0.4797604524786514; 'support': 6352}; 'accuracy': 0.8221421800947867; 'macro avg': {'precision': 0.8174778811831203; 'recall': 0.6577257509342845; 'f1-score': 0.6862479577006936; 'support': 26375}; 'weighted avg': {'precision': 0.8205078469907418; 'recall': 0.8221421800947867; 'f1-score': 0.7932769883695291; 'support': 26375}},{'0': {'precision': 0.8162344983089064; 'recall': 0.9761797752808988; 'f1-score': 0.8890708145722472; 'support': 2225}; '1': {'precision': 0.8029739776951673; 'recall': 0.30638297872340425; 'f1-score': 0.44353182751540043; 'support': 705}; 'accuracy': 0.8150170648464163; 'macro avg': {'precision': 0.8096042380020368; 'recall': 0.6412813770021515; 'f1-score': 0.6663013210438238; 'support': 2930}; 'weighted avg': {'precision': 0.8130438269666928; 'recall': 0.8150170648464163; 'f1-score': 0.7818677477206851; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],296,1028.064624,0.817747,4,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8230185497470489; 'recall': 0.9749300838993208; 'f1-score': 0.8925566934893928; 'support': 20024}; '1': {'precision': 0.8109227871939736; 'recall': 0.339001732010707; 'f1-score': 0.47812569398178995; 'support': 6351}; 'accuracy': 0.8218009478672986; 'macro avg': {'precision': 0.8169706684705113; 'recall': 0.6569659079550139; 'f1-score': 0.6853411937355913; 'support': 26375}; 'weighted avg': {'precision': 0.8201059359849794; 'recall': 0.8218009478672986; 'f1-score': 0.7927632801103298; 'support': 26375}},{'0': {'precision': 0.8200757575757576; 'recall': 0.9734712230215827; 'f1-score': 0.8902138157894737; 'support': 2224}; '1': {'precision': 0.7965517241379311; 'recall': 0.3271954674220963; 'f1-score': 0.4638554216867469; 'support': 706}; 'accuracy': 0.8177474402730376; 'macro avg': {'precision': 0.8083137408568444; 'recall': 0.6503333452218395; 'f1-score': 0.6770346187381103; 'support': 2930}; 'weighted avg': {'precision': 0.8144075092456874; 'recall': 0.8177474402730376; 'f1-score': 0.7874803597360521; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],296,1027.089502,0.824915,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8209894675003148; 'recall': 0.9770775069916101; 'f1-score': 0.8922585794094174; 'support': 20024}; '1': {'precision': 0.8195754716981132; 'recall': 0.32829475673122344; 'f1-score': 0.46880269814502534; 'support': 6351}; 'accuracy': 0.8208530805687204; 'macro avg': {'precision': 0.8202824695992139; 'recall': 0.6526861318614168; 'f1-score': 0.6805306387772214; 'support': 26375}; 'weighted avg': {'precision': 0.8206489826722662; 'recall': 0.8208530805687204; 'f1-score': 0.7902920087208808; 'support': 26375}},{'0': {'precision': 0.8246679316888046; 'recall': 0.977068345323741; 'f1-score': 0.894422720724429; 'support': 2224}; '1': {'precision': 0.8271186440677966; 'recall': 0.34560906515580736; 'f1-score': 0.4875124875124875; 'support': 706}; 'accuracy': 0.8249146757679181; 'macro avg': {'precision': 0.8258932878783005; 'recall': 0.6613387052397741; 'f1-score': 0.6909676041184583; 'support': 2930}; 'weighted avg': {'precision': 0.8252584446374627; 'recall': 0.8249146757679181; 'f1-score': 0.7963754085580022; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.821088 (+- 0.004229), (mean training time) 1079.018325 (+- 64.291760)
