l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],164,1006.660651,0.828386,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8215397559949517; 'recall': 0.9752784298057234; 'f1-score': 0.8918320279496723; 'support': 20023}; '1': {'precision': 0.8099078341013825; 'recall': 0.33207368918280583; 'f1-score': 0.47102177554438857; 'support': 6351}; 'accuracy': 0.8203912944566618; 'macro avg': {'precision': 0.815723795048167; 'recall': 0.6536760594942647; 'f1-score': 0.6814269017470305; 'support': 26374}; 'weighted avg': {'precision': 0.8187387271049062; 'recall': 0.8203912944566618; 'f1-score': 0.7904986726366384; 'support': 26374}},{'0': {'precision': 0.8278750952018279; 'recall': 0.9770786516853932; 'f1-score': 0.8963100391671819; 'support': 2225}; '1': {'precision': 0.8327868852459016; 'recall': 0.3597733711048159; 'f1-score': 0.5024727992087042; 'support': 706}; 'accuracy': 0.8283862163084271; 'macro avg': {'precision': 0.8303309902238647; 'recall': 0.6684260113951046; 'f1-score': 0.6993914191879431; 'support': 2931}; 'weighted avg': {'precision': 0.8290582148780872; 'recall': 0.8283862163084271; 'f1-score': 0.8014451154514926; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],164,1006.730223,0.817468,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8223756208435054; 'recall': 0.9757778554662139; 'f1-score': 0.8925332906968777; 'support': 20023}; '1': {'precision': 0.8146024464831805; 'recall': 0.3355377105967564; 'f1-score': 0.47529831604773054; 'support': 6351}; 'accuracy': 0.8216046106013498; 'macro avg': {'precision': 0.8184890336633429; 'recall': 0.6556577830314851; 'f1-score': 0.6839158033723041; 'support': 26374}; 'weighted avg': {'precision': 0.8205037989597401; 'recall': 0.8216046106013498; 'f1-score': 0.7920608813544673; 'support': 26374}},{'0': {'precision': 0.8203184230477635; 'recall': 0.9725842696629213; 'f1-score': 0.8899856055932551; 'support': 2225}; '1': {'precision': 0.7918088737201365; 'recall': 0.3286118980169972; 'f1-score': 0.4644644644644645; 'support': 706}; 'accuracy': 0.817468440805186; 'macro avg': {'precision': 0.8060636483839501; 'recall': 0.6505980838399592; 'f1-score': 0.6772250350288598; 'support': 2931}; 'weighted avg': {'precision': 0.8134512303403925; 'recall': 0.817468440805186; 'f1-score': 0.7874888721790873; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],164,1006.468056,0.817810,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8222867483061903; 'recall': 0.9758777405983119; 'f1-score': 0.8925227241584068; 'support': 20023}; '1': {'precision': 0.8150134048257373; 'recall': 0.33506534404030863; 'f1-score': 0.4748939968756974; 'support': 6351}; 'accuracy': 0.8215666944718283; 'macro avg': {'precision': 0.8186500765659638; 'recall': 0.6554715423193103; 'f1-score': 0.6837083605170521; 'support': 26374}; 'weighted avg': {'precision': 0.8205352883666909; 'recall': 0.8215666944718283; 'f1-score': 0.7919554970797502; 'support': 26374}},{'0': {'precision': 0.8211165970375996; 'recall': 0.971685393258427; 'f1-score': 0.8900782214903251; 'support': 2225}; '1': {'precision': 0.7885906040268457; 'recall': 0.3328611898016997; 'f1-score': 0.46812749003984067; 'support': 706}; 'accuracy': 0.8178096212896623; 'macro avg': {'precision': 0.8048536005322227; 'recall': 0.6522732915300633; 'f1-score': 0.6791028557650829; 'support': 2931}; 'weighted avg': {'precision': 0.8132819497958418; 'recall': 0.8178096212896623; 'f1-score': 0.7884415048734565; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],164,1006.626577,0.821904,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8222240936460482; 'recall': 0.9752284872396744; 'f1-score': 0.8922142008589967; 'support': 20023}; '1': {'precision': 0.811047619047619; 'recall': 0.33522279955912454; 'f1-score': 0.4743761140819964; 'support': 6351}; 'accuracy': 0.8211117009175704; 'macro avg': {'precision': 0.8166358563468337; 'recall': 0.6552256433993995; 'f1-score': 0.6832951574704966; 'support': 26374}; 'weighted avg': {'precision': 0.8195327388961193; 'recall': 0.8211117009175704; 'f1-score': 0.7915965588964303; 'support': 26374}},{'0': {'precision': 0.8216849263316962; 'recall': 0.9775280898876404; 'f1-score': 0.8928571428571429; 'support': 2225}; '1': {'precision': 0.823943661971831; 'recall': 0.3314447592067989; 'f1-score': 0.4727272727272727; 'support': 706}; 'accuracy': 0.8219037871033776; 'macro avg': {'precision': 0.8228142941517635; 'recall': 0.6544864245472196; 'f1-score': 0.6827922077922078; 'support': 2931}; 'weighted avg': {'precision': 0.8222289957148199; 'recall': 0.8219037871033776; 'f1-score': 0.7916590233376314; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],164,1006.565862,0.819857,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8223232705991327; 'recall': 0.9754282575038705; 'f1-score': 0.8923561931740303; 'support': 20023}; '1': {'precision': 0.8124285169653069; 'recall': 0.3355377105967564; 'f1-score': 0.47492756853131274; 'support': 6351}; 'accuracy': 0.8213391976946993; 'macro avg': {'precision': 0.8173758937822198; 'recall': 0.6554829840503135; 'f1-score': 0.6836418808526715; 'support': 26374}; 'weighted avg': {'precision': 0.8199405611000644; 'recall': 0.8213391976946993; 'f1-score': 0.79183715187935; 'support': 26374}},{'0': {'precision': 0.8207939508506616; 'recall': 0.9757303370786516; 'f1-score': 0.8915811088295688; 'support': 2225}; '1': {'precision': 0.8111888111888111; 'recall': 0.3286118980169972; 'f1-score': 0.46774193548387094; 'support': 706}; 'accuracy': 0.81985670419652; 'macro avg': {'precision': 0.8159913810197363; 'recall': 0.6521711175478244; 'f1-score': 0.6796615221567198; 'support': 2931}; 'weighted avg': {'precision': 0.8184803279911371; 'recall': 0.81985670419652; 'f1-score': 0.7894895167510758; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],164,1006.433141,0.819113,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8220941483320012; 'recall': 0.97597762573041; 'f1-score': 0.8924510206877655; 'support': 20023}; '1': {'precision': 0.815284178187404; 'recall': 0.3342254408060453; 'f1-score': 0.4740955783832068; 'support': 6352}; 'accuracy': 0.8214218009478673; 'macro avg': {'precision': 0.8186891632597026; 'recall': 0.6551015332682277; 'f1-score': 0.6832732995354862; 'support': 26375}; 'weighted avg': {'precision': 0.820454075143054; 'recall': 0.8214218009478673; 'f1-score': 0.7916967545448818; 'support': 26375}},{'0': {'precision': 0.8228571428571428; 'recall': 0.9707865168539326; 'f1-score': 0.8907216494845361; 'support': 2225}; '1': {'precision': 0.7868852459016393; 'recall': 0.3404255319148936; 'f1-score': 0.4752475247524752; 'support': 705}; 'accuracy': 0.8191126279863481; 'macro avg': {'precision': 0.8048711943793911; 'recall': 0.6556060243844131; 'f1-score': 0.6829845871185056; 'support': 2930}; 'weighted avg': {'precision': 0.8142017888115354; 'recall': 0.8191126279863481; 'f1-score': 0.7907526194722144; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],164,1006.688583,0.811604,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8218412538341947; 'recall': 0.9768266493532438; 'f1-score': 0.8926566564739172; 'support': 20023}; '1': {'precision': 0.8198757763975155; 'recall': 0.33249370277078083; 'f1-score': 0.47311827956989244; 'support': 6352}; 'accuracy': 0.8216492890995261; 'macro avg': {'precision': 0.8208585151158552; 'recall': 0.6546601760620123; 'f1-score': 0.6828874680219048; 'support': 26375}; 'weighted avg': {'precision': 0.8213678997990179; 'recall': 0.8216492890995261; 'f1-score': 0.7916174993139412; 'support': 26375}},{'0': {'precision': 0.8120104438642297; 'recall': 0.9784269662921349; 'f1-score': 0.88748471259682; 'support': 2225}; '1': {'precision': 0.8072289156626506; 'recall': 0.2851063829787234; 'f1-score': 0.42138364779874216; 'support': 705}; 'accuracy': 0.81160409556314; 'macro avg': {'precision': 0.8096196797634402; 'recall': 0.6317666746354291; 'f1-score': 0.6544341801977811; 'support': 2930}; 'weighted avg': {'precision': 0.8108599396382525; 'recall': 0.81160409556314; 'f1-score': 0.7753341150942109; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],164,1006.697655,0.824573,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8220827894049775; 'recall': 0.9749787744094291; 'f1-score': 0.8920265021704364; 'support': 20023}; '1': {'precision': 0.8093607305936074; 'recall': 0.3348551637279597; 'f1-score': 0.47371937639198225; 'support': 6352}; 'accuracy': 0.8208151658767773; 'macro avg': {'precision': 0.8157217599992924; 'recall': 0.6549169690686945; 'f1-score': 0.6828729392812094; 'support': 26375}; 'weighted avg': {'precision': 0.8190188835255529; 'recall': 0.8208151658767773; 'f1-score': 0.7912838722957544; 'support': 26375}},{'0': {'precision': 0.8229520573801434; 'recall': 0.9797752808988764; 'f1-score': 0.8945424702503078; 'support': 2225}; '1': {'precision': 0.8398576512455516; 'recall': 0.3347517730496454; 'f1-score': 0.47870182555780927; 'support': 705}; 'accuracy': 0.8245733788395905; 'macro avg': {'precision': 0.8314048543128475; 'recall': 0.6572635269742609; 'f1-score': 0.6866221479040585; 'support': 2930}; 'weighted avg': {'precision': 0.8270197855969054; 'recall': 0.8245733788395905; 'f1-score': 0.7944852502816349; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],164,1006.594917,0.829693,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8202105793028232; 'recall': 0.9764782261286457; 'f1-score': 0.8915486856804141; 'support': 20024}; '1': {'precision': 0.8142744479495269; 'recall': 0.3251456463549047; 'f1-score': 0.46472375379768194; 'support': 6351}; 'accuracy': 0.8196398104265403; 'macro avg': {'precision': 0.817242513626175; 'recall': 0.6508119362417752; 'f1-score': 0.678136219739048; 'support': 26375}; 'weighted avg': {'precision': 0.8187811813796085; 'recall': 0.8196398104265403; 'f1-score': 0.7887708603766329; 'support': 26375}},{'0': {'precision': 0.8265808405906854; 'recall': 0.9815647482014388; 'f1-score': 0.8974306269270298; 'support': 2224}; '1': {'precision': 0.8581314878892734; 'recall': 0.35127478753541075; 'f1-score': 0.4984924623115578; 'support': 706}; 'accuracy': 0.8296928327645051; 'macro avg': {'precision': 0.8423561642399794; 'recall': 0.6664197678684247; 'f1-score': 0.6979615446192938; 'support': 2930}; 'weighted avg': {'precision': 0.8341831467315738; 'recall': 0.8296928327645051; 'f1-score': 0.801304229582824; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],164,1006.628332,0.818089,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.82084294401342; 'recall': 0.9774770275669197; 'f1-score': 0.8923385534204108; 'support': 20024}; '1': {'precision': 0.8217391304347826; 'recall': 0.3273500236183278; 'f1-score': 0.4681905190856885; 'support': 6351}; 'accuracy': 0.8209289099526066; 'macro avg': {'precision': 0.8212910372241014; 'recall': 0.6524135255926238; 'f1-score': 0.6802645362530496; 'support': 26375}; 'weighted avg': {'precision': 0.8210587423058209; 'recall': 0.8209289099526066; 'f1-score': 0.7902053148968157; 'support': 26375}},{'0': {'precision': 0.8208728652751424; 'recall': 0.9725719424460432; 'f1-score': 0.8903066474583248; 'support': 2224}; '1': {'precision': 0.7932203389830509; 'recall': 0.3314447592067989; 'f1-score': 0.4675324675324676; 'support': 706}; 'accuracy': 0.8180887372013652; 'macro avg': {'precision': 0.8070466021290966; 'recall': 0.6520083508264211; 'f1-score': 0.6789195574953961; 'support': 2930}; 'weighted avg': {'precision': 0.8142098333426453; 'recall': 0.8180887372013652; 'f1-score': 0.7884368279949613; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.820850 (+- 0.005175), (mean training time) 1006.609400 (+- 0.092243)
