lamda, n_clause, rule_type, partition_size, n_partitions, id_cv, training_time, accuracy
5,1,CNF,[8, 9],35,0,0.943587,0.687500
5,1,CNF,[8, 9],35,1,0.913969,0.593750
5,1,CNF,[8, 9],35,2,0.817536,0.687500
5,1,CNF,[8, 9],35,3,0.912704,0.812500
5,1,CNF,[8, 9],35,4,0.843425,0.718750
5,1,CNF,[8, 9],35,5,0.851153,0.812500
5,1,CNF,[8, 9],35,6,0.904928,0.741935
5,1,CNF,[8, 9],35,7,0.873186,0.774194
5,1,CNF,[8, 9],35,8,0.826195,0.677419
5,1,CNF,[8, 9],35,9,0.909572,0.677419
---> Chosen: (5, 1, 'CNF', [8, 9], 35, 3), (mean val acc cv) 0.718347, (test acc holdout) 0.857143, (mean training time) 0.879625
5,1,CNF,[16, 17],17,0,0.476981,0.812500
5,1,CNF,[16, 17],17,1,0.473164,0.781250
5,1,CNF,[16, 17],17,2,0.495286,0.562500
5,1,CNF,[16, 17],17,3,0.490925,0.812500
5,1,CNF,[16, 17],17,4,0.534261,0.906250
5,1,CNF,[16, 17],17,5,0.491001,0.718750
5,1,CNF,[16, 17],17,6,0.483731,0.838710
5,1,CNF,[16, 17],17,7,0.482678,0.741935
5,1,CNF,[16, 17],17,8,0.550309,0.806452
5,1,CNF,[16, 17],17,9,0.478467,0.580645
---> Chosen: (5, 1, 'CNF', [16, 17], 17, 4), (mean val acc cv) 0.756149, (test acc holdout) 0.771429, (mean training time) 0.495680
5,1,CNF,[35, 36],8,0,0.293582,0.781250
5,1,CNF,[35, 36],8,1,0.289510,0.812500
5,1,CNF,[35, 36],8,2,0.302930,0.687500
5,1,CNF,[35, 36],8,3,0.308397,0.593750
5,1,CNF,[35, 36],8,4,0.295963,0.656250
5,1,CNF,[35, 36],8,5,0.281657,0.875000
5,1,CNF,[35, 36],8,6,0.286071,0.774194
5,1,CNF,[35, 36],8,7,0.295163,0.645161
5,1,CNF,[35, 36],8,8,0.306082,0.838710
5,1,CNF,[35, 36],8,9,0.298707,0.774194
---> Chosen: (5, 1, 'CNF', [35, 36], 8, 5), (mean val acc cv) 0.743851, (test acc holdout) 0.771429, (mean training time) 0.295806
5,1,CNF,[71, 71],4,0,0.281304,0.937500
5,1,CNF,[71, 71],4,1,0.263440,0.781250
5,1,CNF,[71, 71],4,2,0.211676,0.750000
5,1,CNF,[71, 71],4,3,0.210104,0.781250
5,1,CNF,[71, 71],4,4,0.236059,0.812500
5,1,CNF,[71, 71],4,5,0.251619,0.781250
5,1,CNF,[71, 72],4,6,0.255589,0.774194
5,1,CNF,[71, 72],4,7,0.249133,0.709677
5,1,CNF,[71, 72],4,8,0.270953,0.838710
5,1,CNF,[71, 72],4,9,0.286389,0.741935
---> Chosen: (5, 1, 'CNF', [71, 71], 4, 0), (mean val acc cv) 0.790827, (test acc holdout) 0.857143, (mean training time) 0.251627
5,1,CNF,[142, 142],2,0,0.238685,0.812500
5,1,CNF,[142, 142],2,1,0.335764,0.750000
5,1,CNF,[142, 142],2,2,0.347616,0.687500
5,1,CNF,[142, 142],2,3,0.418532,0.781250
5,1,CNF,[142, 142],2,4,0.294216,0.687500
5,1,CNF,[142, 142],2,5,0.392897,0.781250
5,1,CNF,[142, 143],2,6,0.405403,0.838710
5,1,CNF,[142, 143],2,7,0.293625,0.903226
5,1,CNF,[142, 143],2,8,0.257355,0.838710
5,1,CNF,[142, 143],2,9,0.329118,0.677419
---> Chosen: (5, 1, 'CNF', [142, 143], 2, 7), (mean val acc cv) 0.775806, (test acc holdout) 0.771429, (mean training time) 0.331321
5,1,DNF,[8, 9],35,0,0.908255,0.937500
5,1,DNF,[8, 9],35,1,0.873435,0.843750
5,1,DNF,[8, 9],35,2,0.893235,0.843750
5,1,DNF,[8, 9],35,3,0.882579,0.906250
5,1,DNF,[8, 9],35,4,0.864556,0.875000
5,1,DNF,[8, 9],35,5,0.841870,1.000000
5,1,DNF,[8, 9],35,6,0.845642,0.806452
5,1,DNF,[8, 9],35,7,0.848146,1.000000
5,1,DNF,[8, 9],35,8,0.876491,0.903226
5,1,DNF,[8, 9],35,9,0.889184,0.903226
---> Chosen: (5, 1, 'DNF', [8, 9], 35, 5), (mean val acc cv) 0.901915, (test acc holdout) 0.942857, (mean training time) 0.872339
5,1,DNF,[16, 17],17,0,0.480334,0.937500
5,1,DNF,[16, 17],17,1,0.481645,0.875000
5,1,DNF,[16, 17],17,2,0.501337,0.812500
5,1,DNF,[16, 17],17,3,0.514125,0.906250
5,1,DNF,[16, 17],17,4,0.468209,0.843750
5,1,DNF,[16, 17],17,5,0.484160,0.968750
5,1,DNF,[16, 17],17,6,0.515717,0.935484
5,1,DNF,[16, 17],17,7,0.486408,0.967742
5,1,DNF,[16, 17],17,8,0.503905,1.000000
5,1,DNF,[16, 17],17,9,0.533972,0.806452
---> Chosen: (5, 1, 'DNF', [16, 17], 17, 8), (mean val acc cv) 0.905343, (test acc holdout) 0.914286, (mean training time) 0.496981
5,1,DNF,[35, 36],8,0,0.318940,0.968750
5,1,DNF,[35, 36],8,1,0.297514,0.937500
5,1,DNF,[35, 36],8,2,0.284222,0.781250
5,1,DNF,[35, 36],8,3,0.320289,0.843750
5,1,DNF,[35, 36],8,4,0.298324,0.843750
5,1,DNF,[35, 36],8,5,0.292500,0.937500
5,1,DNF,[35, 36],8,6,0.292869,0.903226
5,1,DNF,[35, 36],8,7,0.307551,0.967742
5,1,DNF,[35, 36],8,8,0.298342,0.935484
5,1,DNF,[35, 36],8,9,0.293321,0.870968
---> Chosen: (5, 1, 'DNF', [35, 36], 8, 0), (mean val acc cv) 0.898992, (test acc holdout) 0.742857, (mean training time) 0.300387
5,1,DNF,[71, 71],4,0,0.245396,0.937500
5,1,DNF,[71, 71],4,1,0.206579,0.843750
5,1,DNF,[71, 71],4,2,0.214397,0.843750
5,1,DNF,[71, 71],4,3,0.219701,1.000000
5,1,DNF,[71, 71],4,4,0.206343,0.875000
5,1,DNF,[71, 71],4,5,0.214423,0.968750
5,1,DNF,[71, 72],4,6,0.200258,0.903226
5,1,DNF,[71, 72],4,7,0.212358,0.967742
5,1,DNF,[71, 72],4,8,0.224868,1.000000
5,1,DNF,[71, 72],4,9,0.215512,0.903226
---> Chosen: (5, 1, 'DNF', [71, 71], 4, 3), (mean val acc cv) 0.924294, (test acc holdout) 0.914286, (mean training time) 0.215984
5,1,DNF,[142, 142],2,0,0.171281,0.937500
5,1,DNF,[142, 142],2,1,0.233019,0.937500
5,1,DNF,[142, 142],2,2,0.167359,0.812500
5,1,DNF,[142, 142],2,3,0.262996,0.937500
5,1,DNF,[142, 142],2,4,0.171374,0.875000
5,1,DNF,[142, 142],2,5,0.187116,1.000000
5,1,DNF,[142, 143],2,6,0.161384,0.935484
5,1,DNF,[142, 143],2,7,0.181638,0.967742
5,1,DNF,[142, 143],2,8,0.168737,1.000000
5,1,DNF,[142, 143],2,9,0.185817,0.935484
---> Chosen: (5, 1, 'DNF', [142, 142], 2, 5), (mean val acc cv) 0.933871, (test acc holdout) 0.914286, (mean training time) 0.189072
5,2,CNF,[8, 9],35,0,1.007652,0.687500
5,2,CNF,[8, 9],35,1,0.947870,0.875000
5,2,CNF,[8, 9],35,2,0.949620,0.812500
5,2,CNF,[8, 9],35,3,1.001214,0.843750
5,2,CNF,[8, 9],35,4,0.986471,0.812500
5,2,CNF,[8, 9],35,5,0.920469,0.843750
5,2,CNF,[8, 9],35,6,0.923628,0.806452
5,2,CNF,[8, 9],35,7,0.933126,0.903226
5,2,CNF,[8, 9],35,8,0.975325,0.419355
5,2,CNF,[8, 9],35,9,0.979374,0.612903
---> Chosen: (5, 2, 'CNF', [8, 9], 35, 7), (mean val acc cv) 0.761694, (test acc holdout) 0.771429, (mean training time) 0.962475
5,2,CNF,[16, 17],17,0,0.521094,0.843750
5,2,CNF,[16, 17],17,1,0.538532,0.781250
5,2,CNF,[16, 17],17,2,0.546918,0.687500
5,2,CNF,[16, 17],17,3,0.568654,0.687500
5,2,CNF,[16, 17],17,4,0.531245,0.750000
5,2,CNF,[16, 17],17,5,0.537591,0.812500
5,2,CNF,[16, 17],17,6,0.535871,0.774194
5,2,CNF,[16, 17],17,7,0.531966,0.709677
5,2,CNF,[16, 17],17,8,0.565670,0.709677
5,2,CNF,[16, 17],17,9,0.549421,0.838710
---> Chosen: (5, 2, 'CNF', [16, 17], 17, 0), (mean val acc cv) 0.759476, (test acc holdout) 0.771429, (mean training time) 0.542696
5,2,CNF,[35, 36],8,0,0.380679,0.812500
5,2,CNF,[35, 36],8,1,0.410529,0.781250
5,2,CNF,[35, 36],8,2,0.422284,0.718750
5,2,CNF,[35, 36],8,3,0.395101,0.625000
5,2,CNF,[35, 36],8,4,0.492815,0.687500
5,2,CNF,[35, 36],8,5,0.358631,0.843750
