lamda, n_clause, rule_type, partition_size, n_partitions, id_cv, training_time, accuracy
5,1,CNF,[8, 9],35,0,0.916996,0.562500
5,1,CNF,[8, 9],35,1,0.874184,0.687500
5,1,CNF,[8, 9],35,2,0.800478,0.531250
5,1,CNF,[8, 9],35,3,0.799165,0.468750
5,1,CNF,[8, 9],35,4,0.885145,0.812500
5,1,CNF,[8, 9],35,5,0.803846,0.656250
5,1,CNF,[8, 9],35,6,0.850033,0.806452
5,1,CNF,[8, 9],35,7,0.968464,0.677419
5,1,CNF,[8, 9],35,8,0.829516,0.677419
5,1,CNF,[8, 9],35,9,0.942497,0.774194
---> Chosen: (5, 1, 'CNF', [8, 9], 35, 4), (mean val acc cv) 0.665423, (test acc holdout) 0.771429, (mean training time) 0.867032
5,1,CNF,[16, 17],17,0,0.462795,0.843750
5,1,CNF,[16, 17],17,1,0.481210,0.750000
5,1,CNF,[16, 17],17,2,0.463247,0.687500
5,1,CNF,[16, 17],17,3,0.527450,0.781250
5,1,CNF,[16, 17],17,4,0.468252,0.906250
5,1,CNF,[16, 17],17,5,0.478609,0.656250
5,1,CNF,[16, 17],17,6,0.466976,0.612903
5,1,CNF,[16, 17],17,7,0.465449,0.870968
5,1,CNF,[16, 17],17,8,0.601083,0.612903
5,1,CNF,[16, 17],17,9,0.511446,0.806452
---> Chosen: (5, 1, 'CNF', [16, 17], 17, 4), (mean val acc cv) 0.752823, (test acc holdout) 0.857143, (mean training time) 0.492652
5,1,CNF,[35, 36],8,0,0.285347,0.750000
5,1,CNF,[35, 36],8,1,0.288033,0.687500
5,1,CNF,[35, 36],8,2,0.287461,0.781250
5,1,CNF,[35, 36],8,3,0.284567,0.750000
5,1,CNF,[35, 36],8,4,0.297784,0.718750
5,1,CNF,[35, 36],8,5,0.295743,0.750000
5,1,CNF,[35, 36],8,6,0.321580,0.806452
5,1,CNF,[35, 36],8,7,0.313046,0.870968
5,1,CNF,[35, 36],8,8,0.340193,0.838710
5,1,CNF,[35, 36],8,9,0.296134,0.677419
---> Chosen: (5, 1, 'CNF', [35, 36], 8, 7), (mean val acc cv) 0.763105, (test acc holdout) 0.800000, (mean training time) 0.300989
5,1,CNF,[71, 71],4,0,0.258550,0.843750
5,1,CNF,[71, 71],4,1,0.252954,0.781250
5,1,CNF,[71, 71],4,2,0.271392,0.812500
5,1,CNF,[71, 71],4,3,0.232044,0.843750
5,1,CNF,[71, 71],4,4,0.334898,0.781250
5,1,CNF,[71, 71],4,5,0.281829,0.812500
5,1,CNF,[71, 72],4,6,0.270447,0.806452
5,1,CNF,[71, 72],4,7,0.285889,0.870968
5,1,CNF,[71, 72],4,8,0.286680,0.612903
5,1,CNF,[71, 72],4,9,0.251535,0.677419
---> Chosen: (5, 1, 'CNF', [71, 72], 4, 7), (mean val acc cv) 0.784274, (test acc holdout) 0.771429, (mean training time) 0.272622
5,1,CNF,[142, 142],2,0,0.476377,0.906250
5,1,CNF,[142, 142],2,1,0.577585,0.781250
5,1,CNF,[142, 142],2,2,0.492436,0.812500
5,1,CNF,[142, 142],2,3,0.376954,0.843750
5,1,CNF,[142, 142],2,4,0.264812,0.812500
5,1,CNF,[142, 142],2,5,0.343599,0.812500
5,1,CNF,[142, 143],2,6,0.429096,0.709677
5,1,CNF,[142, 143],2,7,0.568646,0.903226
5,1,CNF,[142, 143],2,8,0.565305,0.838710
5,1,CNF,[142, 143],2,9,0.361979,0.838710
---> Chosen: (5, 1, 'CNF', [142, 142], 2, 0), (mean val acc cv) 0.825907, (test acc holdout) 0.771429, (mean training time) 0.445679
5,1,DNF,[8, 9],35,0,0.839143,0.968750
5,1,DNF,[8, 9],35,1,0.872641,0.875000
5,1,DNF,[8, 9],35,2,0.883888,0.968750
5,1,DNF,[8, 9],35,3,0.867465,0.687500
5,1,DNF,[8, 9],35,4,0.901877,0.875000
5,1,DNF,[8, 9],35,5,0.845369,0.906250
5,1,DNF,[8, 9],35,6,0.870186,0.935484
5,1,DNF,[8, 9],35,7,0.877690,0.612903
5,1,DNF,[8, 9],35,8,0.904899,0.774194
5,1,DNF,[8, 9],35,9,0.864142,0.838710
---> Chosen: (5, 1, 'DNF', [8, 9], 35, 0), (mean val acc cv) 0.844254, (test acc holdout) 0.914286, (mean training time) 0.872730
5,1,DNF,[16, 17],17,0,0.490198,1.000000
5,1,DNF,[16, 17],17,1,0.496532,0.875000
5,1,DNF,[16, 17],17,2,0.492029,0.937500
5,1,DNF,[16, 17],17,3,0.484810,1.000000
5,1,DNF,[16, 17],17,4,0.489064,0.937500
5,1,DNF,[16, 17],17,5,0.496323,0.875000
5,1,DNF,[16, 17],17,6,0.512784,0.709677
5,1,DNF,[16, 17],17,7,0.497362,0.903226
5,1,DNF,[16, 17],17,8,0.527950,0.741935
5,1,DNF,[16, 17],17,9,0.510743,0.870968
