lamda, n_clause, rule_type, partition_size, n_partitions, id_cv, training_time, accuracy
5,1,CNF,[8, 9],35,0,0.920105,0.625000
5,1,CNF,[8, 9],35,1,0.888783,0.843750
5,1,CNF,[8, 9],35,2,0.839824,0.781250
5,1,CNF,[8, 9],35,3,0.963732,0.625000
5,1,CNF,[8, 9],35,4,0.874553,0.687500
5,1,CNF,[8, 9],35,5,0.855401,0.781250
5,1,CNF,[8, 9],35,6,0.923507,0.806452
5,1,CNF,[8, 9],35,7,0.927687,0.645161
5,1,CNF,[8, 9],35,8,0.907446,0.741935
5,1,CNF,[8, 9],35,9,0.842623,0.838710
---> Chosen: (5, 1, 'CNF', [8, 9], 35, 1), (mean val acc cv) 0.737601, (test acc holdout) 0.857143, (mean training time) 0.894366
5,1,CNF,[16, 17],17,0,0.478190,0.625000
5,1,CNF,[16, 17],17,1,0.478214,0.812500
5,1,CNF,[16, 17],17,2,0.603764,0.562500
5,1,CNF,[16, 17],17,3,0.492945,0.625000
5,1,CNF,[16, 17],17,4,0.469790,0.843750
5,1,CNF,[16, 17],17,5,0.490351,0.718750
5,1,CNF,[16, 17],17,6,0.500210,0.741935
5,1,CNF,[16, 17],17,7,0.515651,0.677419
5,1,CNF,[16, 17],17,8,0.482476,0.838710
5,1,CNF,[16, 17],17,9,0.516860,0.806452
---> Chosen: (5, 1, 'CNF', [16, 17], 17, 4), (mean val acc cv) 0.725202, (test acc holdout) 0.800000, (mean training time) 0.502845
5,1,CNF,[35, 36],8,0,0.311429,0.718750
5,1,CNF,[35, 36],8,1,0.310376,0.875000
5,1,CNF,[35, 36],8,2,0.338230,0.781250
5,1,CNF,[35, 36],8,3,0.319476,0.625000
5,1,CNF,[35, 36],8,4,0.306783,0.812500
5,1,CNF,[35, 36],8,5,0.307749,0.750000
5,1,CNF,[35, 36],8,6,0.302286,0.645161
5,1,CNF,[35, 36],8,7,0.324920,0.741935
5,1,CNF,[35, 36],8,8,0.298446,0.838710
5,1,CNF,[35, 36],8,9,0.321500,0.774194
---> Chosen: (5, 1, 'CNF', [35, 36], 8, 1), (mean val acc cv) 0.756250, (test acc holdout) 0.828571, (mean training time) 0.314120
5,1,CNF,[71, 71],4,0,0.295953,0.687500
5,1,CNF,[71, 71],4,1,0.262132,0.875000
5,1,CNF,[71, 71],4,2,0.313498,0.750000
5,1,CNF,[71, 71],4,3,0.263935,0.718750
5,1,CNF,[71, 71],4,4,0.269270,0.718750
5,1,CNF,[71, 71],4,5,0.242633,0.781250
5,1,CNF,[71, 72],4,6,0.343043,0.774194
5,1,CNF,[71, 72],4,7,0.232689,0.903226
5,1,CNF,[71, 72],4,8,0.227790,0.870968
5,1,CNF,[71, 72],4,9,0.359225,0.806452
---> Chosen: (5, 1, 'CNF', [71, 72], 4, 7), (mean val acc cv) 0.788609, (test acc holdout) 0.800000, (mean training time) 0.281017
5,1,CNF,[142, 142],2,0,0.707123,0.812500
5,1,CNF,[142, 142],2,1,0.324397,0.812500
5,1,CNF,[142, 142],2,2,0.603412,0.781250
5,1,CNF,[142, 142],2,3,0.361236,0.687500
5,1,CNF,[142, 142],2,4,0.276266,0.718750
5,1,CNF,[142, 142],2,5,0.619080,0.781250
5,1,CNF,[142, 143],2,6,0.526567,0.903226
5,1,CNF,[142, 143],2,7,0.444106,0.709677
5,1,CNF,[142, 143],2,8,0.285858,0.677419
5,1,CNF,[142, 143],2,9,0.599756,0.935484
---> Chosen: (5, 1, 'CNF', [142, 143], 2, 9), (mean val acc cv) 0.781956, (test acc holdout) 0.828571, (mean training time) 0.474780
5,1,DNF,[8, 9],35,0,0.918711,0.875000
5,1,DNF,[8, 9],35,1,0.874241,0.875000
5,1,DNF,[8, 9],35,2,0.923535,0.875000
5,1,DNF,[8, 9],35,3,0.894102,0.937500
5,1,DNF,[8, 9],35,4,0.884754,0.968750
5,1,DNF,[8, 9],35,5,0.870305,0.937500
5,1,DNF,[8, 9],35,6,0.879076,0.612903
5,1,DNF,[8, 9],35,7,0.873990,0.903226
5,1,DNF,[8, 9],35,8,0.902589,0.903226
5,1,DNF,[8, 9],35,9,0.875121,0.967742
---> Chosen: (5, 1, 'DNF', [8, 9], 35, 4), (mean val acc cv) 0.885585, (test acc holdout) 0.857143, (mean training time) 0.889642
5,1,DNF,[16, 17],17,0,0.500445,0.843750
5,1,DNF,[16, 17],17,1,0.503805,0.906250
5,1,DNF,[16, 17],17,2,0.550082,0.906250
5,1,DNF,[16, 17],17,3,0.494367,0.937500
5,1,DNF,[16, 17],17,4,0.518539,0.937500
5,1,DNF,[16, 17],17,5,0.499844,0.937500
5,1,DNF,[16, 17],17,6,0.519482,0.741935
5,1,DNF,[16, 17],17,7,0.517340,0.870968
5,1,DNF,[16, 17],17,8,0.484437,0.870968
5,1,DNF,[16, 17],17,9,0.505152,0.967742
---> Chosen: (5, 1, 'DNF', [16, 17], 17, 9), (mean val acc cv) 0.892036, (test acc holdout) 0.942857, (mean training time) 0.509349
5,1,DNF,[35, 36],8,0,0.323648,0.812500
5,1,DNF,[35, 36],8,1,0.296760,0.843750
5,1,DNF,[35, 36],8,2,0.328702,0.937500
5,1,DNF,[35, 36],8,3,0.297754,0.937500
5,1,DNF,[35, 36],8,4,0.309407,0.906250
5,1,DNF,[35, 36],8,5,0.309794,0.937500
5,1,DNF,[35, 36],8,6,0.321887,0.903226
5,1,DNF,[35, 36],8,7,0.309480,0.903226
5,1,DNF,[35, 36],8,8,0.304806,0.774194
5,1,DNF,[35, 36],8,9,0.326139,0.967742
---> Chosen: (5, 1, 'DNF', [35, 36], 8, 9), (mean val acc cv) 0.892339, (test acc holdout) 0.942857, (mean training time) 0.312838
5,1,DNF,[71, 71],4,0,0.305514,0.875000
5,1,DNF,[71, 71],4,1,0.220459,0.906250
5,1,DNF,[71, 71],4,2,0.243123,0.906250
5,1,DNF,[71, 71],4,3,0.212449,0.937500
5,1,DNF,[71, 71],4,4,0.225313,0.875000
5,1,DNF,[71, 71],4,5,0.214089,0.937500
5,1,DNF,[71, 72],4,6,0.222304,0.903226
5,1,DNF,[71, 72],4,7,0.236416,0.903226
5,1,DNF,[71, 72],4,8,0.222100,0.838710
5,1,DNF,[71, 72],4,9,0.242913,0.935484
---> Chosen: (5, 1, 'DNF', [71, 71], 4, 3), (mean val acc cv) 0.901815, (test acc holdout) 0.914286, (mean training time) 0.234468
5,1,DNF,[142, 142],2,0,0.176113,0.875000
5,1,DNF,[142, 142],2,1,0.176309,0.906250
5,1,DNF,[142, 142],2,2,0.200351,0.937500
5,1,DNF,[142, 142],2,3,0.169102,0.937500
5,1,DNF,[142, 142],2,4,0.176821,0.937500
5,1,DNF,[142, 142],2,5,0.181572,0.937500
5,1,DNF,[142, 143],2,6,0.176581,0.935484
5,1,DNF,[142, 143],2,7,0.189638,0.903226
5,1,DNF,[142, 143],2,8,0.167554,0.935484
5,1,DNF,[142, 143],2,9,0.190108,0.935484
---> Chosen: (5, 1, 'DNF', [142, 142], 2, 2), (mean val acc cv) 0.924093, (test acc holdout) 0.857143, (mean training time) 0.180415
5,2,CNF,[8, 9],35,0,1.042219,0.812500
5,2,CNF,[8, 9],35,1,1.014978,0.843750
5,2,CNF,[8, 9],35,2,1.001293,0.625000
5,2,CNF,[8, 9],35,3,0.983384,0.718750
5,2,CNF,[8, 9],35,4,0.955440,0.812500
5,2,CNF,[8, 9],35,5,0.958628,0.812500
5,2,CNF,[8, 9],35,6,0.950750,0.806452
5,2,CNF,[8, 9],35,7,0.987474,0.838710
5,2,CNF,[8, 9],35,8,0.933355,0.741935
5,2,CNF,[8, 9],35,9,0.956380,0.870968
---> Chosen: (5, 2, 'CNF', [8, 9], 35, 9), (mean val acc cv) 0.788306, (test acc holdout) 0.800000, (mean training time) 0.978390
5,2,CNF,[16, 17],17,0,0.559580,0.843750
5,2,CNF,[16, 17],17,1,0.544873,0.875000
5,2,CNF,[16, 17],17,2,0.595945,0.687500
5,2,CNF,[16, 17],17,3,0.554011,0.812500
5,2,CNF,[16, 17],17,4,0.597569,0.781250
5,2,CNF,[16, 17],17,5,0.558638,0.812500
5,2,CNF,[16, 17],17,6,0.569517,0.774194
5,2,CNF,[16, 17],17,7,0.543126,0.838710
5,2,CNF,[16, 17],17,8,0.565381,0.645161
5,2,CNF,[16, 17],17,9,0.578019,0.935484
---> Chosen: (5, 2, 'CNF', [16, 17], 17, 9), (mean val acc cv) 0.800605, (test acc holdout) 0.885714, (mean training time) 0.566666
5,2,CNF,[35, 36],8,0,0.400653,0.812500
5,2,CNF,[35, 36],8,1,0.378118,0.875000
5,2,CNF,[35, 36],8,2,0.552353,0.781250
5,2,CNF,[35, 36],8,3,0.355074,0.781250
5,2,CNF,[35, 36],8,4,0.502350,0.843750
5,2,CNF,[35, 36],8,5,0.384844,0.843750
