l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,469,53,58,[8; 9],158,1.771243,0.698113,2,[X0 >= 31.000000 OR X3 >= 1.000000],{'0.0': {'precision': 0.5125; 'recall': 0.30597014925373134; 'f1-score': 0.3831775700934579; 'support': 134}; '1.0': {'precision': 0.7609254498714653; 'recall': 0.8835820895522388; 'f1-score': 0.8176795580110497; 'support': 335}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6367127249357326; 'recall': 0.594776119402985; 'f1-score': 0.6004285640522538; 'support': 469}; 'weighted avg': {'precision': 0.6899467499081895; 'recall': 0.7185501066098081; 'f1-score': 0.6935361328917379; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9210526315789473; 'f1-score': 0.8139534883720931; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5645833333333333; 'recall': 0.5271929824561403; 'f1-score': 0.5069767441860465; 'support': 53}; 'weighted avg': {'precision': 0.636006289308176; 'recall': 0.6981132075471698; 'f1-score': 0.6401930671347082; 'support': 53}}
l: 5,1,CNF,1,469,53,58,[8; 9],158,2.090523,0.698113,3,[X0 >= 35.000000 OR X2 >= 0.800000 OR X3 >= 4.100000],{'0.0': {'precision': 0.475; 'recall': 0.1417910447761194; 'f1-score': 0.21839080459770116; 'support': 134}; '1.0': {'precision': 0.7319347319347319; 'recall': 0.9373134328358209; 'f1-score': 0.8219895287958114; 'support': 335}; 'accuracy': 0.7100213219616205; 'macro avg': {'precision': 0.6034673659673659; 'recall': 0.5395522388059701; 'f1-score': 0.5201901666967563; 'support': 469}; 'weighted avg': {'precision': 0.6585248085248085; 'recall': 0.7100213219616205; 'f1-score': 0.6495327504534942; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9210526315789473; 'f1-score': 0.8139534883720931; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5645833333333333; 'recall': 0.5271929824561403; 'f1-score': 0.5069767441860465; 'support': 53}; 'weighted avg': {'precision': 0.636006289308176; 'recall': 0.6981132075471698; 'f1-score': 0.6401930671347082; 'support': 53}}
l: 5,1,CNF,2,470,52,58,[8; 9],158,2.210652,0.576923,3,[X0 >= 45.000000 OR X7 < 6.000000 OR X8 < 2.500000],{'0.0': {'precision': 0.3973509933774834; 'recall': 0.4444444444444444; 'f1-score': 0.41958041958041953; 'support': 135}; '1.0': {'precision': 0.7648902821316614; 'recall': 0.7283582089552239; 'f1-score': 0.746177370030581; 'support': 335}; 'accuracy': 0.6468085106382979; 'macro avg': {'precision': 0.5811206377545725; 'recall': 0.5864013266998341; 'f1-score': 0.5828788948055003; 'support': 470}; 'weighted avg': {'precision': 0.6593204864256741; 'recall': 0.6468085106382979; 'f1-score': 0.6523676076672368; 'support': 470}},{'0.0': {'precision': 0.3; 'recall': 0.42857142857142855; 'f1-score': 0.3529411764705882; 'support': 14}; '1.0': {'precision': 0.75; 'recall': 0.631578947368421; 'f1-score': 0.6857142857142857; 'support': 38}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.525; 'recall': 0.5300751879699248; 'f1-score': 0.5193277310924369; 'support': 52}; 'weighted avg': {'precision': 0.6288461538461539; 'recall': 0.5769230769230769; 'f1-score': 0.5961215255332902; 'support': 52}}
l: 5,1,CNF,3,470,52,58,[8; 9],158,2.107482,0.750000,3,[X3 >= 4.100000 OR X4 < 150.000000 OR X5 >= 21.000000],{'0.0': {'precision': 0.3888888888888889; 'recall': 0.208955223880597; 'f1-score': 0.27184466019417475; 'support': 134}; '1.0': {'precision': 0.7336683417085427; 'recall': 0.8690476190476191; 'f1-score': 0.7956403269754768; 'support': 336}; 'accuracy': 0.6808510638297872; 'macro avg': {'precision': 0.5612786152987158; 'recall': 0.539001421464108; 'f1-score': 0.5337424935848258; 'support': 470}; 'weighted avg': {'precision': 0.6353695189897478; 'recall': 0.6808510638297872; 'f1-score': 0.6463028389995311; 'support': 470}},{'0.0': {'precision': 0.75; 'recall': 0.2; 'f1-score': 0.31578947368421056; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.972972972972973; 'f1-score': 0.8470588235294119; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.75; 'recall': 0.5864864864864865; 'f1-score': 0.5814241486068112; 'support': 52}; 'weighted avg': {'precision': 0.75; 'recall': 0.75; 'f1-score': 0.6938080495356037; 'support': 52}}
l: 5,1,CNF,4,470,52,58,[8; 9],158,2.049946,0.634615,2,[X0 >= 55.000000 OR X5 >= 25.000000],{'0.0': {'precision': 0.43209876543209874; 'recall': 0.26119402985074625; 'f1-score': 0.32558139534883723; 'support': 134}; '1.0': {'precision': 0.7455012853470437; 'recall': 0.8630952380952381; 'f1-score': 0.8; 'support': 336}; 'accuracy': 0.6914893617021277; 'macro avg': {'precision': 0.5888000253895712; 'recall': 0.5621446339729922; 'f1-score': 0.5627906976744186; 'support': 470}; 'weighted avg': {'precision': 0.6561482264776763; 'recall': 0.6914893617021277; 'f1-score': 0.6647402276100941; 'support': 470}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.26666666666666666; 'f1-score': 0.2962962962962963; 'support': 15}; '1.0': {'precision': 0.725; 'recall': 0.7837837837837838; 'f1-score': 0.7532467532467533; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5291666666666667; 'recall': 0.5252252252252252; 'f1-score': 0.5247715247715248; 'support': 52}; 'weighted avg': {'precision': 0.6120192307692307; 'recall': 0.6346153846153846; 'f1-score': 0.6214341214341215; 'support': 52}}
l: 5,1,CNF,5,470,52,58,[8; 9],158,1.789985,0.692308,3,[(NOT X1) OR X4 >= 195.000000 OR X4 < 150.000000],{'0.0': {'precision': 0.46236559139784944; 'recall': 0.3208955223880597; 'f1-score': 0.3788546255506608; 'support': 134}; '1.0': {'precision': 0.7586206896551724; 'recall': 0.8511904761904762; 'f1-score': 0.8022440392706873; 'support': 336}; 'accuracy': 0.7; 'macro avg': {'precision': 0.6104931405265109; 'recall': 0.586042999289268; 'f1-score': 0.5905493324106741; 'support': 470}; 'weighted avg': {'precision': 0.6741564701520206; 'recall': 0.7; 'f1-score': 0.6815330149334883; 'support': 470}},{'0.0': {'precision': 0.46153846153846156; 'recall': 0.4; 'f1-score': 0.42857142857142855; 'support': 15}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.8108108108108109; 'f1-score': 0.7894736842105263; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6153846153846154; 'recall': 0.6054054054054054; 'f1-score': 0.6090225563909775; 'support': 52}; 'weighted avg': {'precision': 0.6804733727810651; 'recall': 0.6923076923076923; 'f1-score': 0.6853672643146328; 'support': 52}}
l: 5,1,CNF,6,470,52,58,[8; 9],158,1.756470,0.730769,2,[X0 >= 31.000000 OR X4 >= 167.600000],{'0.0': {'precision': 0.6; 'recall': 0.11194029850746269; 'f1-score': 0.18867924528301888; 'support': 134}; '1.0': {'precision': 0.7325842696629213; 'recall': 0.9702380952380952; 'f1-score': 0.8348271446862996; 'support': 336}; 'accuracy': 0.725531914893617; 'macro avg': {'precision': 0.6662921348314607; 'recall': 0.541089196872779; 'f1-score': 0.5117531949846592; 'support': 470}; 'weighted avg': {'precision': 0.69478364809945; 'recall': 0.725531914893617; 'f1-score': 0.6506062542181301; 'support': 470}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.13333333333333333; 'f1-score': 0.2222222222222222; 'support': 15}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.972972972972973; 'f1-score': 0.8372093023255813; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7006802721088435; 'recall': 0.5531531531531532; 'f1-score': 0.5297157622739017; 'support': 52}; 'weighted avg': {'precision': 0.7150706436420722; 'recall': 0.7307692307692307; 'f1-score': 0.659809183064997; 'support': 52}}
l: 5,1,CNF,7,470,52,58,[8; 9],158,1.919713,0.576923,2,[X0 >= 45.000000 OR X2 < 0.800000],{'0.0': {'precision': 0.3333333333333333; 'recall': 0.41044776119402987; 'f1-score': 0.36789297658862874; 'support': 134}; '1.0': {'precision': 0.740983606557377; 'recall': 0.6726190476190477; 'f1-score': 0.7051482059282372; 'support': 336}; 'accuracy': 0.597872340425532; 'macro avg': {'precision': 0.5371584699453552; 'recall': 0.5415334044065387; 'f1-score': 0.536520591258433; 'support': 470}; 'weighted avg': {'precision': 0.6247599116381816; 'recall': 0.597872340425532; 'f1-score': 0.6089945873505616; 'support': 470}},{'0.0': {'precision': 0.3157894736842105; 'recall': 0.4; 'f1-score': 0.35294117647058826; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.6486486486486487; 'f1-score': 0.6857142857142857; 'support': 37}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.5215311004784688; 'recall': 0.5243243243243243; 'f1-score': 0.519327731092437; 'support': 52}; 'weighted avg': {'precision': 0.6085756348914244; 'recall': 0.5769230769230769; 'f1-score': 0.589722042663219; 'support': 52}}
l: 5,1,CNF,8,470,52,58,[8; 9],158,1.854629,0.519231,2,[X0 < 49.000000 OR X3 < 0.200000],{'0.0': {'precision': 0.23976608187134502; 'recall': 0.30597014925373134; 'f1-score': 0.26885245901639343; 'support': 134}; '1.0': {'precision': 0.6889632107023411; 'recall': 0.6130952380952381; 'f1-score': 0.6488188976377953; 'support': 336}; 'accuracy': 0.5255319148936171; 'macro avg': {'precision': 0.46436464628684304; 'recall': 0.45953269367448474; 'f1-score': 0.4588356783270944; 'support': 470}; 'weighted avg': {'precision': 0.5608942420569082; 'recall': 0.5255319148936171; 'f1-score': 0.5404880406691404; 'support': 470}},{'0.0': {'precision': 0.2727272727272727; 'recall': 0.4; 'f1-score': 0.3243243243243243; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.5675675675675675; 'f1-score': 0.626865671641791; 'support': 37}; 'accuracy': 0.5192307692307693; 'macro avg': {'precision': 0.48636363636363633; 'recall': 0.4837837837837838; 'f1-score': 0.4755949979830576; 'support': 52}; 'weighted avg': {'precision': 0.5767482517482517; 'recall': 0.5192307692307693; 'f1-score': 0.5395941291463678; 'support': 52}}
l: 5,1,CNF,9,470,52,58,[8; 9],158,1.824580,0.711538,3,[X0 < 23.000000 OR X4 >= 150.000000 OR X6 >= 34.000000],{'0.0': {'precision': 0.4782608695652174; 'recall': 0.08208955223880597; 'f1-score': 0.14012738853503187; 'support': 134}; '1.0': {'precision': 0.7248322147651006; 'recall': 0.9642857142857143; 'f1-score': 0.8275862068965517; 'support': 336}; 'accuracy': 0.7127659574468085; 'macro avg': {'precision': 0.601546542165159; 'recall': 0.5231876332622601; 'f1-score': 0.4838567977157918; 'support': 470}; 'weighted avg': {'precision': 0.6545331503889636; 'recall': 0.7127659574468085; 'f1-score': 0.6315873097466717; 'support': 470}},{'0.0': {'precision': 0.5; 'recall': 0.13333333333333333; 'f1-score': 0.2105263157894737; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9459459459459459; 'f1-score': 0.8235294117647058; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6145833333333333; 'recall': 0.5396396396396397; 'f1-score': 0.5170278637770898; 'support': 52}; 'weighted avg': {'precision': 0.6630608974358974; 'recall': 0.7115384615384616; 'f1-score': 0.6467015956180042; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.658853 (+- 0.073460), (mean training time) 1.937522 (+- 0.155459)
