l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,605,68,75,[8; 9],64,1.276051,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,1,605,68,75,[8; 9],64,1.700169,0.750000,1,[X3 < 4.000000],{'0': {'precision': 0.7613240418118467; 'recall': 0.9479392624728851; 'f1-score': 0.8444444444444446; 'support': 461}; '1': {'precision': 0.22580645161290322; 'recall': 0.04861111111111111; 'f1-score': 0.07999999999999999; 'support': 144}; 'accuracy': 0.7338842975206612; 'macro avg': {'precision': 0.49356524671237495; 'recall': 0.4982751867919981; 'f1-score': 0.46222222222222226; 'support': 605}; 'weighted avg': {'precision': 0.6338620038140816; 'recall': 0.7338842975206612; 'f1-score': 0.662494031221304; 'support': 605}},{'0': {'precision': 0.7611940298507462; 'recall': 0.9807692307692307; 'f1-score': 0.8571428571428572; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.75; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.49038461538461536; 'f1-score': 0.4285714285714286; 'support': 68}; 'weighted avg': {'precision': 0.582089552238806; 'recall': 0.75; 'f1-score': 0.6554621848739497; 'support': 68}}
l: 5,1,CNF,2,605,68,75,[8; 9],64,1.391809,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,3,606,67,75,[8; 9],64,1.411869,0.611940,1,[X1 >= 8.000000],{'0': {'precision': 0.8012684989429175; 'recall': 0.8203463203463204; 'f1-score': 0.8106951871657754; 'support': 462}; '1': {'precision': 0.37593984962406013; 'recall': 0.3472222222222222; 'f1-score': 0.3610108303249097; 'support': 144}; 'accuracy': 0.7079207920792079; 'macro avg': {'precision': 0.5886041742834889; 'recall': 0.5837842712842713; 'f1-score': 0.5858530087453425; 'support': 606}; 'weighted avg': {'precision': 0.7002003050453672; 'recall': 0.7079207920792079; 'f1-score': 0.7038394984115103; 'support': 606}},{'0': {'precision': 0.7551020408163265; 'recall': 0.7254901960784313; 'f1-score': 0.74; 'support': 51}; '1': {'precision': 0.2222222222222222; 'recall': 0.25; 'f1-score': 0.23529411764705882; 'support': 16}; 'accuracy': 0.6119402985074627; 'macro avg': {'precision': 0.48866213151927435; 'recall': 0.4877450980392157; 'f1-score': 0.48764705882352943; 'support': 67}; 'weighted avg': {'precision': 0.6278471587640031; 'recall': 0.6119402985074627; 'f1-score': 0.6194732221246708; 'support': 67}}
l: 5,1,CNF,4,606,67,75,[8; 9],64,1.492621,0.582090,1,[X0 < 7.000000],{'0': {'precision': 0.8927444794952681; 'recall': 0.6125541125541125; 'f1-score': 0.7265725288831835; 'support': 462}; '1': {'precision': 0.3806228373702422; 'recall': 0.7638888888888888; 'f1-score': 0.5080831408775981; 'support': 144}; 'accuracy': 0.6485148514851485; 'macro avg': {'precision': 0.6366836584327552; 'recall': 0.6882215007215007; 'f1-score': 0.6173278348803908; 'support': 606}; 'weighted avg': {'precision': 0.7710522080992224; 'recall': 0.6485148514851485; 'f1-score': 0.6746542584660147; 'support': 606}},{'0': {'precision': 0.8709677419354839; 'recall': 0.5294117647058824; 'f1-score': 0.6585365853658537; 'support': 51}; '1': {'precision': 0.3333333333333333; 'recall': 0.75; 'f1-score': 0.46153846153846156; 'support': 16}; 'accuracy': 0.582089552238806; 'macro avg': {'precision': 0.6021505376344086; 'recall': 0.6397058823529411; 'f1-score': 0.5600375234521576; 'support': 67}; 'weighted avg': {'precision': 0.7425774354036271; 'recall': 0.582089552238806; 'f1-score': 0.6114922572876705; 'support': 67}}
l: 5,1,CNF,5,606,67,75,[8; 9],64,1.341339,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,6,606,67,75,[8; 9],64,1.319357,0.671642,1,[X1 >= 5.000000],{'0': {'precision': 0.8367346938775511; 'recall': 0.6212121212121212; 'f1-score': 0.7130434782608696; 'support': 462}; '1': {'precision': 0.33460076045627374; 'recall': 0.6111111111111112; 'f1-score': 0.43243243243243246; 'support': 144}; 'accuracy': 0.6188118811881188; 'macro avg': {'precision': 0.5856677271669124; 'recall': 0.6161616161616161; 'f1-score': 0.572737955346651; 'support': 606}; 'weighted avg': {'precision': 0.717415739401208; 'recall': 0.6188118811881188; 'f1-score': 0.6463636257867854; 'support': 606}},{'0': {'precision': 0.8536585365853658; 'recall': 0.6862745098039216; 'f1-score': 0.7608695652173912; 'support': 51}; '1': {'precision': 0.38461538461538464; 'recall': 0.625; 'f1-score': 0.4761904761904762; 'support': 16}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.6191369606003753; 'recall': 0.6556372549019608; 'f1-score': 0.6185300207039337; 'support': 67}; 'weighted avg': {'precision': 0.7416482316373106; 'recall': 0.6716417910447762; 'f1-score': 0.692886499181113; 'support': 67}}
l: 5,1,CNF,7,606,67,75,[8; 9],64,1.364509,0.537313,1,[X1 >= 4.000000],{'0': {'precision': 0.8466666666666667; 'recall': 0.5497835497835498; 'f1-score': 0.6666666666666666; 'support': 462}; '1': {'precision': 0.3202614379084967; 'recall': 0.6805555555555556; 'f1-score': 0.43555555555555553; 'support': 144}; 'accuracy': 0.5808580858085809; 'macro avg': {'precision': 0.5834640522875817; 'recall': 0.6151695526695526; 'f1-score': 0.5511111111111111; 'support': 606}; 'weighted avg': {'precision': 0.7215802756746263; 'recall': 0.5808580858085809; 'f1-score': 0.6117491749174918; 'support': 606}},{'0': {'precision': 0.8333333333333334; 'recall': 0.49019607843137253; 'f1-score': 0.6172839506172839; 'support': 51}; '1': {'precision': 0.2972972972972973; 'recall': 0.6875; 'f1-score': 0.41509433962264153; 'support': 16}; 'accuracy': 0.5373134328358209; 'macro avg': {'precision': 0.5653153153153153; 'recall': 0.5888480392156863; 'f1-score': 0.5161891451199627; 'support': 67}; 'weighted avg': {'precision': 0.7053247277127874; 'recall': 0.5373134328358209; 'f1-score': 0.5689998644096081; 'support': 67}}
l: 5,1,CNF,8,606,67,75,[8; 9],64,1.442474,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,9,606,67,75,[8; 9],64,1.324338,0.641791,1,[X1 >= 6.000000],{'0': {'precision': 0.8247422680412371; 'recall': 0.6926406926406926; 'f1-score': 0.7529411764705882; 'support': 462}; '1': {'precision': 0.3486238532110092; 'recall': 0.5277777777777778; 'f1-score': 0.4198895027624309; 'support': 144}; 'accuracy': 0.6534653465346535; 'macro avg': {'precision': 0.5866830606261231; 'recall': 0.6102092352092352; 'f1-score': 0.5864153396165096; 'support': 606}; 'weighted avg': {'precision': 0.711605218972668; 'recall': 0.6534653465346535; 'f1-score': 0.6738001846983529; 'support': 606}},{'0': {'precision': 0.7647058823529411; 'recall': 0.7647058823529411; 'f1-score': 0.7647058823529412; 'support': 51}; '1': {'precision': 0.25; 'recall': 0.25; 'f1-score': 0.25; 'support': 16}; 'accuracy': 0.6417910447761194; 'macro avg': {'precision': 0.5073529411764706; 'recall': 0.5073529411764706; 'f1-score': 0.5073529411764706; 'support': 67}; 'weighted avg': {'precision': 0.6417910447761194; 'recall': 0.6417910447761194; 'f1-score': 0.6417910447761194; 'support': 67}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 75}, (mean val acc cv) 0.684658 (+- 0.082660), (mean training time) 1.406454 (+- 0.115138)
